h2_quartile,n_traits,median_h2,hit_traits,hit_rate
1,512,0.21419414399338627,155,0.302734375
2,512,0.3116704494210891,187,0.365234375
3,512,0.3972799932427929,173,0.337890625
4,512,0.5033964442845459,204,0.3984375
