embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
sam3,7,3,NE2025_image__percentUnhealthy,disease_severity,0.45658157984689457,1.163232125396603e-50,961,10,0.415868205360595,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538
sam3,7,4,NE2025_image__human_score,disease_severity,0.3948788678140132,9.434333892687278e-24,598,10,0.415868205360595,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538
sam3,7,5,NE2020__stem_diameter_lower_mm,architecture,-0.3563719095959681,6.782731515694132e-11,316,10,0.415868205360595,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538
sam3,8,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.5871046759889452,5.235813981232723e-90,960,2,0.30109560922732304,embedding_mean_743;embedding_mean_838
sam3,8,2,NE2025_image__leaf_pixels,image_leaf_size,-0.5861673841521357,1.1707919917388247e-89,960,2,0.30109560922732304,embedding_mean_743;embedding_mean_838
sam3,8,3,NE2025__seed_red_intensity,seed_color,-0.2656467793734051,2.178871629392001e-06,309,2,0.30109560922732304,embedding_mean_743;embedding_mean_838
sam3,8,4,NE2025__seed_green_intensity,seed_color,-0.25224304026115724,7.160802408762494e-06,309,2,0.30109560922732304,embedding_mean_743;embedding_mean_838
sam3,8,5,NE2025__seed_mass_g,yield,-0.23908409294467922,4.915630773112559e-13,890,2,0.30109560922732304,embedding_mean_743;embedding_mean_838
sam3,9,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.41067652921049025,2.3476131633708685e-40,960,2,0.6119921308459979,embedding_mean_953;embedding_std_184
sam3,9,2,NE2025_image__leaf_pixels,image_leaf_size,-0.40733743082259505,1.1389195231234949e-39,960,2,0.6119921308459979,embedding_mean_953;embedding_std_184
sam3,9,3,NE2025__seed_red_intensity,seed_color,-0.27938770156304915,6.006062591367522e-07,309,2,0.6119921308459979,embedding_mean_953;embedding_std_184
sam3,9,4,NE2025_image__human_score,disease_severity,0.27697405830790167,5.4133932007903925e-12,598,2,0.6119921308459979,embedding_mean_953;embedding_std_184
sam3,9,5,NE2025__seed_green_intensity,seed_color,-0.26945523986218606,1.5352767645076717e-06,309,2,0.6119921308459979,embedding_mean_953;embedding_std_184
sam3,10,1,NE2025_image__leaf_pixels,image_leaf_size,-0.777506433713533,3.5056004385003926e-195,960,10,0.3021340342769742,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,10,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7731752677546753,1.122831735207218e-191,960,10,0.3021340342769742,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,10,3,MI2020__leaf_width_cm,architecture,-0.39249297343361683,1.2386303230130196e-14,358,10,0.3021340342769742,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,10,4,NE2020__leaf_width_cm,architecture,-0.38443101343307523,1.3224157528872989e-12,317,10,0.3021340342769742,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,10,5,MI2021__leaf_width_cm,architecture,-0.37201032448911026,2.5207924028906025e-13,362,10,0.3021340342769742,embedding_mean_127;embedding_mean_339;embedding_mean_520;embedding_mean_682;embedding_mean_833;embedding_mean_925;embedding_mean_995;embedding_std_67
sam3,11,1,NE2025_image__leaf_pixels,image_leaf_size,0.34534465683920534,2.8247366310209967e-28,960,1,,embedding_mean_245
sam3,11,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.3441329082921351,4.4639684830475895e-28,960,1,,embedding_mean_245
sam3,11,3,NE2025__seed_green_intensity,seed_color,0.21285156693017362,0.00016343571863245665,309,1,,embedding_mean_245
sam3,11,4,NE2025__seed_red_intensity,seed_color,0.20398226016755577,0.0003071802991981383,309,1,,embedding_mean_245
sam3,11,5,NE2025__seed_blue_intensity,seed_color,0.20078896807394334,0.0003830728187923212,309,1,,embedding_mean_245
sam3,12,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.34983363763347136,5.094113275299778e-29,960,2,0.2724254055269858,embedding_mean_716;embedding_std_634
sam3,12,2,NE2025_image__leaf_pixels,image_leaf_size,-0.3419786872971876,1.0020419135879621e-27,960,2,0.2724254055269858,embedding_mean_716;embedding_std_634
sam3,12,3,NE2020__seed_mass_g,yield,-0.28228037493637753,3.9881908734478957e-07,312,2,0.2724254055269858,embedding_mean_716;embedding_std_634
sam3,12,4,NE2023__single_panicle_mass_g,yield,-0.2424694727919064,5.747015145978529e-06,342,2,0.2724254055269858,embedding_mean_716;embedding_std_634
sam3,12,5,MI2020__leaf_width_cm,architecture,-0.23107228887084524,1.0021036101462046e-05,358,2,0.2724254055269858,embedding_mean_716;embedding_std_634
sam3,13,1,NE2025_image__leaf_pixels,image_leaf_size,0.812533807193755,8.91696499800431e-227,960,4,0.28617614504749594,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,13,2,NE2025_image__log_leaf_pixels,image_leaf_size,0.8109711070806523,3.15156031679501e-225,960,4,0.28617614504749594,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,13,3,NE2020__leaf_width_cm,architecture,0.468137950156657,1.1387759970568382e-18,317,4,0.28617614504749594,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,13,4,NE2025_image__percentUnhealthy,disease_severity,-0.447216656130064,1.9478095320724838e-48,961,4,0.28617614504749594,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,13,5,MI2020__leaf_width_cm,architecture,0.44589841126987884,6.844675468262417e-19,358,4,0.28617614504749594,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
sam3,14,1,NE2025_image__percentUnhealthy,disease_severity,0.5235704513328068,9.412690407064126e-69,961,1,,embedding_mean_144
sam3,14,2,NE2025_image__human_score,disease_severity,0.4942175626481702,3.754196909543612e-38,598,1,,embedding_mean_144
sam3,14,3,NE2025_image__log_leaf_pixels,image_leaf_size,-0.475327683584018,2.8617115839398076e-55,960,1,,embedding_mean_144
sam3,14,4,NE2025_image__leaf_pixels,image_leaf_size,-0.4686364178591902,1.4234000920055621e-53,960,1,,embedding_mean_144
sam3,14,5,NE2025__seed_mass_g,yield,-0.3779466122408548,1.3364817476076078e-31,890,1,,embedding_mean_144
sam3,15,1,NE2025_image__percentUnhealthy,disease_severity,-0.3443533286518724,3.8548091954032257e-28,961,1,,embedding_mean_851
sam3,15,2,AL2022__days_to_flower,phenology,0.2969720394734768,9.629230090689666e-09,359,1,,embedding_mean_851
sam3,15,3,AL2022__oil_pct,composition,0.2967376332418667,1.2552364878484454e-08,354,1,,embedding_mean_851
sam3,15,4,NE2025_image__human_score,disease_severity,-0.2942484694335673,2.0776727033957292e-13,598,1,,embedding_mean_851
sam3,15,5,NE2025_image__log_leaf_pixels,image_leaf_size,0.294141326979376,1.2971135872848692e-20,960,1,,embedding_mean_851
sam3,16,1,NE2025_image__leaf_pixels,image_leaf_size,-0.7079574590809432,7.343195125422995e-147,960,3,0.07594527639492447,embedding_std_298;embedding_std_399;embedding_std_802
