embedding_set,group_id,rank,trait,category,rho,p,n,n_embeddings,median_within_group_abs_spearman,example_embeddings
dinov2,6,3,MI2020__leaf_width_cm,architecture,-0.4830365919373285,2.86550874288593e-22,357,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,4,NE2020__leaf_width_cm,architecture,-0.45730459287174186,9.78565208965144e-18,316,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,6,5,NE2025__leaf_number,architecture,-0.45497214278834985,2.0435454260852667e-45,865,14,0.5364474141170857,dinov2_mean_76;dinov2_mean_179;dinov2_mean_180;dinov2_mean_258;dinov2_mean_348;dinov2_mean_433;dinov2_mean_762;dinov2_mean_848
dinov2,7,1,MI2021__stem_diameter_lower_mm,architecture,0.24120044739724572,3.5601921590260876e-06,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,2,MI2021__plant_height_cm,architecture,-0.22362149291363195,1.798817756511945e-05,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,3,MI2021__leaf_width_cm,architecture,0.2069703644094014,7.439348028205693e-05,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,4,MI2021__flag_leaf_height_cm,architecture,-0.20241681131415748,0.00010761667839485111,361,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,7,5,NE2021__starch_pct,composition,-0.20220019411990217,1.1931853589792663e-08,781,2,0.09334010020093053,dinov2_mean_987;dinov2_std_644
dinov2,8,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7964655794732144,5.955970281679609e-205,930,2,0.6842966576005334,dinov2_std_519;dinov2_std_814
dinov2,8,2,NE2025_image__leaf_pixels,image_leaf_size,-0.7924145773691033,1.9661143083270207e-201,930,2,0.6842966576005334,dinov2_std_519;dinov2_std_814
dinov2,8,3,NE2025_image__percentUnhealthy,disease_severity,0.40172826793062255,2.023890581404795e-37,931,2,0.6842966576005334,dinov2_std_519;dinov2_std_814
dinov2,8,4,NE2025_image__human_score,disease_severity,0.3944595403888045,4.533195079885231e-23,581,2,0.6842966576005334,dinov2_std_519;dinov2_std_814
dinov2,8,5,NE2025__leaf_number,architecture,-0.39065879364804523,6.401418933850129e-33,865,2,0.6842966576005334,dinov2_std_519;dinov2_std_814
dinov2,9,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7094796387748296,3.3841160899289726e-143,930,1,,dinov2_mean_565
dinov2,9,2,NE2025_image__leaf_pixels,image_leaf_size,-0.7021764459557702,4.723272470069691e-139,930,1,,dinov2_mean_565
dinov2,9,3,NE2025_image__percentUnhealthy,disease_severity,0.5500454004598353,9.731720547776297e-75,931,1,,dinov2_mean_565
dinov2,9,4,NE2025_image__human_score,disease_severity,0.5171384901831093,4.766774989557456e-41,581,1,,dinov2_mean_565
dinov2,9,5,NE2025_image__days_to_flower,phenology,-0.41374051169215875,4.4220227974291666e-38,889,1,,dinov2_mean_565
dinov2,10,1,NE2025_image__percentUnhealthy,disease_severity,-0.3184180339048865,2.2111160235853383e-23,931,1,,dinov2_std_798
dinov2,10,2,NE2025_image__human_score,disease_severity,-0.22920082362326333,2.306369933133514e-08,581,1,,dinov2_std_798
dinov2,10,3,NE2025__days_to_flower,phenology,0.223659851178533,3.2744842565271376e-11,860,1,,dinov2_std_798
dinov2,10,4,MI2020__total_plot_fresh_weight_g,biomass,0.22350157146990932,2.1365185071264455e-05,355,1,,dinov2_std_798
dinov2,10,5,NE2025_image__days_to_flower,phenology,0.19534570683718006,4.2817895455850656e-09,889,1,,dinov2_std_798
dinov2,11,1,NE2025_image__leaf_pixels,image_leaf_size,-0.6162895073657959,2.2808548791456964e-98,930,4,0.41697241908778576,dinov2_mean_18;dinov2_mean_342;dinov2_mean_522;dinov2_std_510
dinov2,11,2,NE2025_image__log_leaf_pixels,image_leaf_size,-0.6137669945472015,2.3202503589907563e-97,930,4,0.41697241908778576,dinov2_mean_18;dinov2_mean_342;dinov2_mean_522;dinov2_std_510
dinov2,11,3,NE2025_image__percentUnhealthy,disease_severity,0.5690852008507499,5.17953440594332e-81,931,4,0.41697241908778576,dinov2_mean_18;dinov2_mean_342;dinov2_mean_522;dinov2_std_510
dinov2,11,4,NE2025_image__human_score,disease_severity,0.5223117573748934,5.59311471185601e-42,581,4,0.41697241908778576,dinov2_mean_18;dinov2_mean_342;dinov2_mean_522;dinov2_std_510
dinov2,11,5,NE2025__seed_mass_g,yield,-0.37117349818689344,1.7569562258973242e-29,860,4,0.41697241908778576,dinov2_mean_18;dinov2_mean_342;dinov2_mean_522;dinov2_std_510
dinov2,12,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.7885716815519836,3.627230664023127e-198,930,9,0.6044922300571829,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,12,2,NE2025_image__leaf_pixels,image_leaf_size,-0.7838107021099158,3.2541454087004213e-194,930,9,0.6044922300571829,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,12,3,NE2025_image__percentUnhealthy,disease_severity,0.5761035200767273,1.9800395648454666e-83,931,9,0.6044922300571829,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,12,4,NE2025_image__human_score,disease_severity,0.5439797656794139,4.685058992276984e-46,581,9,0.6044922300571829,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,12,5,NE2025__leaf_number,architecture,-0.4811300131315486,2.5622289775541937e-51,865,9,0.6044922300571829,dinov2_mean_130;dinov2_mean_185;dinov2_mean_274;dinov2_mean_456;dinov2_mean_689;dinov2_mean_716;dinov2_mean_981;dinov2_mean_992
dinov2,13,1,NE2025_image__log_leaf_pixels,image_leaf_size,-0.45695852470968895,3.617665228548733e-49,930,1,,dinov2_mean_602
