embedding_set,group_id,n_embeddings,median_within_group_abs_spearman,top_trait,top_trait_category,top_trait_rho,top_trait_p,top_trait_n,top_field_trait,top_field_trait_category,top_field_trait_rho,top_field_trait_p,top_field_trait_n,example_embeddings
dinov2,175,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4693020532785505,4.1086523666556834e-52,930,MI2020__leaf_width_cm,architecture,-0.33108593271045245,1.402871275533519e-10,357,dinov2_std_881
dinov2,176,1,,NE2025_image__leaf_pixels,image_leaf_size,-0.5645307016321153,2.1671347011584876e-79,930,NE2025__leaf_number,architecture,-0.275590515193931,1.531813591613993e-16,865,dinov2_std_891
dinov2,177,1,,NE2025_image__log_leaf_pixels,image_leaf_size,-0.4766533492730795,6.33615900000206e-54,930,NE2025__seed_mass_g,yield,-0.31760411071126526,1.312651594185635e-21,860,dinov2_std_928
dinov2,178,1,,NE2025__seed_mass_g,yield,0.20754886893842497,8.01118624384923e-10,860,NE2025__seed_mass_g,yield,0.20754886893842497,8.01118624384923e-10,860,dinov2_std_930
dinov2,179,1,,NE2025__seed_length_mm,seed_morphology,0.253942184146358,6.180556099381767e-06,309,NE2025__seed_length_mm,seed_morphology,0.253942184146358,6.180556099381767e-06,309,dinov2_std_958
dinov2,180,1,,NE2025_image__leaf_pixels,image_leaf_size,0.83664433664162,7.892320388277071e-245,930,MI2021__leaf_width_cm,architecture,0.47207692282186564,1.9540482732679976e-21,361,dinov2_std_966
dinov2,181,1,,NE2025_image__log_leaf_pixels,image_leaf_size,0.504986098846094,2.4601519029136765e-61,930,MI2020__stem_diameter_lower_mm,architecture,0.33476697446798725,8.510161674627137e-11,357,dinov2_std_967
dinov2,182,1,,NE2025_image__human_score,disease_severity,-0.4155832828418257,1.1488211724969813e-25,581,NE2025__seed_mass_g,yield,0.261272583657005,6.888236061699289e-15,860,dinov2_std_975
dinov2,183,1,,MI2021__leaf_width_cm,architecture,0.25845020656423734,6.412608969444083e-07,361,MI2021__leaf_width_cm,architecture,0.25845020656423734,6.412608969444083e-07,361,dinov2_std_992
dinov2,184,1,,NE2021__tillers_present,architecture,0.14040741255922704,0.0021603548626034927,475,NE2021__tillers_present,architecture,0.14040741255922704,0.0021603548626034927,475,dinov2_std_998
dinov2,185,1,,MI2021__leaf_width_cm,architecture,0.22918461077074173,1.0921135742100165e-05,361,MI2021__leaf_width_cm,architecture,0.22918461077074173,1.0921135742100165e-05,361,dinov2_std_1010
