cluster_jaccard_similarity_ge_0_50,n_traits,median_significant_loci,example_traits
111,129,1.0,embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165
80,28,1.0,embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988
44,27,1.0,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807
122,15,1.0,embedding_mean_28;embedding_mean_277;embedding_mean_302;embedding_mean_373;embedding_mean_598;embedding_mean_680;embedding_mean_720;embedding_mean_855
25,10,1.0,embedding_mean_559;embedding_mean_775;embedding_mean_904;embedding_mean_946;embedding_std_371;embedding_std_423;embedding_std_722;embedding_std_910
36,10,1.0,embedding_mean_30;embedding_mean_86;embedding_mean_173;embedding_mean_453;embedding_mean_466;embedding_mean_542;embedding_mean_717;embedding_mean_983
9,8,1.0,embedding_mean_119;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803
15,8,1.0,embedding_mean_127;embedding_mean_339;embedding_mean_682;embedding_mean_925;embedding_mean_995;embedding_std_67;embedding_std_574;embedding_std_746
50,8,3.0,embedding_mean_40;embedding_mean_123;embedding_mean_742;embedding_mean_942;embedding_std_230;embedding_std_288;embedding_std_633;embedding_std_873
93,7,1.0,embedding_mean_408;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847
87,7,1.0,embedding_mean_508;embedding_mean_900;embedding_std_16;embedding_std_42;embedding_std_150;embedding_std_642;embedding_std_827
62,6,1.0,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863
46,6,1.0,embedding_mean_332;embedding_mean_432;embedding_mean_666;embedding_std_291;embedding_std_340;embedding_std_944
103,6,1.5,embedding_mean_164;embedding_mean_454;embedding_mean_510;embedding_mean_549;embedding_mean_585;embedding_mean_927
40,6,1.0,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939
39,5,1.0,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851
83,5,2.0,embedding_std_144;embedding_std_171;embedding_std_309;embedding_std_601;embedding_std_1021
76,5,1.0,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969
59,5,1.0,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808
7,5,1.0,embedding_mean_234;embedding_mean_469;embedding_std_77;embedding_std_487;embedding_std_568
20,4,1.0,embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535
91,4,1.0,embedding_mean_45;embedding_mean_270;embedding_mean_695;embedding_std_627
121,4,1.0,embedding_mean_80;embedding_mean_445;embedding_mean_690;embedding_std_1000
8,4,1.0,embedding_mean_801;embedding_std_393;embedding_std_736;embedding_std_791
106,4,1.5,embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756
31,4,1.0,embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392
92,4,1.0,embedding_mean_907;embedding_mean_933;embedding_std_364;embedding_std_793
86,3,2.0,embedding_std_245;embedding_std_957;embedding_std_987
57,3,1.0,embedding_mean_146;embedding_std_444;embedding_std_586
43,3,1.0,embedding_mean_577;embedding_std_711;embedding_std_897
154,3,1.0,embedding_mean_142;embedding_mean_754;embedding_std_266
41,3,1.0,embedding_mean_771;embedding_std_478;embedding_std_726
123,3,1.0,embedding_mean_740;embedding_mean_1022;embedding_std_1022
158,3,1.0,embedding_mean_199;embedding_mean_419;embedding_mean_806
38,3,1.0,embedding_mean_340;embedding_std_253;embedding_std_358
53,3,1.0,embedding_mean_996;embedding_mean_997;embedding_std_1005
49,3,2.0,embedding_mean_674;embedding_std_76;embedding_std_937
71,3,5.0,embedding_mean_117;embedding_mean_150;embedding_mean_698
143,3,1.0,embedding_std_335;embedding_std_344;embedding_std_837
32,3,1.0,embedding_mean_228;embedding_mean_272;embedding_mean_760
150,3,1.0,embedding_mean_136;embedding_std_359;embedding_std_413
30,3,1.0,embedding_mean_537;embedding_mean_565;embedding_mean_932
99,3,1.0,embedding_mean_107;embedding_std_149;embedding_std_305
139,2,1.0,embedding_std_287;embedding_std_922
75,2,1.5,embedding_mean_261;embedding_mean_896
68,2,10.0,embedding_mean_474;embedding_mean_739
142,2,1.5,embedding_mean_826;embedding_std_840
141,2,1.0,embedding_mean_276;embedding_std_885
140,2,1.5,embedding_std_618;embedding_std_904
69,2,15.5,embedding_mean_636;embedding_std_496
89,2,10.5,embedding_mean_6;embedding_std_121
77,2,1.5,embedding_std_81;embedding_std_454
79,2,1.5,embedding_mean_232;embedding_std_872
136,2,1.0,embedding_std_172;embedding_std_935
132,2,1.0,embedding_std_18;embedding_std_962
131,2,1.0,embedding_mean_26;embedding_std_968
95,2,1.5,embedding_mean_59;embedding_mean_846
97,2,1.5,embedding_mean_155;embedding_mean_210
100,2,2.5,embedding_std_374;embedding_std_927
105,2,1.5,embedding_std_158;embedding_std_761
107,2,1.5,embedding_mean_125;embedding_std_977
125,2,1.0,embedding_std_674;embedding_std_823
124,2,1.5,embedding_mean_337;embedding_mean_616
110,2,2.5,embedding_mean_710;embedding_std_702
67,2,6.0,embedding_mean_514;embedding_mean_1003
1,2,1.0,embedding_mean_430;embedding_mean_746
65,2,3.5,embedding_std_117;embedding_std_243
155,2,1.0,embedding_mean_98;embedding_std_177
12,2,1.5,embedding_mean_743;embedding_mean_838
164,2,1.0,embedding_mean_152;embedding_mean_421
19,2,1.0,embedding_mean_716;embedding_std_634
163,2,1.0,embedding_mean_476;embedding_mean_548
162,2,1.0,embedding_mean_87;embedding_mean_594
23,2,1.5,embedding_std_399;embedding_std_802
161,2,1.0,embedding_mean_143;embedding_mean_604
144,2,1.5,embedding_std_388;embedding_std_810
27,2,1.5,embedding_std_94;embedding_std_703
157,2,1.5,embedding_mean_908;embedding_std_156
156,2,1.0,embedding_mean_700;embedding_std_167
35,2,1.5,embedding_mean_824;embedding_std_357
160,2,1.5,embedding_mean_412;embedding_mean_778
149,2,1.5,embedding_mean_1019;embedding_std_721
61,2,1.5,embedding_mean_795;embedding_std_512
152,2,1.5,embedding_mean_0;embedding_std_70
48,2,2.5,embedding_mean_186;embedding_mean_494
151,2,1.0,embedding_std_140;embedding_std_362
58,2,1.5,embedding_std_98;embedding_std_707
184,1,1.0,embedding_mean_414
187,1,1.0,embedding_mean_481
186,1,1.0,embedding_mean_451
185,1,1.0,embedding_mean_433
194,1,1.0,embedding_mean_591
190,1,1.0,embedding_mean_487
183,1,1.0,embedding_mean_410
188,1,1.0,embedding_mean_485
182,1,2.0,embedding_mean_349
181,1,1.0,embedding_mean_329
180,1,1.0,embedding_mean_327
179,1,1.0,embedding_mean_323
205,1,1.0,embedding_mean_791
204,1,1.0,embedding_mean_736
193,1,1.0,embedding_mean_564
203,1,1.0,embedding_mean_731
202,1,1.0,embedding_mean_704
196,1,1.0,embedding_mean_650
201,1,1.0,embedding_mean_697
207,1,1.0,embedding_mean_819
200,1,1.0,embedding_mean_688
192,1,1.0,embedding_mean_553
191,1,1.0,embedding_mean_523
189,1,1.0,embedding_mean_486
195,1,1.0,embedding_mean_627
199,1,2.0,embedding_mean_686
198,1,1.0,embedding_mean_685
197,1,5.0,embedding_mean_678
206,1,1.0,embedding_mean_796
223,1,2.0,embedding_std_87
208,1,1.0,embedding_mean_831
251,1,1.0,embedding_std_680
239,1,1.0,embedding_std_421
240,1,1.0,embedding_std_438
241,1,1.0,embedding_std_450
242,1,1.0,embedding_std_466
243,1,1.0,embedding_std_479
244,1,1.0,embedding_std_506
245,1,1.0,embedding_std_531
246,1,2.0,embedding_std_541
247,1,1.0,embedding_std_570
248,1,1.0,embedding_std_609
249,1,1.0,embedding_std_662
250,1,1.0,embedding_std_673
252,1,1.0,embedding_std_698
209,1,1.0,embedding_mean_844
253,1,1.0,embedding_std_713
254,1,1.0,embedding_std_724
255,1,1.0,embedding_std_733
256,1,1.0,embedding_std_745
257,1,1.0,embedding_std_781
258,1,1.0,embedding_std_784
259,1,1.0,embedding_std_835
260,1,1.0,embedding_std_839
261,1,1.0,embedding_std_878
262,1,1.0,embedding_std_986
263,1,1.0,embedding_std_995
264,1,1.0,embedding_std_1006
238,1,1.0,embedding_std_417
237,1,1.0,embedding_std_415
236,1,1.0,embedding_std_406
235,1,1.0,embedding_std_378
210,1,1.0,embedding_mean_868
211,1,1.0,embedding_mean_885
212,1,1.0,embedding_mean_895
213,1,1.0,embedding_mean_910
214,1,1.0,embedding_mean_911
215,1,1.0,embedding_mean_912
216,1,1.0,embedding_mean_970
217,1,1.0,embedding_mean_984
218,1,1.0,embedding_std_7
219,1,1.0,embedding_std_27
220,1,4.0,embedding_std_65
221,1,1.0,embedding_std_74
222,1,1.0,embedding_std_83
177,1,2.0,embedding_mean_266
224,1,1.0,embedding_std_102
225,1,1.0,embedding_std_103
226,1,1.0,embedding_std_105
227,1,2.0,embedding_std_111
228,1,1.0,embedding_std_124
229,1,1.0,embedding_std_200
230,1,1.0,embedding_std_219
231,1,1.0,embedding_std_251
232,1,1.0,embedding_std_312
233,1,1.0,embedding_std_317
234,1,6.0,embedding_std_322
178,1,1.0,embedding_mean_320
133,1,1.0,embedding_std_267
176,1,1.0,embedding_mean_247
90,1,1.0,embedding_std_410
47,1,2.0,embedding_std_284
51,1,8.0,embedding_mean_1016
