cluster_jaccard_similarity_ge_0_25,n_traits,median_significant_loci,example_traits
93,2,1.5,embedding_std_388;embedding_std_810
91,2,1.5,embedding_mean_826;embedding_std_840
90,2,1.0,embedding_mean_276;embedding_std_885
89,2,1.5,embedding_std_618;embedding_std_904
88,2,1.0,embedding_std_287;embedding_std_922
87,2,2.0,embedding_std_628;embedding_std_929
97,2,1.5,embedding_mean_1019;embedding_std_721
107,2,1.5,embedding_mean_412;embedding_mean_778
71,2,4.0,embedding_mean_68;embedding_mean_903
54,2,1.5,embedding_mean_232;embedding_std_872
12,2,1.0,embedding_mean_716;embedding_std_634
40,2,1.5,embedding_std_98;embedding_std_707
43,2,1.5,embedding_mean_795;embedding_std_512
45,2,5.0,embedding_mean_46;embedding_std_532
9,2,2.0,embedding_mean_953;embedding_std_184
8,2,1.5,embedding_mean_743;embedding_mean_838
4,2,2.0,embedding_mean_33;embedding_mean_391
24,2,1.5,embedding_mean_824;embedding_std_357
51,2,1.5,embedding_mean_261;embedding_mean_896
70,2,1.5,embedding_mean_125;embedding_std_977
58,2,10.5,embedding_mean_6;embedding_std_121
66,2,2.0,embedding_mean_973;embedding_std_255
68,2,1.5,embedding_std_158;embedding_std_761
23,2,2.0,embedding_mean_308;embedding_std_275
174,1,2.0,embedding_std_111
175,1,1.0,embedding_std_124
176,1,1.0,embedding_std_200
177,1,1.0,embedding_std_219
178,1,1.0,embedding_std_251
179,1,1.0,embedding_std_312
173,1,1.0,embedding_std_105
172,1,1.0,embedding_std_103
171,1,1.0,embedding_std_102
170,1,2.0,embedding_std_87
169,1,1.0,embedding_std_83
164,1,1.0,embedding_mean_984
168,1,1.0,embedding_std_74
167,1,4.0,embedding_std_65
152,1,1.0,embedding_mean_791
153,1,1.0,embedding_mean_796
154,1,1.0,embedding_mean_819
155,1,1.0,embedding_mean_831
156,1,1.0,embedding_mean_844
157,1,1.0,embedding_mean_868
158,1,1.0,embedding_mean_885
159,1,1.0,embedding_mean_895
160,1,1.0,embedding_mean_910
161,1,1.0,embedding_mean_911
162,1,1.0,embedding_mean_912
163,1,1.0,embedding_mean_970
181,1,6.0,embedding_std_322
165,1,1.0,embedding_std_7
166,1,1.0,embedding_std_27
180,1,1.0,embedding_std_317
188,1,1.0,embedding_std_450
182,1,1.0,embedding_std_378
198,1,1.0,embedding_std_680
211,1,1.0,embedding_std_1006
210,1,1.0,embedding_std_995
209,1,1.0,embedding_std_986
208,1,1.0,embedding_std_878
207,1,1.0,embedding_std_839
206,1,1.0,embedding_std_835
205,1,1.0,embedding_std_784
204,1,1.0,embedding_std_781
203,1,1.0,embedding_std_745
202,1,1.0,embedding_std_733
201,1,1.0,embedding_std_724
200,1,1.0,embedding_std_713
199,1,1.0,embedding_std_698
197,1,1.0,embedding_std_673
183,1,1.0,embedding_std_406
196,1,1.0,embedding_std_662
195,1,1.0,embedding_std_609
194,1,1.0,embedding_std_570
193,1,2.0,embedding_std_541
192,1,1.0,embedding_std_531
191,1,1.0,embedding_std_506
190,1,1.0,embedding_std_479
189,1,1.0,embedding_std_466
150,1,1.0,embedding_mean_731
187,1,1.0,embedding_std_438
186,1,1.0,embedding_std_421
185,1,1.0,embedding_std_417
184,1,1.0,embedding_std_415
151,1,1.0,embedding_mean_736
142,1,1.0,embedding_mean_627
149,1,1.0,embedding_mean_704
37,1,11.0,embedding_std_906
115,1,1.0,embedding_mean_63
114,1,1.0,embedding_mean_55
113,1,1.0,embedding_mean_17
112,1,1.0,embedding_mean_3
3,1,1.0,embedding_mean_491
11,1,6.0,embedding_mean_245
106,1,2.0,embedding_mean_424
14,1,1.0,embedding_mean_144
15,1,5.0,embedding_mean_851
19,1,1.0,embedding_std_925
32,1,4.0,embedding_mean_657
34,1,6.0,embedding_std_622
36,1,1.0,embedding_mean_440
95,1,4.0,embedding_std_776
148,1,1.0,embedding_mean_697
94,1,2.0,embedding_mean_207
38,1,1.0,embedding_mean_684
42,1,1.0,embedding_std_314
48,1,1.0,embedding_mean_574
49,1,1.0,embedding_std_511
50,1,1.0,embedding_std_567
85,1,2.0,embedding_std_108
57,1,1.0,embedding_std_753
