trait,n_significant_loci,cluster_jaccard_similarity_ge_0_25,cluster_jaccard_similarity_ge_0_50
embedding_mean_846,1,63,95
embedding_mean_847,0,-1,-1
embedding_mean_848,0,-1,-1
embedding_mean_849,1,72,111
embedding_mean_850,0,-1,-1
embedding_mean_851,5,15,22
embedding_mean_852,0,-1,-1
embedding_mean_853,0,-1,-1
embedding_mean_854,0,-1,-1
embedding_mean_855,1,74,122
embedding_mean_856,0,-1,-1
embedding_mean_857,0,-1,-1
embedding_mean_858,0,-1,-1
embedding_mean_859,0,-1,-1
embedding_mean_860,0,-1,-1
embedding_mean_861,0,-1,-1
embedding_mean_862,0,-1,-1
embedding_mean_863,0,-1,-1
embedding_mean_864,1,55,80
embedding_mean_865,0,-1,-1
embedding_mean_866,1,72,111
embedding_mean_867,0,-1,-1
embedding_mean_868,1,157,210
embedding_mean_869,0,-1,-1
embedding_mean_870,0,-1,-1
embedding_mean_871,0,-1,-1
embedding_mean_872,0,-1,-1
embedding_mean_873,0,-1,-1
embedding_mean_874,1,72,111
embedding_mean_875,0,-1,-1
embedding_mean_876,0,-1,-1
embedding_mean_877,0,-1,-1
embedding_mean_878,0,-1,-1
embedding_mean_879,0,-1,-1
embedding_mean_880,0,-1,-1
embedding_mean_881,2,31,44
embedding_mean_882,0,-1,-1
embedding_mean_883,1,72,111
embedding_mean_884,1,72,111
embedding_mean_885,1,158,211
embedding_mean_886,0,-1,-1
embedding_mean_887,0,-1,-1
embedding_mean_888,0,-1,-1
embedding_mean_889,0,-1,-1
embedding_mean_890,1,7,9
embedding_mean_891,0,-1,-1
embedding_mean_892,0,-1,-1
embedding_mean_893,0,-1,-1
embedding_mean_894,0,-1,-1
embedding_mean_895,1,159,212
embedding_mean_896,1,51,75
embedding_mean_897,0,-1,-1
embedding_mean_898,0,-1,-1
embedding_mean_899,1,72,111
embedding_mean_900,1,56,87
embedding_mean_901,0,-1,-1
embedding_mean_902,1,72,111
embedding_mean_903,4,71,109
embedding_mean_904,1,17,25
embedding_mean_905,0,-1,-1
embedding_mean_906,0,-1,-1
embedding_mean_907,1,61,92
embedding_mean_908,1,104,157
embedding_mean_909,0,-1,-1
embedding_mean_910,1,160,213
embedding_mean_911,1,161,214
embedding_mean_912,1,162,215
embedding_mean_913,0,-1,-1
embedding_mean_914,0,-1,-1
embedding_mean_915,0,-1,-1
embedding_mean_916,0,-1,-1
embedding_mean_917,0,-1,-1
embedding_mean_918,0,-1,-1
embedding_mean_919,0,-1,-1
embedding_mean_920,0,-1,-1
embedding_mean_921,0,-1,-1
embedding_mean_922,0,-1,-1
embedding_mean_923,0,-1,-1
embedding_mean_924,0,-1,-1
embedding_mean_925,1,10,15
embedding_mean_926,0,-1,-1
embedding_mean_927,1,67,103
embedding_mean_928,0,-1,-1
embedding_mean_929,0,-1,-1
embedding_mean_930,0,-1,-1
embedding_mean_931,0,-1,-1
embedding_mean_932,1,20,30
embedding_mean_933,1,61,92
embedding_mean_934,0,-1,-1
embedding_mean_935,0,-1,-1
embedding_mean_936,0,-1,-1
embedding_mean_937,1,72,111
embedding_mean_938,1,72,111
embedding_mean_939,0,-1,-1
embedding_mean_940,0,-1,-1
embedding_mean_941,0,-1,-1
embedding_mean_942,5,33,50
embedding_mean_943,0,-1,-1
embedding_mean_944,0,-1,-1
embedding_mean_945,0,-1,-1
embedding_mean_946,2,17,25
embedding_mean_947,0,-1,-1
embedding_mean_948,0,-1,-1
embedding_mean_949,0,-1,-1
embedding_mean_950,0,-1,-1
embedding_mean_951,0,-1,-1
embedding_mean_952,1,31,44
embedding_mean_953,3,9,13
embedding_mean_954,0,-1,-1
embedding_mean_955,0,-1,-1
embedding_mean_956,0,-1,-1
embedding_mean_957,0,-1,-1
embedding_mean_958,0,-1,-1
embedding_mean_959,0,-1,-1
embedding_mean_960,0,-1,-1
embedding_mean_961,0,-1,-1
embedding_mean_962,0,-1,-1
embedding_mean_963,0,-1,-1
embedding_mean_964,0,-1,-1
embedding_mean_965,0,-1,-1
embedding_mean_966,0,-1,-1
embedding_mean_967,1,72,111
embedding_mean_968,1,72,111
embedding_mean_969,0,-1,-1
embedding_mean_970,1,163,216
embedding_mean_971,0,-1,-1
embedding_mean_972,0,-1,-1
embedding_mean_973,1,66,101
embedding_mean_974,0,-1,-1
embedding_mean_975,0,-1,-1
embedding_mean_976,0,-1,-1
embedding_mean_977,0,-1,-1
embedding_mean_978,2,62,94
embedding_mean_979,1,31,44
embedding_mean_980,0,-1,-1
embedding_mean_981,0,-1,-1
embedding_mean_982,0,-1,-1
embedding_mean_983,1,25,36
embedding_mean_984,1,164,217
embedding_mean_985,0,-1,-1
embedding_mean_986,2,41,59
embedding_mean_987,0,-1,-1
embedding_mean_988,1,55,80
embedding_mean_989,0,-1,-1
embedding_mean_990,0,-1,-1
embedding_mean_991,0,-1,-1
embedding_mean_992,0,-1,-1
embedding_mean_993,0,-1,-1
embedding_mean_994,0,-1,-1
embedding_mean_995,1,10,15
embedding_mean_996,1,35,53
embedding_mean_997,1,35,53
embedding_mean_998,0,-1,-1
embedding_mean_999,0,-1,-1
embedding_mean_1000,0,-1,-1
embedding_mean_1001,0,-1,-1
embedding_mean_1002,0,-1,-1
embedding_mean_1003,6,46,67
embedding_mean_1004,0,-1,-1
embedding_mean_1005,0,-1,-1
embedding_mean_1006,0,-1,-1
embedding_mean_1007,0,-1,-1
embedding_mean_1008,0,-1,-1
embedding_mean_1009,0,-1,-1
embedding_mean_1010,0,-1,-1
embedding_mean_1011,0,-1,-1
embedding_mean_1012,0,-1,-1
embedding_mean_1013,1,72,111
embedding_mean_1014,0,-1,-1
embedding_mean_1015,0,-1,-1
embedding_mean_1016,8,33,51
embedding_mean_1017,0,-1,-1
embedding_mean_1018,0,-1,-1
embedding_mean_1019,1,97,149
embedding_mean_1020,0,-1,-1
embedding_mean_1021,0,-1,-1
embedding_mean_1022,1,75,123
embedding_mean_1023,0,-1,-1
embedding_std_0,1,31,44
embedding_std_1,1,31,44
embedding_std_2,1,55,80
embedding_std_3,0,-1,-1
embedding_std_4,0,-1,-1
embedding_std_5,1,55,80
embedding_std_6,0,-1,-1
embedding_std_7,1,165,218
embedding_std_8,0,-1,-1
embedding_std_9,0,-1,-1
embedding_std_10,0,-1,-1
embedding_std_11,0,-1,-1
embedding_std_12,0,-1,-1
embedding_std_13,0,-1,-1
embedding_std_14,0,-1,-1
embedding_std_15,0,-1,-1
embedding_std_16,2,56,87
embedding_std_17,0,-1,-1
embedding_std_18,1,83,132
embedding_std_19,0,-1,-1
embedding_std_20,0,-1,-1
embedding_std_21,0,-1,-1
embedding_std_22,0,-1,-1
embedding_std_23,0,-1,-1
embedding_std_24,0,-1,-1
embedding_std_25,0,-1,-1
embedding_std_26,0,-1,-1
embedding_std_27,1,166,219
embedding_std_28,0,-1,-1
embedding_std_29,0,-1,-1
embedding_std_30,0,-1,-1
embedding_std_31,0,-1,-1
embedding_std_32,0,-1,-1
embedding_std_33,0,-1,-1
embedding_std_34,0,-1,-1
embedding_std_35,0,-1,-1
embedding_std_36,0,-1,-1
embedding_std_37,0,-1,-1
embedding_std_38,0,-1,-1
embedding_std_39,0,-1,-1
embedding_std_40,0,-1,-1
embedding_std_41,0,-1,-1
embedding_std_42,1,56,87
embedding_std_43,0,-1,-1
embedding_std_44,0,-1,-1
embedding_std_45,0,-1,-1
embedding_std_46,0,-1,-1
embedding_std_47,0,-1,-1
embedding_std_48,1,55,80
embedding_std_49,0,-1,-1
embedding_std_50,1,72,111
embedding_std_51,0,-1,-1
embedding_std_52,0,-1,-1
embedding_std_53,0,-1,-1
embedding_std_54,0,-1,-1
embedding_std_55,0,-1,-1
embedding_std_56,0,-1,-1
embedding_std_57,0,-1,-1
embedding_std_58,0,-1,-1
embedding_std_59,0,-1,-1
embedding_std_60,0,-1,-1
embedding_std_61,0,-1,-1
embedding_std_62,0,-1,-1
embedding_std_63,1,72,111
embedding_std_64,0,-1,-1
embedding_std_65,4,167,220
embedding_std_66,0,-1,-1
embedding_std_67,1,10,15
embedding_std_68,0,-1,-1
embedding_std_69,0,-1,-1
embedding_std_70,2,100,152
embedding_std_71,2,55,80
embedding_std_72,0,-1,-1
embedding_std_73,0,-1,-1
embedding_std_74,1,168,221
embedding_std_75,0,-1,-1
embedding_std_76,2,33,49
embedding_std_77,1,5,7
embedding_std_78,0,-1,-1
embedding_std_79,0,-1,-1
embedding_std_80,1,72,111
embedding_std_81,1,53,77
embedding_std_82,0,-1,-1
embedding_std_83,1,169,222
embedding_std_84,0,-1,-1
embedding_std_85,0,-1,-1
embedding_std_86,0,-1,-1
embedding_std_87,2,170,223
embedding_std_88,1,55,80
embedding_std_89,2,63,96
embedding_std_90,0,-1,-1
embedding_std_91,0,-1,-1
embedding_std_92,0,-1,-1
embedding_std_93,0,-1,-1
embedding_std_94,2,18,27
embedding_std_95,0,-1,-1
embedding_std_96,0,-1,-1
embedding_std_97,0,-1,-1
embedding_std_98,2,40,58
embedding_std_99,0,-1,-1
embedding_std_100,0,-1,-1
embedding_std_101,0,-1,-1
embedding_std_102,1,171,224
embedding_std_103,1,172,225
embedding_std_104,0,-1,-1
embedding_std_105,1,173,226
embedding_std_106,0,-1,-1
embedding_std_107,0,-1,-1
embedding_std_108,2,85,135
embedding_std_109,0,-1,-1
embedding_std_110,0,-1,-1
embedding_std_111,2,174,227
embedding_std_112,0,-1,-1
embedding_std_113,0,-1,-1
embedding_std_114,0,-1,-1
embedding_std_115,0,-1,-1
embedding_std_116,0,-1,-1
embedding_std_117,3,46,65
embedding_std_118,0,-1,-1
embedding_std_119,0,-1,-1
embedding_std_120,0,-1,-1
embedding_std_121,8,58,89
embedding_std_122,0,-1,-1
embedding_std_123,1,31,44
embedding_std_124,1,175,228
embedding_std_125,0,-1,-1
embedding_std_126,0,-1,-1
embedding_std_127,0,-1,-1
embedding_std_128,0,-1,-1
embedding_std_129,0,-1,-1
embedding_std_130,1,72,111
embedding_std_131,0,-1,-1
embedding_std_132,1,31,44
embedding_std_133,0,-1,-1
embedding_std_134,1,55,80
embedding_std_135,0,-1,-1
embedding_std_136,0,-1,-1
embedding_std_137,0,-1,-1
embedding_std_138,0,-1,-1
embedding_std_139,0,-1,-1
embedding_std_140,1,99,151
embedding_std_141,0,-1,-1
embedding_std_142,2,72,114
embedding_std_143,0,-1,-1
embedding_std_144,2,55,83
embedding_std_145,0,-1,-1
embedding_std_146,0,-1,-1
embedding_std_147,0,-1,-1
embedding_std_148,0,-1,-1
embedding_std_149,1,65,99
embedding_std_150,1,56,87
embedding_std_151,0,-1,-1
embedding_std_152,0,-1,-1
embedding_std_153,0,-1,-1
embedding_std_154,0,-1,-1
embedding_std_155,0,-1,-1
embedding_std_156,2,104,157
embedding_std_157,0,-1,-1
embedding_std_158,1,68,105
embedding_std_159,0,-1,-1
embedding_std_160,0,-1,-1
embedding_std_161,2,72,115
embedding_std_162,0,-1,-1
embedding_std_163,1,28,40
embedding_std_164,0,-1,-1
embedding_std_165,0,-1,-1
embedding_std_166,0,-1,-1
embedding_std_167,1,103,156
embedding_std_168,0,-1,-1
embedding_std_169,0,-1,-1
embedding_std_170,0,-1,-1
embedding_std_171,2,55,83
embedding_std_172,1,86,136
embedding_std_173,1,72,111
embedding_std_174,0,-1,-1
embedding_std_175,6,18,28
embedding_std_176,0,-1,-1
embedding_std_177,1,102,155
embedding_std_178,0,-1,-1
embedding_std_179,0,-1,-1
embedding_std_180,0,-1,-1
embedding_std_181,0,-1,-1
embedding_std_182,0,-1,-1
embedding_std_183,0,-1,-1
embedding_std_184,1,9,14
embedding_std_185,1,72,111
embedding_std_186,0,-1,-1
embedding_std_187,0,-1,-1
embedding_std_188,0,-1,-1
embedding_std_189,0,-1,-1
embedding_std_190,0,-1,-1
embedding_std_191,1,62,93
embedding_std_192,0,-1,-1
embedding_std_193,0,-1,-1
embedding_std_194,0,-1,-1
embedding_std_195,0,-1,-1
embedding_std_196,0,-1,-1
embedding_std_197,0,-1,-1
embedding_std_198,1,55,80
embedding_std_199,0,-1,-1
embedding_std_200,1,176,229
embedding_std_201,0,-1,-1
embedding_std_202,0,-1,-1
embedding_std_203,0,-1,-1
embedding_std_204,0,-1,-1
embedding_std_205,0,-1,-1
embedding_std_206,0,-1,-1
embedding_std_207,0,-1,-1
embedding_std_208,0,-1,-1
embedding_std_209,0,-1,-1
embedding_std_210,1,55,80
embedding_std_211,0,-1,-1
embedding_std_212,1,7,9
embedding_std_213,0,-1,-1
embedding_std_214,0,-1,-1
embedding_std_215,2,25,37
embedding_std_216,0,-1,-1
embedding_std_217,0,-1,-1
embedding_std_218,0,-1,-1
embedding_std_219,1,177,230
embedding_std_220,0,-1,-1
embedding_std_221,0,-1,-1
embedding_std_222,2,27,39
embedding_std_223,0,-1,-1
embedding_std_224,1,25,36
embedding_std_225,0,-1,-1
embedding_std_226,0,-1,-1
embedding_std_227,0,-1,-1
embedding_std_228,1,7,9
embedding_std_229,0,-1,-1
embedding_std_230,2,33,50
embedding_std_231,0,-1,-1
embedding_std_232,0,-1,-1
embedding_std_233,0,-1,-1
embedding_std_234,1,72,111
embedding_std_235,0,-1,-1
embedding_std_236,0,-1,-1
embedding_std_237,0,-1,-1
embedding_std_238,0,-1,-1
embedding_std_239,1,55,80
embedding_std_240,0,-1,-1
embedding_std_241,0,-1,-1
embedding_std_242,0,-1,-1
embedding_std_243,4,46,65
embedding_std_244,1,74,122
embedding_std_245,3,56,86
embedding_std_246,0,-1,-1
embedding_std_247,0,-1,-1
embedding_std_248,0,-1,-1
embedding_std_249,0,-1,-1
embedding_std_250,0,-1,-1
embedding_std_251,1,178,231
embedding_std_252,1,41,59
embedding_std_253,2,26,38
embedding_std_254,0,-1,-1
embedding_std_255,3,66,102
embedding_std_256,0,-1,-1
embedding_std_257,0,-1,-1
embedding_std_258,0,-1,-1
embedding_std_259,1,72,111
embedding_std_260,0,-1,-1
embedding_std_261,0,-1,-1
embedding_std_262,0,-1,-1
embedding_std_263,0,-1,-1
embedding_std_264,0,-1,-1
embedding_std_265,0,-1,-1
embedding_std_266,1,101,154
embedding_std_267,1,84,133
embedding_std_268,0,-1,-1
embedding_std_269,0,-1,-1
embedding_std_270,0,-1,-1
embedding_std_271,0,-1,-1
embedding_std_272,0,-1,-1
embedding_std_273,0,-1,-1
embedding_std_274,0,-1,-1
embedding_std_275,1,23,34
embedding_std_276,0,-1,-1
embedding_std_277,0,-1,-1
embedding_std_278,0,-1,-1
embedding_std_279,0,-1,-1
embedding_std_280,1,72,111
embedding_std_281,0,-1,-1
embedding_std_282,0,-1,-1
embedding_std_283,0,-1,-1
embedding_std_284,2,33,47
embedding_std_285,0,-1,-1
embedding_std_286,3,96,147
embedding_std_287,1,88,139
embedding_std_288,5,33,50
embedding_std_289,0,-1,-1
embedding_std_290,0,-1,-1
embedding_std_291,1,33,46
embedding_std_292,1,100,153
embedding_std_293,0,-1,-1
embedding_std_294,0,-1,-1
embedding_std_295,0,-1,-1
embedding_std_296,0,-1,-1
embedding_std_297,0,-1,-1
embedding_std_298,3,16,24
embedding_std_299,0,-1,-1
embedding_std_300,0,-1,-1
embedding_std_301,1,31,44
embedding_std_302,0,-1,-1
embedding_std_303,2,72,116
embedding_std_304,0,-1,-1
embedding_std_305,1,65,99
embedding_std_306,0,-1,-1
embedding_std_307,0,-1,-1
embedding_std_308,1,31,44
embedding_std_309,1,55,83
embedding_std_310,0,-1,-1
embedding_std_311,0,-1,-1
embedding_std_312,1,179,232
embedding_std_313,0,-1,-1
embedding_std_314,1,42,60
embedding_std_315,1,72,111
embedding_std_316,0,-1,-1
embedding_std_317,1,180,233
embedding_std_318,0,-1,-1
embedding_std_319,0,-1,-1
embedding_std_320,0,-1,-1
embedding_std_321,0,-1,-1
embedding_std_322,6,181,234
embedding_std_323,0,-1,-1
embedding_std_324,0,-1,-1
embedding_std_325,0,-1,-1
embedding_std_326,1,72,111
embedding_std_327,0,-1,-1
embedding_std_328,0,-1,-1
embedding_std_329,0,-1,-1
embedding_std_330,0,-1,-1
embedding_std_331,1,52,76
embedding_std_332,0,-1,-1
embedding_std_333,0,-1,-1
embedding_std_334,0,-1,-1
embedding_std_335,1,92,143
embedding_std_336,2,52,76
embedding_std_337,0,-1,-1
embedding_std_338,1,72,111
embedding_std_339,0,-1,-1
embedding_std_340,1,33,46
embedding_std_341,0,-1,-1
embedding_std_342,0,-1,-1
embedding_std_343,0,-1,-1
embedding_std_344,1,92,143
embedding_std_345,0,-1,-1
embedding_std_346,1,31,44
embedding_std_347,0,-1,-1
embedding_std_348,0,-1,-1
embedding_std_349,1,72,111
embedding_std_350,0,-1,-1
embedding_std_351,0,-1,-1
embedding_std_352,2,62,93
embedding_std_353,0,-1,-1
embedding_std_354,0,-1,-1
embedding_std_355,0,-1,-1
embedding_std_356,2,55,81
embedding_std_357,1,24,35
embedding_std_358,1,26,38
embedding_std_359,1,98,150
embedding_std_360,0,-1,-1
embedding_std_361,0,-1,-1
embedding_std_362,1,99,151
embedding_std_363,1,25,36
embedding_std_364,1,61,92
embedding_std_365,1,72,111
embedding_std_366,0,-1,-1
embedding_std_367,0,-1,-1
embedding_std_368,0,-1,-1
embedding_std_369,0,-1,-1
embedding_std_370,0,-1,-1
embedding_std_371,1,17,25
embedding_std_372,0,-1,-1
embedding_std_373,0,-1,-1
embedding_std_374,3,65,100
embedding_std_375,1,62,93
embedding_std_376,0,-1,-1
embedding_std_377,1,72,111
embedding_std_378,1,182,235
embedding_std_379,0,-1,-1
embedding_std_380,1,72,111
embedding_std_381,0,-1,-1
embedding_std_382,0,-1,-1
embedding_std_383,0,-1,-1
embedding_std_384,0,-1,-1
embedding_std_385,1,31,44
embedding_std_386,0,-1,-1
embedding_std_387,0,-1,-1
embedding_std_388,2,93,144
embedding_std_389,1,72,111
embedding_std_390,0,-1,-1
embedding_std_391,0,-1,-1
embedding_std_392,1,21,31
embedding_std_393,1,6,8
embedding_std_394,0,-1,-1
embedding_std_395,0,-1,-1
embedding_std_396,0,-1,-1
embedding_std_397,2,72,117
embedding_std_398,1,72,111
embedding_std_399,1,16,23
embedding_std_400,0,-1,-1
embedding_std_401,0,-1,-1
embedding_std_402,0,-1,-1
embedding_std_403,0,-1,-1
embedding_std_404,0,-1,-1
embedding_std_405,0,-1,-1
embedding_std_406,1,183,236
embedding_std_407,0,-1,-1
embedding_std_408,0,-1,-1
embedding_std_409,0,-1,-1
embedding_std_410,1,59,90
embedding_std_411,0,-1,-1
embedding_std_412,0,-1,-1
embedding_std_413,1,98,150
embedding_std_414,0,-1,-1
embedding_std_415,1,184,237
embedding_std_416,0,-1,-1
embedding_std_417,1,185,238
embedding_std_418,0,-1,-1
embedding_std_419,1,72,111
embedding_std_420,0,-1,-1
embedding_std_421,1,186,239
embedding_std_422,2,55,82
embedding_std_423,1,17,25
embedding_std_424,0,-1,-1
embedding_std_425,0,-1,-1
embedding_std_426,0,-1,-1
embedding_std_427,0,-1,-1
embedding_std_428,0,-1,-1
embedding_std_429,0,-1,-1
embedding_std_430,0,-1,-1
embedding_std_431,0,-1,-1
embedding_std_432,0,-1,-1
embedding_std_433,0,-1,-1
embedding_std_434,0,-1,-1
embedding_std_435,1,72,111
embedding_std_436,0,-1,-1
embedding_std_437,0,-1,-1
embedding_std_438,1,187,240
embedding_std_439,0,-1,-1
embedding_std_440,0,-1,-1
embedding_std_441,0,-1,-1
embedding_std_442,0,-1,-1
embedding_std_443,1,72,111
embedding_std_444,1,39,57
embedding_std_445,0,-1,-1
embedding_std_446,0,-1,-1
embedding_std_447,0,-1,-1
embedding_std_448,0,-1,-1
embedding_std_449,0,-1,-1
embedding_std_450,1,188,241
embedding_std_451,0,-1,-1
embedding_std_452,0,-1,-1
embedding_std_453,0,-1,-1
embedding_std_454,2,53,77
embedding_std_455,0,-1,-1
embedding_std_456,0,-1,-1
embedding_std_457,0,-1,-1
embedding_std_458,0,-1,-1
embedding_std_459,0,-1,-1
embedding_std_460,0,-1,-1
embedding_std_461,0,-1,-1
embedding_std_462,0,-1,-1
embedding_std_463,0,-1,-1
embedding_std_464,0,-1,-1
embedding_std_465,0,-1,-1
embedding_std_466,1,189,242
embedding_std_467,0,-1,-1
embedding_std_468,0,-1,-1
embedding_std_469,0,-1,-1
embedding_std_470,0,-1,-1
embedding_std_471,0,-1,-1
embedding_std_472,0,-1,-1
embedding_std_473,1,72,111
embedding_std_474,0,-1,-1
embedding_std_475,0,-1,-1
embedding_std_476,0,-1,-1
embedding_std_477,0,-1,-1
embedding_std_478,1,29,41
embedding_std_479,1,190,243
embedding_std_480,0,-1,-1
embedding_std_481,0,-1,-1
embedding_std_482,0,-1,-1
embedding_std_483,0,-1,-1
embedding_std_484,1,28,40
embedding_std_485,0,-1,-1
embedding_std_486,0,-1,-1
embedding_std_487,2,5,7
embedding_std_488,3,29,42
embedding_std_489,0,-1,-1
embedding_std_490,0,-1,-1
embedding_std_491,0,-1,-1
embedding_std_492,0,-1,-1
embedding_std_493,0,-1,-1
embedding_std_494,0,-1,-1
embedding_std_495,0,-1,-1
embedding_std_496,13,46,69
embedding_std_497,0,-1,-1
embedding_std_498,0,-1,-1
embedding_std_499,0,-1,-1
embedding_std_500,0,-1,-1
embedding_std_501,0,-1,-1
embedding_std_502,0,-1,-1
embedding_std_503,0,-1,-1
embedding_std_504,0,-1,-1
embedding_std_505,0,-1,-1
embedding_std_506,1,191,244
embedding_std_507,1,72,111
embedding_std_508,0,-1,-1
embedding_std_509,0,-1,-1
embedding_std_510,0,-1,-1
embedding_std_511,1,49,73
embedding_std_512,2,43,61
embedding_std_513,0,-1,-1
embedding_std_514,0,-1,-1
embedding_std_515,0,-1,-1
embedding_std_516,0,-1,-1
embedding_std_517,0,-1,-1
embedding_std_518,1,31,44
embedding_std_519,0,-1,-1
embedding_std_520,0,-1,-1
embedding_std_521,1,72,111
embedding_std_522,0,-1,-1
embedding_std_523,0,-1,-1
embedding_std_524,0,-1,-1
embedding_std_525,0,-1,-1
embedding_std_526,0,-1,-1
embedding_std_527,2,28,40
embedding_std_528,0,-1,-1
embedding_std_529,0,-1,-1
embedding_std_530,0,-1,-1
embedding_std_531,1,192,245
embedding_std_532,5,45,64
embedding_std_533,3,72,119
embedding_std_534,0,-1,-1
embedding_std_535,1,13,20
embedding_std_536,0,-1,-1
embedding_std_537,0,-1,-1
embedding_std_538,2,7,9
embedding_std_539,0,-1,-1
embedding_std_540,0,-1,-1
embedding_std_541,2,193,246
embedding_std_542,0,-1,-1
embedding_std_543,0,-1,-1
embedding_std_544,0,-1,-1
embedding_std_545,0,-1,-1
embedding_std_546,1,72,111
embedding_std_547,0,-1,-1
embedding_std_548,0,-1,-1
embedding_std_549,2,72,111
embedding_std_550,0,-1,-1
embedding_std_551,0,-1,-1
embedding_std_552,1,31,44
embedding_std_553,0,-1,-1
embedding_std_554,0,-1,-1
embedding_std_555,0,-1,-1
embedding_std_556,0,-1,-1
embedding_std_557,0,-1,-1
embedding_std_558,1,72,111
embedding_std_559,0,-1,-1
embedding_std_560,0,-1,-1
embedding_std_561,0,-1,-1
embedding_std_562,0,-1,-1
embedding_std_563,0,-1,-1
embedding_std_564,0,-1,-1
embedding_std_565,0,-1,-1
embedding_std_566,1,72,111
embedding_std_567,1,50,74
embedding_std_568,1,5,7
embedding_std_569,0,-1,-1
embedding_std_570,1,194,247
embedding_std_571,0,-1,-1
embedding_std_572,1,27,39
embedding_std_573,0,-1,-1
embedding_std_574,1,10,15
embedding_std_575,0,-1,-1
embedding_std_576,0,-1,-1
embedding_std_577,0,-1,-1
embedding_std_578,1,52,76
embedding_std_579,0,-1,-1
embedding_std_580,0,-1,-1
embedding_std_581,1,72,111
embedding_std_582,0,-1,-1
embedding_std_583,0,-1,-1
embedding_std_584,1,72,111
embedding_std_585,1,72,111
embedding_std_586,2,39,57
embedding_std_587,0,-1,-1
embedding_std_588,0,-1,-1
embedding_std_589,0,-1,-1
embedding_std_590,0,-1,-1
embedding_std_591,0,-1,-1
embedding_std_592,0,-1,-1
embedding_std_593,0,-1,-1
embedding_std_594,0,-1,-1
embedding_std_595,1,72,111
embedding_std_596,0,-1,-1
embedding_std_597,0,-1,-1
embedding_std_598,0,-1,-1
embedding_std_599,0,-1,-1
embedding_std_600,1,72,111
embedding_std_601,2,55,83
embedding_std_602,0,-1,-1
embedding_std_603,0,-1,-1
embedding_std_604,0,-1,-1
embedding_std_605,0,-1,-1
embedding_std_606,0,-1,-1
embedding_std_607,0,-1,-1
embedding_std_608,0,-1,-1
embedding_std_609,1,195,248
embedding_std_610,0,-1,-1
embedding_std_611,0,-1,-1
embedding_std_612,0,-1,-1
embedding_std_613,0,-1,-1
embedding_std_614,0,-1,-1
embedding_std_615,0,-1,-1
embedding_std_616,1,55,80
embedding_std_617,0,-1,-1
embedding_std_618,2,89,140
embedding_std_619,0,-1,-1
embedding_std_620,1,7,9
embedding_std_621,0,-1,-1
embedding_std_622,6,34,52
embedding_std_623,0,-1,-1
embedding_std_624,0,-1,-1
embedding_std_625,1,72,111
embedding_std_626,0,-1,-1
embedding_std_627,1,60,91
embedding_std_628,1,87,137
embedding_std_629,0,-1,-1
embedding_std_630,0,-1,-1
embedding_std_631,0,-1,-1
embedding_std_632,0,-1,-1
embedding_std_633,4,33,50
embedding_std_634,1,12,19
embedding_std_635,0,-1,-1
embedding_std_636,0,-1,-1
embedding_std_637,0,-1,-1
embedding_std_638,0,-1,-1
embedding_std_639,0,-1,-1
embedding_std_640,0,-1,-1
embedding_std_641,0,-1,-1
embedding_std_642,1,56,87
embedding_std_643,0,-1,-1
embedding_std_644,0,-1,-1
embedding_std_645,0,-1,-1
embedding_std_646,0,-1,-1
embedding_std_647,0,-1,-1
embedding_std_648,0,-1,-1
embedding_std_649,1,72,111
embedding_std_650,0,-1,-1
embedding_std_651,0,-1,-1
embedding_std_652,0,-1,-1
embedding_std_653,0,-1,-1
embedding_std_654,0,-1,-1
embedding_std_655,1,27,39
embedding_std_656,0,-1,-1
embedding_std_657,0,-1,-1
embedding_std_658,0,-1,-1
embedding_std_659,0,-1,-1
embedding_std_660,0,-1,-1
embedding_std_661,0,-1,-1
embedding_std_662,1,196,249
embedding_std_663,0,-1,-1
embedding_std_664,0,-1,-1
embedding_std_665,0,-1,-1
embedding_std_666,0,-1,-1
embedding_std_667,0,-1,-1
embedding_std_668,0,-1,-1
embedding_std_669,0,-1,-1
embedding_std_670,0,-1,-1
embedding_std_671,0,-1,-1
embedding_std_672,0,-1,-1
embedding_std_673,1,197,250
embedding_std_674,1,77,125
embedding_std_675,0,-1,-1
embedding_std_676,0,-1,-1
embedding_std_677,1,72,111
embedding_std_678,0,-1,-1
embedding_std_679,2,67,104
embedding_std_680,1,198,251
embedding_std_681,1,28,40
embedding_std_682,0,-1,-1
embedding_std_683,0,-1,-1
embedding_std_684,0,-1,-1
embedding_std_685,0,-1,-1
embedding_std_686,0,-1,-1
embedding_std_687,0,-1,-1
embedding_std_688,0,-1,-1
embedding_std_689,0,-1,-1
embedding_std_690,0,-1,-1
embedding_std_691,0,-1,-1
embedding_std_692,1,72,111
embedding_std_693,0,-1,-1
embedding_std_694,0,-1,-1
embedding_std_695,0,-1,-1
embedding_std_696,0,-1,-1
embedding_std_697,0,-1,-1
embedding_std_698,1,199,252
embedding_std_699,0,-1,-1
embedding_std_700,0,-1,-1
embedding_std_701,1,62,93
embedding_std_702,2,72,110
embedding_std_703,1,18,27
embedding_std_704,1,31,44
embedding_std_705,0,-1,-1
embedding_std_706,0,-1,-1
embedding_std_707,1,40,58
embedding_std_708,0,-1,-1
embedding_std_709,0,-1,-1
embedding_std_710,1,72,111
embedding_std_711,1,30,43
embedding_std_712,0,-1,-1
embedding_std_713,1,200,253
