trait,embedding_stat,embedding_index,n_markers_tested,min_p,n_significant_effective_bonferroni,n_q_lt_0_05_within_trait,chunk,chunk_elapsed_seconds,chunk_elapsed_seconds_per_trait,effective_markers,effective_bonferroni_threshold
embedding_mean_0,mean,0,4920234,9.219510044503978e-09,1,171,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_1,mean,1,4920234,1.992447727434543e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_2,mean,2,4920234,2.420633043996552e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_3,mean,3,4920234,8.14033665759802e-09,3,99,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_4,mean,4,4920234,2.6532049557872626e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_5,mean,5,4920234,5.704994187723897e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_6,mean,6,4920234,2.751172787417377e-10,56,1214,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_7,mean,7,4920234,2.2903838366167085e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_8,mean,8,4920234,3.4082625432751466e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_9,mean,9,4920234,9.850094908487465e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_10,mean,10,4920234,2.8529991214820478e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_11,mean,11,4920234,1.419190666824795e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_12,mean,12,4920234,7.199818508579527e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_13,mean,13,4920234,2.1989698712645297e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_14,mean,14,4920234,3.057092656514736e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_15,mean,15,4920234,2.3976581290044743e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_16,mean,16,4920234,3.254382140932973e-08,0,613,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_17,mean,17,4920234,1.1390973423177729e-08,1,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_18,mean,18,4920234,1.6275282757353258e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_19,mean,19,4920234,5.482135334450516e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_20,mean,20,4920234,7.160024354786146e-09,2,11,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_21,mean,21,4920234,1.6853187259376089e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_22,mean,22,4920234,1.6900893274846302e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_23,mean,23,4920234,1.834428968113113e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_24,mean,24,4920234,2.5177780213626118e-08,0,193,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_25,mean,25,4920234,3.207149055457148e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_26,mean,26,4920234,7.181979089026354e-09,1,1,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_27,mean,27,4920234,3.503982025488302e-07,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_28,mean,28,4920234,1.8210139574772221e-09,4,17,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_29,mean,29,4920234,9.914176601858925e-09,1,26,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_30,mean,30,4920234,5.7914835462055544e-09,5,30,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_31,mean,31,4920234,2.8666903809611376e-08,0,0,1,439.8931077949237,13.746659618591366,3169884,1.5773447861183564e-08
embedding_mean_32,mean,32,4920234,9.783891334811045e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_33,mean,33,4920234,6.011721143366362e-10,2,6,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_34,mean,34,4920234,3.803844858293482e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_35,mean,35,4920234,1.334702013220792e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_36,mean,36,4920234,2.4289197707709123e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_37,mean,37,4920234,4.343615632052321e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_38,mean,38,4920234,1.4255694850068212e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_39,mean,39,4920234,5.9196543201681947e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_40,mean,40,4920234,1.1771029820318338e-09,26,465,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_41,mean,41,4920234,3.558713597283281e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_42,mean,42,4920234,7.904301828445792e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_43,mean,43,4920234,3.6018187957074454e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_44,mean,44,4920234,1.330859057320077e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_45,mean,45,4920234,8.740916520173688e-09,3,12,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_46,mean,46,4920234,9.082402071042068e-11,109,35043,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_47,mean,47,4920234,4.803784574651598e-08,0,52,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_48,mean,48,4920234,2.823056289999848e-08,0,352,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_49,mean,49,4920234,1.756475266157389e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_50,mean,50,4920234,4.136945515352783e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_51,mean,51,4920234,1.3114270027562878e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_52,mean,52,4920234,1.4854712193740292e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_53,mean,53,4920234,2.231724264035624e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_54,mean,54,4920234,2.5067431666808533e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_55,mean,55,4920234,1.509027312284667e-08,1,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_56,mean,56,4920234,2.3854779871931993e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_57,mean,57,4920234,3.809015829868381e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_58,mean,58,4920234,4.0599702508791824e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_59,mean,59,4920234,4.0669033322378505e-09,10,867,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_60,mean,60,4920234,1.0810876312757192e-06,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_61,mean,61,4920234,1.9446262069122377e-08,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_62,mean,62,4920234,1.755630962213386e-07,0,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_63,mean,63,4920234,1.3441689382278076e-08,1,0,2,393.3226523511112,12.291332885972224,3169884,1.5773447861183564e-08
embedding_mean_64,mean,64,4920234,8.745146732735479e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_65,mean,65,4920234,1.0898986440231816e-08,1,7,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_66,mean,66,4920234,4.496086780171339e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_67,mean,67,4920234,1.1216617726371817e-07,0,6968,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_68,mean,68,4920234,7.109336577972096e-09,5,13903,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_69,mean,69,4920234,2.017382872175799e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_70,mean,70,4920234,4.208873904839851e-09,2,88,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_71,mean,71,4920234,4.114604775023512e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_72,mean,72,4920234,1.1272072567532596e-07,0,29,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_73,mean,73,4920234,1.0245843072091725e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_74,mean,74,4920234,1.2431539972867324e-08,1,381,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_75,mean,75,4920234,1.5504833662958432e-08,1,1857,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_76,mean,76,4920234,1.3891636155296586e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_77,mean,77,4920234,2.157297469630185e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_78,mean,78,4920234,2.2266559421376295e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_79,mean,79,4920234,1.1400274851944897e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_80,mean,80,4920234,3.310773387764549e-09,2,2,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_81,mean,81,4920234,2.64717775514297e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_82,mean,82,4920234,2.8291119052813225e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_83,mean,83,4920234,4.426716812520514e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_84,mean,84,4920234,2.391058961977856e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_85,mean,85,4920234,1.1481939829881462e-08,1,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_86,mean,86,4920234,1.550157875398683e-08,1,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_87,mean,87,4920234,2.832338479264397e-09,10,24,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_88,mean,88,4920234,2.3441216725430641e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_89,mean,89,4920234,9.821971540843632e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_90,mean,90,4920234,1.2928287725092571e-08,1,542,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_91,mean,91,4920234,1.3683209768461726e-07,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_92,mean,92,4920234,2.5019597096966918e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_93,mean,93,4920234,4.916418899800223e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_94,mean,94,4920234,4.7095810794629096e-08,0,0,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_95,mean,95,4920234,2.1576599200951833e-08,0,1172,3,380.90962918801233,11.903425912125384,3169884,1.5773447861183564e-08
embedding_mean_96,mean,96,4920234,6.034832667839891e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_97,mean,97,4920234,3.256891004768844e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_98,mean,98,4920234,5.760933051995293e-09,1,1,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_99,mean,99,4920234,2.8492379975932743e-09,6,4555,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_100,mean,100,4920234,7.699397816998767e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_101,mean,101,4920234,4.333562745647457e-09,1,1,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_102,mean,102,4920234,7.871336826700307e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_103,mean,103,4920234,1.44528325178934e-07,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_104,mean,104,4920234,6.58929823803998e-10,10,21,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_105,mean,105,4920234,6.157262045969434e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_106,mean,106,4920234,2.4219965794094033e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_107,mean,107,4920234,3.4581750256796405e-10,11,537,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_108,mean,108,4920234,1.53958387048562e-08,1,613,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_109,mean,109,4920234,4.446901963132297e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_110,mean,110,4920234,2.388231230925522e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_111,mean,111,4920234,4.3620973819280737e-07,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_112,mean,112,4920234,1.939722443309181e-07,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_113,mean,113,4920234,3.2125889072370753e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_114,mean,114,4920234,1.988092537575153e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_115,mean,115,4920234,5.453208680742617e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_116,mean,116,4920234,5.779357917850399e-07,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_117,mean,117,4920234,1.1660489454775263e-09,4,1770,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_118,mean,118,4920234,6.959609189735545e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_119,mean,119,4920234,1.5046701013748453e-08,1,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_120,mean,120,4920234,1.0342783553940009e-07,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_121,mean,121,4920234,1.5767660085152775e-08,1,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_122,mean,122,4920234,2.1237877915035596e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_123,mean,123,4920234,1.601513475926874e-10,52,383,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_124,mean,124,4920234,8.106988513590615e-08,0,0,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_125,mean,125,4920234,1.0125611591972984e-08,1,1,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_126,mean,126,4920234,1.04008264417987e-08,1,81,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_127,mean,127,4920234,7.847651000709278e-10,14,86,4,430.87771928100847,13.464928727531516,3169884,1.5773447861183564e-08
embedding_mean_128,mean,128,4920234,5.399297828605864e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_129,mean,129,4920234,3.5432988496621542e-09,4,4,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_130,mean,130,4920234,2.1094595772318166e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_131,mean,131,4920234,1.3600662545115857e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_132,mean,132,4920234,4.5659060714509215e-10,16,477,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_133,mean,133,4920234,4.198458746290214e-08,0,14681,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_134,mean,134,4920234,1.4985062675066021e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_135,mean,135,4920234,6.217561499282426e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_136,mean,136,4920234,6.479378011915192e-09,1,1,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_137,mean,137,4920234,4.237898512279341e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_138,mean,138,4920234,2.0061458442512382e-08,0,286,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_139,mean,139,4920234,4.949406743519048e-10,15,67,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_140,mean,140,4920234,1.476647649554047e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_141,mean,141,4920234,1.4530353381513852e-08,1,385,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_142,mean,142,4920234,1.0592626273844509e-08,1,2,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_143,mean,143,4920234,1.935020624107819e-09,1,1,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_144,mean,144,4920234,6.439564932449213e-09,1,19,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_145,mean,145,4920234,1.9959860298464705e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_146,mean,146,4920234,5.806571670159796e-09,1,1,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_147,mean,147,4920234,3.6622441166716274e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_148,mean,148,4920234,1.653495143174649e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_149,mean,149,4920234,2.516672440849029e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_150,mean,150,4920234,2.666900526012731e-10,15,25164,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_151,mean,151,4920234,1.4620189249602926e-08,1,446,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_152,mean,152,4920234,7.415993397952012e-09,1,1,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_153,mean,153,4920234,1.5025745661854538e-08,1,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_154,mean,154,4920234,1.596406165507854e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_155,mean,155,4920234,6.8631218486354795e-09,1,1,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_156,mean,156,4920234,1.2377883443512733e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_157,mean,157,4920234,1.3406395986682988e-08,3,1062,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_158,mean,158,4920234,8.68264282409665e-08,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_159,mean,159,4920234,2.272310766075989e-07,0,0,5,406.3684771521948,12.699014911006088,3169884,1.5773447861183564e-08
embedding_mean_160,mean,160,4920234,3.852554581953891e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_161,mean,161,4920234,6.702584412896487e-09,2,7,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_162,mean,162,4920234,1.227778364065503e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_163,mean,163,4920234,2.429600552506598e-09,1,1,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_164,mean,164,4920234,8.37724508134251e-12,130,4163,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_165,mean,165,4920234,1.3827303074784522e-08,1,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_166,mean,166,4920234,6.582173575593275e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_167,mean,167,4920234,3.4871097468108155e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_168,mean,168,4920234,2.638012642557991e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_169,mean,169,4920234,8.297122379797907e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_170,mean,170,4920234,2.7503344354312603e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_171,mean,171,4920234,4.029961534552714e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_172,mean,172,4920234,2.414844642231758e-10,22,499,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_173,mean,173,4920234,5.870723537208194e-10,2,8,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_174,mean,174,4920234,3.3391934954525363e-09,1,2,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_175,mean,175,4920234,2.8636491513563355e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_176,mean,176,4920234,7.057848397811463e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_177,mean,177,4920234,2.9337212496180905e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_178,mean,178,4920234,1.4480972441446198e-10,64,1138,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_179,mean,179,4920234,1.8008219290836533e-08,0,309,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_180,mean,180,4920234,4.1829717370378944e-08,0,6,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_181,mean,181,4920234,1.3799331797922496e-08,1,3120,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_182,mean,182,4920234,2.1653098362090595e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_183,mean,183,4920234,1.2811091009169422e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_184,mean,184,4920234,6.80722658204642e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_185,mean,185,4920234,8.356680443948348e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_186,mean,186,4920234,5.979688705336509e-12,132,1053,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_187,mean,187,4920234,1.1315983735605357e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_188,mean,188,4920234,4.8800689437374136e-08,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_189,mean,189,4920234,1.0424174813960198e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_190,mean,190,4920234,1.3319997472509214e-07,0,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_191,mean,191,4920234,1.1221441620840076e-08,1,0,6,403.2307135290466,12.600959797782709,3169884,1.5773447861183564e-08
embedding_mean_192,mean,192,4920234,6.088280474109143e-10,12,1242,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_193,mean,193,4920234,1.8818639108988727e-08,0,3,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_194,mean,194,4920234,5.514323292659342e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_195,mean,195,4920234,5.4015102785773536e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_196,mean,196,4920234,3.1849856155005035e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_197,mean,197,4920234,9.747075764726293e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_198,mean,198,4920234,1.578044031260081e-07,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_199,mean,199,4920234,1.485039324181058e-09,4,28,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_200,mean,200,4920234,7.834247528829149e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_201,mean,201,4920234,4.7191378311575256e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_202,mean,202,4920234,3.321538235346729e-08,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_203,mean,203,4920234,4.505601858528194e-07,0,0,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
embedding_mean_204,mean,204,4920234,4.656505690695831e-09,3,1019,7,403.21825185907073,12.60057037059596,3169884,1.5773447861183564e-08
