feature_index,avg_fi,stat,embedding_num,trait
558,0.00045178956800192,mean,558,embedding_mean_558
135,0.00045154332968908,mean,135,embedding_mean_135
1644,0.00045147310871688,std,620,embedding_std_620
136,0.00045136897289916,mean,136,embedding_mean_136
1210,0.00044740746319068,std,186,embedding_std_186
983,0.00044601963406127996,mean,983,embedding_mean_983
1527,0.00044471466669653996,std,503,embedding_std_503
2027,0.00044422072029675995,std,1003,embedding_std_1003
1485,0.00044232200303554,std,461,embedding_std_461
2033,0.00043998159660029997,std,1009,embedding_std_1009
1167,0.00043933169221805994,std,143,embedding_std_143
766,0.0004392965255244199,mean,766,embedding_mean_766
1057,0.00043859897372894004,std,33,embedding_std_33
2025,0.00043848347486952005,std,1001,embedding_std_1001
1128,0.00043819689233384003,std,104,embedding_std_104
1236,0.00043749038609882003,std,212,embedding_std_212
954,0.00043577000347834,mean,954,embedding_mean_954
1148,0.00043526908391354,std,124,embedding_std_124
93,0.00043468933081019996,mean,93,embedding_mean_93
1914,0.0004331952961483001,std,890,embedding_std_890
571,0.00043283440825639993,mean,571,embedding_mean_571
904,0.00043270414245606003,mean,904,embedding_mean_904
1460,0.00043134254378172,std,436,embedding_std_436
1028,0.00042849014120570003,std,4,embedding_std_4
1014,0.0004283462934242,mean,1014,embedding_mean_1014
1589,0.00042757036905146,std,565,embedding_std_565
86,0.00042707341265807994,mean,86,embedding_mean_86
370,0.00042686962441952,mean,370,embedding_mean_370
1539,0.0004247911649581801,std,515,embedding_std_515
540,0.00042461695458788,mean,540,embedding_mean_540
1567,0.00042454485361446005,std,543,embedding_std_543
1077,0.00042414057900304,std,53,embedding_std_53
1170,0.0004230345331296999,std,146,embedding_std_146
638,0.00042284095335117997,mean,638,embedding_mean_638
1144,0.00042265022885558,std,120,embedding_std_120
1569,0.00042262630648147995,std,545,embedding_std_545
1068,0.00042036463399892,std,44,embedding_std_44
1757,0.00042022110976443997,std,733,embedding_std_733
1248,0.00041842892938946,std,224,embedding_std_224
386,0.00041762686167254,mean,386,embedding_mean_386
521,0.00041611551752674,mean,521,embedding_mean_521
1371,0.00041506241957820004,std,347,embedding_std_347
1913,0.00041375069687902,std,889,embedding_std_889
852,0.00041326856707234,mean,852,embedding_mean_852
201,0.00041225364780194,mean,201,embedding_mean_201
1716,0.00041183499552012004,std,692,embedding_std_692
701,0.00041154832191843995,mean,701,embedding_mean_701
1614,0.00040981953074284005,std,590,embedding_std_590
326,0.00040964526589382,mean,326,embedding_mean_326
1736,0.00040857939128279995,std,712,embedding_std_712
857,0.00040818237416566,mean,857,embedding_mean_857
945,0.00040726825450332,mean,945,embedding_mean_945
1956,0.00040659656158738,std,932,embedding_std_932
890,0.0004052754866673999,mean,890,embedding_mean_890
1047,0.0004048252478947601,std,23,embedding_std_23
295,0.0004043554245138,mean,295,embedding_mean_295
223,0.00040269313103696,mean,223,embedding_mean_223
1339,0.00040190265381452004,std,315,embedding_std_315
248,0.00040169569846998,mean,248,embedding_mean_248
149,0.00039902216334596004,mean,149,embedding_mean_149
988,0.00039900238306032,mean,988,embedding_mean_988
793,0.00039761087063408,mean,793,embedding_mean_793
735,0.00039742406605726004,mean,735,embedding_mean_735
1468,0.00039684215977962004,std,444,embedding_std_444
924,0.00039472392702519997,mean,924,embedding_mean_924
1883,0.00039131026825938,std,859,embedding_std_859
803,0.00039082200890846005,mean,803,embedding_mean_803
1408,0.00038900129250298,std,384,embedding_std_384
871,0.00038824735146404,mean,871,embedding_mean_871
54,0.00038751854316328,mean,54,embedding_mean_54
1384,0.00038684450046636004,std,360,embedding_std_360
807,0.00038600049449308006,mean,807,embedding_mean_807
1029,0.00038576458061722,std,5,embedding_std_5
933,0.00038314691555778004,mean,933,embedding_mean_933
818,0.0003829812292342,mean,818,embedding_mean_818
230,0.0003825865554606697,mean,230,embedding_mean_230
35,0.00038250096427124,mean,35,embedding_mean_35
19,0.00038193912395008005,mean,19,embedding_mean_19
1933,0.00038054297271358003,std,909,embedding_std_909
1164,0.00037831910704342003,std,140,embedding_std_140
394,0.00037662599449128,mean,394,embedding_mean_394
1101,0.00037613287385726,std,77,embedding_std_77
509,0.00037571337144694,mean,509,embedding_mean_509
382,0.00037499312937024,mean,382,embedding_mean_382
177,0.00037487513347649997,mean,177,embedding_mean_177
1717,0.00037455081887482,std,693,embedding_std_693
381,0.00037447134952556,mean,381,embedding_mean_381
1099,0.0003741003787617,std,75,embedding_std_75
111,0.00037353510335036,mean,111,embedding_mean_111
412,0.0003728677652911,mean,412,embedding_mean_412
471,0.00037184368596294,mean,471,embedding_mean_471
1258,0.0003717761309291,std,234,embedding_std_234
1226,0.00037069267836525996,std,202,embedding_std_202
2039,0.00037013028696774,std,1015,embedding_std_1015
1368,0.00037007075715475996,std,344,embedding_std_344
1181,0.00037002820366854,std,157,embedding_std_157
1096,0.00036955835309458,std,72,embedding_std_72
1504,0.00036909320273412004,std,480,embedding_std_480
925,0.00036753537397156,mean,925,embedding_mean_925
753,0.00036694485563048,mean,753,embedding_mean_753
1657,0.0003668800914381,std,633,embedding_std_633
1758,0.00036613785182044,std,734,embedding_std_734
1442,0.0003660498796942,std,418,embedding_std_418
921,0.00036592523809314,mean,921,embedding_mean_921
769,0.0003656917152405,mean,769,embedding_mean_769
288,0.0003655140819583,mean,288,embedding_mean_288
200,0.0003649059320214,mean,200,embedding_mean_200
486,0.00036448958103280007,mean,486,embedding_mean_486
823,0.0003637423036258,mean,823,embedding_mean_823
353,0.00036342601080672,mean,353,embedding_mean_353
776,0.00036325904716506005,mean,776,embedding_mean_776
1301,0.00036320247976398,std,277,embedding_std_277
969,0.00036169504493906,mean,969,embedding_mean_969
1119,0.00036069323159578,std,95,embedding_std_95
281,0.00036045403825089997,mean,281,embedding_mean_281
874,0.00035993357847614,mean,874,embedding_mean_874
831,0.0003594489924085,mean,831,embedding_mean_831
1356,0.00035913597125359996,std,332,embedding_std_332
596,0.00035888263287782007,mean,596,embedding_mean_596
1601,0.00035866755668948,std,577,embedding_std_577
1552,0.00035840261596533995,std,528,embedding_std_528
190,0.00035812128272173994,mean,190,embedding_mean_190
1921,0.00035787531037961997,std,897,embedding_std_897
1654,0.0003577143150512,std,630,embedding_std_630
1011,0.00035698280753078003,mean,1011,embedding_mean_1011
1912,0.00035565518769436,std,888,embedding_std_888
128,0.0003544903033749,mean,128,embedding_mean_128
369,0.00035357236020196,mean,369,embedding_mean_369
911,0.0003534901979805001,mean,911,embedding_mean_911
544,0.00035276225440678,mean,544,embedding_mean_544
1,0.00035222590410668,mean,1,embedding_mean_1
2022,0.00035203591163786004,std,998,embedding_std_998
1798,0.0003501053968238,std,774,embedding_std_774
405,0.00034910340564302,mean,405,embedding_mean_405
653,0.00034603617133571995,mean,653,embedding_mean_653
104,0.00034537232300480003,mean,104,embedding_mean_104
123,0.00034527725733777995,mean,123,embedding_mean_123
597,0.00034449310872592,mean,597,embedding_mean_597
207,0.00034438176722218,mean,207,embedding_mean_207
1770,0.00034405195410272,std,746,embedding_std_746
959,0.00034345283269249997,mean,959,embedding_mean_959
997,0.00034202593479966,mean,997,embedding_mean_997
951,0.00034015809634500003,mean,951,embedding_mean_951
885,0.00034010183834957996,mean,885,embedding_mean_885
1840,0.00033984389680018,std,816,embedding_std_816
493,0.00033957083687816,mean,493,embedding_mean_493
748,0.00033822515357118,mean,748,embedding_mean_748
1238,0.00033803773390625995,std,214,embedding_std_214
375,0.00033514272042569997,mean,375,embedding_mean_375
1542,0.0003350123096818,std,518,embedding_std_518
2034,0.000334467351024,std,1010,embedding_std_1010
323,0.00033433567890146,mean,323,embedding_mean_323
254,0.00033382115004086004,mean,254,embedding_mean_254
251,0.00033342585845456,mean,251,embedding_mean_251
1025,0.00033194154830831996,std,1,embedding_std_1
1445,0.00033183689624682,std,421,embedding_std_421
1967,0.00033178643334118004,std,943,embedding_std_943
1806,0.00033166510070788,std,782,embedding_std_782
1834,0.0003311484008953,std,810,embedding_std_810
1361,0.00033110271034662,std,337,embedding_std_337
1858,0.00033104583680312004,std,834,embedding_std_834
428,0.00033102175833018,mean,428,embedding_mean_428
1938,0.00033058146503382,std,914,embedding_std_914
245,0.00032999684056822,mean,245,embedding_mean_245
878,0.00032941877976754,mean,878,embedding_mean_878
654,0.00032912987183422,mean,654,embedding_mean_654
1983,0.00032899292213768003,std,959,embedding_std_959
1463,0.00032741658182794,std,439,embedding_std_439
311,0.00032740117835376004,mean,311,embedding_mean_311
1615,0.00032665580240974,std,591,embedding_std_591
1427,0.0003265921335497,std,403,embedding_std_403
942,0.00032580328141542,mean,942,embedding_mean_942
1821,0.00032549089571836,std,797,embedding_std_797
587,0.0003241458277571,mean,587,embedding_mean_587
947,0.00032388254067174,mean,947,embedding_mean_947
12,0.00032364674783904,mean,12,embedding_mean_12
1969,0.0003236451879051,std,945,embedding_std_945
1517,0.00032334423130428,std,493,embedding_std_493
1319,0.00032204244158466004,std,295,embedding_std_295
2030,0.00032192803284906,std,1006,embedding_std_1006
861,0.00032151499055028,mean,861,embedding_mean_861
306,0.00032140171661860004,mean,306,embedding_mean_306
1289,0.00032119827703296,std,265,embedding_std_265
436,0.00032080227881938004,mean,436,embedding_mean_436
667,0.00032024643753350004,mean,667,embedding_mean_667
1886,0.00031895637131758,std,862,embedding_std_862
1729,0.0003188397011471,std,705,embedding_std_705
578,0.00031793906339506,mean,578,embedding_mean_578
228,0.00031681344807706,mean,228,embedding_mean_228
1162,0.00031390848237254,std,138,embedding_std_138
1751,0.00031376958546714,std,727,embedding_std_727
107,0.00031297665365237996,mean,107,embedding_mean_107
995,0.00031182691430436,mean,995,embedding_mean_995
324,0.00031147805464774,mean,324,embedding_mean_324
869,0.00031122198138222,mean,869,embedding_mean_869
1125,0.000310856844325,std,101,embedding_std_101
78,0.000309606547115,mean,78,embedding_mean_78
60,0.00030958165872738,mean,60,embedding_mean_60
899,0.00030955736678876,mean,899,embedding_mean_899
534,0.00030883209994667993,mean,534,embedding_mean_534
357,0.00030874300044650004,mean,357,embedding_mean_357
532,0.00030866732584141997,mean,532,embedding_mean_532
91,0.00030854044562289996,mean,91,embedding_mean_91
1040,0.00030842357645293996,std,16,embedding_std_16
162,0.00030803089549906,mean,162,embedding_mean_162
367,0.00030669382909792,mean,367,embedding_mean_367
389,0.00030652146614741995,mean,389,embedding_mean_389
205,0.00030618126885691995,mean,205,embedding_mean_205
572,0.0003051361841023,mean,572,embedding_mean_572
1861,0.00030255524286532,std,837,embedding_std_837
1074,0.00030242144286146,std,50,embedding_std_50
1305,0.00030132946346286,std,281,embedding_std_281
1494,0.00030048540124343997,std,470,embedding_std_470
22,0.00030037115475532,mean,22,embedding_mean_22
692,0.00030015045324522,mean,692,embedding_mean_692
2024,0.00030000607819654,std,1000,embedding_std_1000
425,0.00029939201914592,mean,425,embedding_mean_425
1378,0.00029935484181024,std,354,embedding_std_354
258,0.00029922771928338,mean,258,embedding_mean_258
1018,0.00029819164411716,mean,1018,embedding_mean_1018
742,0.00029812733369564,mean,742,embedding_mean_742
1005,0.00029756499893610007,mean,1005,embedding_mean_1005
1579,0.00029756324450032,std,555,embedding_std_555
321,0.00029649554238286,mean,321,embedding_mean_321
960,0.0002963599145916,mean,960,embedding_mean_960
1186,0.000296139550567,std,162,embedding_std_162
1111,0.00029596286756014003,std,87,embedding_std_87
635,0.00029544507878434003,mean,635,embedding_mean_635
1773,0.00029390518673256004,std,749,embedding_std_749
285,0.00029075990869670087,mean,285,embedding_mean_285
302,0.00028995500893882,mean,302,embedding_mean_302
1345,0.00028984757280562,std,321,embedding_std_321
1795,0.00028977041218076,std,771,embedding_std_771
94,0.00028903153937816,mean,94,embedding_mean_94
1667,0.00028843773666348,std,643,embedding_std_643
634,0.00028777167637592,mean,634,embedding_mean_634
84,0.0002877359694507,mean,84,embedding_mean_84
884,0.00028765889793112,mean,884,embedding_mean_884
669,0.00028721530445152005,mean,669,embedding_mean_669
752,0.00028702077302462,mean,752,embedding_mean_752
325,0.00028652520734094,mean,325,embedding_mean_325
712,0.0002860963577761,mean,712,embedding_mean_712
1951,0.00028545217709286,std,927,embedding_std_927
26,0.00028536207870844,mean,26,embedding_mean_26
345,0.00028526085777876004,mean,345,embedding_mean_345
998,0.0002852319012104,mean,998,embedding_mean_998
788,0.00028511039565698004,mean,788,embedding_mean_788
1553,0.00028510402767008,std,529,embedding_std_529
256,0.00028491423135705996,mean,256,embedding_mean_256
1026,0.00028442964981994004,std,2,embedding_std_2
931,0.00028403102348636,mean,931,embedding_mean_931
1878,0.00028401818081976,std,854,embedding_std_854
2047,0.00028340735606892,std,1023,embedding_std_1023
1924,0.00028259943726137996,std,900,embedding_std_900
332,0.00028082348722346,mean,332,embedding_mean_332
1631,0.00028031526461876,std,607,embedding_std_607
1611,0.0002802043850461,std,587,embedding_std_587
816,0.00027999850607817996,mean,816,embedding_mean_816
996,0.0002795345991416,mean,996,embedding_mean_996
1355,0.00027882617937768,std,331,embedding_std_331
476,0.00027834879856142,mean,476,embedding_mean_476
1139,0.0002776474822175,std,115,embedding_std_115
645,0.00027682425987913997,mean,645,embedding_mean_645
1844,0.0002766657241341,std,820,embedding_std_820
21,0.00027661885367536,mean,21,embedding_mean_21
1454,0.00027622796174876004,std,430,embedding_std_430
1791,0.00027622655713428,std,767,embedding_std_767
1267,0.0002758185017142,std,243,embedding_std_243
1311,0.00027556237492366,std,287,embedding_std_287
291,0.0002754190691738,mean,291,embedding_mean_291
1900,0.00027516492644012,std,876,embedding_std_876
895,0.00027506841045236004,mean,895,embedding_mean_895
1882,0.00027506836261298,std,858,embedding_std_858
589,0.00027505900696742,mean,589,embedding_mean_589
832,0.0002738865606134,mean,832,embedding_mean_832
862,0.00027354179238875994,mean,862,embedding_mean_862
1907,0.00027299891864610004,std,883,embedding_std_883
1833,0.00027274731799668,std,809,embedding_std_809
829,0.00027265112075202,mean,829,embedding_mean_829
1617,0.00027240641922194003,std,593,embedding_std_593
1209,0.00027217607808124,std,185,embedding_std_185
849,0.00027188615376942004,mean,849,embedding_mean_849
594,0.00027147564144075996,mean,594,embedding_mean_594
1304,0.0002711125448842,std,280,embedding_std_280
1198,0.00027110239105580005,std,174,embedding_std_174
1465,0.00027106621718507996,std,441,embedding_std_441
512,0.00027095133659538,mean,512,embedding_mean_512
2,0.0002704701159775,mean,2,embedding_mean_2
1620,0.00027021021970826,std,596,embedding_std_596
215,0.00026973738416726,mean,215,embedding_mean_215
1655,0.00026964351479759997,std,631,embedding_std_631
45,0.0002695559342402468,mean,45,embedding_mean_45
61,0.00026953176546238,mean,61,embedding_mean_61
330,0.0002691564272172,mean,330,embedding_mean_330
18,0.00026904398922228,mean,18,embedding_mean_18
1332,0.00026864245590578,std,308,embedding_std_308
806,0.0002683298286937,mean,806,embedding_mean_806
1276,0.0002682229258867,std,252,embedding_std_252
1078,0.00026821448544464,std,54,embedding_std_54
92,0.0002681623038856,mean,92,embedding_mean_92
914,0.00026772558692874,mean,914,embedding_mean_914
1405,0.00026683737040113996,std,381,embedding_std_381
199,0.00026654613173434,mean,199,embedding_mean_199
1509,0.00026647796195032006,std,485,embedding_std_485
1067,0.00026629719839848,std,43,embedding_std_43
1787,0.00026585096490868,std,763,embedding_std_763
30,0.00026523899648650003,mean,30,embedding_mean_30
761,0.00026452512246265996,mean,761,embedding_mean_761
737,0.00026437673064967995,mean,737,embedding_mean_737
1877,0.00026300236964011997,std,853,embedding_std_853
14,0.00026295580917412,mean,14,embedding_mean_14
55,0.00026293239346685996,mean,55,embedding_mean_55
907,0.0002626975236578,mean,907,embedding_mean_907
1359,0.00026209467983396,std,335,embedding_std_335
48,0.00026202165388896005,mean,48,embedding_mean_48
1369,0.00026142350774024,std,345,embedding_std_345
1227,0.000261354017251,std,203,embedding_std_203
1333,0.00026121832122187995,std,309,embedding_std_309
452,0.00026033833745439997,mean,452,embedding_mean_452
346,0.00026028076854241997,mean,346,embedding_mean_346
120,0.00026027079286406005,mean,120,embedding_mean_120
1281,0.0002599139258437,std,257,embedding_std_257
1984,0.00025988169594298,std,960,embedding_std_960
1653,0.00025953641791346,std,629,embedding_std_629
1346,0.0002590614344377,std,322,embedding_std_322
618,0.00025857721580288,mean,618,embedding_mean_618
99,0.00025826474329387997,mean,99,embedding_mean_99
599,0.00025764502876622007,mean,599,embedding_mean_599
1473,0.00025700366241947995,std,449,embedding_std_449
1205,0.00025634455325336005,std,181,embedding_std_181
32,0.00025617996183474004,mean,32,embedding_mean_32
222,0.00025586268133708,mean,222,embedding_mean_222
1673,0.0002555621532131,std,649,embedding_std_649
219,0.0002549047197634,mean,219,embedding_mean_219
1976,0.00025443556830145994,std,952,embedding_std_952
999,0.00025434743628842003,mean,999,embedding_mean_999
1497,0.00025416591631418,std,473,embedding_std_473
339,0.0002541455093429,mean,339,embedding_mean_339
1862,0.00025281414651806,std,838,embedding_std_838
1607,0.00025277860292188,std,583,embedding_std_583
1141,0.00025264054853764,std,117,embedding_std_117
1413,0.0002523314233966,std,389,embedding_std_389
1885,0.0002519921749757,std,861,embedding_std_861
269,0.00025197609315252,mean,269,embedding_mean_269
1430,0.0002519541483884,std,406,embedding_std_406
24,0.00025177403867872,mean,24,embedding_mean_24
310,0.00025141449313038,mean,310,embedding_mean_310
1030,0.00025126249638644,std,6,embedding_std_6
338,0.00025082101311928,mean,338,embedding_mean_338
1745,0.00025033612626816,std,721,embedding_std_721
118,0.00025017599003637997,mean,118,embedding_mean_118
1097,0.00025012872337762,std,73,embedding_std_73
89,0.0002500219164996,mean,89,embedding_mean_89
1107,0.00024999276617596,std,83,embedding_std_83
1480,0.00024994904532798,std,456,embedding_std_456
1458,0.0002498886916141,std,434,embedding_std_434
186,0.00024972393225684,mean,186,embedding_mean_186
1515,0.00024936505205294,std,491,embedding_std_491
519,0.00024926586189039996,mean,519,embedding_mean_519
722,0.00024906154544534,mean,722,embedding_mean_722
297,0.00024870583066644,mean,297,embedding_mean_297
1703,0.00024762939245822,std,679,embedding_std_679
1941,0.00024676876722904003,std,917,embedding_std_917
204,0.0002461264839677,mean,204,embedding_mean_204
660,0.0002460052063293,mean,660,embedding_mean_660
795,0.00024566685010508004,mean,795,embedding_mean_795
1753,0.00024539005545654,std,729,embedding_std_729
848,0.00024448770183595463,mean,848,embedding_mean_848
686,0.00024396961008568002,mean,686,embedding_mean_686
179,0.00024359746620360002,mean,179,embedding_mean_179
307,0.0002433394467528,mean,307,embedding_mean_307
1123,0.00024300205331513998,std,99,embedding_std_99
1412,0.00024294475703187998,std,388,embedding_std_388
1143,0.00024245637177054002,std,119,embedding_std_119
354,0.00024218488212438,mean,354,embedding_mean_354
1609,0.00024150515629860002,std,585,embedding_std_585
1474,0.00024146589475628,std,450,embedding_std_450
2036,0.00024115189665724,std,1012,embedding_std_1012
499,0.00024094787291755997,mean,499,embedding_mean_499
43,0.00024089812684552,mean,43,embedding_mean_43
936,0.0002407655899495,mean,936,embedding_mean_936
1868,0.00024066929806232,std,844,embedding_std_844
1012,0.00024053321474084,mean,1012,embedding_mean_1012
1046,0.00024037390790816,std,22,embedding_std_22
335,0.00023985531163142,mean,335,embedding_mean_335
1449,0.00023941339054511999,std,425,embedding_std_425
1865,0.00023941116550115995,std,841,embedding_std_841
1772,0.00023881599419858,std,748,embedding_std_748
796,0.00023875322960450001,mean,796,embedding_mean_796
1000,0.00023838957859651996,mean,1000,embedding_mean_1000
934,0.00023835071032518004,mean,934,embedding_mean_934
1161,0.00023815160408534002,std,137,embedding_std_137
821,0.00023800834521556002,mean,821,embedding_mean_821
858,0.00023765235107721998,mean,858,embedding_mean_858
1776,0.000236465974726,std,752,embedding_std_752
775,0.00023631464826938002,mean,775,embedding_mean_775
510,0.00023515628066458002,mean,510,embedding_mean_510
1428,0.00023507445645242002,std,404,embedding_std_404
336,0.00023506850806668,mean,336,embedding_mean_336
935,0.00023386462858214003,mean,935,embedding_mean_935
164,0.00023320265547783998,mean,164,embedding_mean_164
1425,0.00023304774297423997,std,401,embedding_std_401
79,0.00023294961898189998,mean,79,embedding_mean_79
557,0.0002328187719424,mean,557,embedding_mean_557
435,0.00023281129331309997,mean,435,embedding_mean_435
713,0.00023215768610091998,mean,713,embedding_mean_713
1616,0.00023205200254978,std,592,embedding_std_592
672,0.00023202808420324,mean,672,embedding_mean_672
1606,0.00023189949450068002,std,582,embedding_std_582
730,0.00023176593870494,mean,730,embedding_mean_730
826,0.00023163554097716004,mean,826,embedding_mean_826
1573,0.00023075727197838003,std,549,embedding_std_549
892,0.00023014686001130002,mean,892,embedding_mean_892
236,0.00022985053452083997,mean,236,embedding_mean_236
218,0.00022826287628412,mean,218,embedding_mean_218
1643,0.00022814557844704001,std,619,embedding_std_619
535,0.0002278097416915,mean,535,embedding_mean_535
1260,0.00022733202493772,std,236,embedding_std_236
759,0.00022723233488862,mean,759,embedding_mean_759
724,0.00022706144200514,mean,724,embedding_mean_724
1112,0.00022691020420729998,std,88,embedding_std_88
786,0.00022688123425076002,mean,786,embedding_mean_786
1379,0.00022678564359064827,std,355,embedding_std_355
448,0.00022639055044704,mean,448,embedding_mean_448
971,0.000226085746365723,mean,971,embedding_mean_971
1347,0.00022577938690936003,std,323,embedding_std_323
1526,0.00022575828158682,std,502,embedding_std_502
898,0.00022571998411128003,mean,898,embedding_mean_898
993,0.00022568206370938,mean,993,embedding_mean_993
1543,0.00022527315561708005,std,519,embedding_std_519
1891,0.00022498961593554,std,867,embedding_std_867
1648,0.0002243789430037,std,624,embedding_std_624
1852,0.00022412928063491997,std,828,embedding_std_828
585,0.00022406544365354003,mean,585,embedding_mean_585
916,0.00022404859538612,mean,916,embedding_mean_916
459,0.00022399737518727998,mean,459,embedding_mean_459
1230,0.00022371813885642004,std,206,embedding_std_206
360,0.00022371043730099997,mean,360,embedding_mean_360
1889,0.00022326636299462005,std,865,embedding_std_865
1603,0.00022304212219324002,std,579,embedding_std_579
431,0.00022298067605820002,mean,431,embedding_mean_431
1869,0.0002227961624126,std,845,embedding_std_845
1126,0.00022245930459474,std,102,embedding_std_102
1932,0.00022219768073676,std,908,embedding_std_908
127,0.00022185844187106,mean,127,embedding_mean_127
1492,0.00022169161612514,std,468,embedding_std_468
991,0.00022166041492382004,mean,991,embedding_mean_991
728,0.00022136268591304038,mean,728,embedding_mean_728
133,0.00022115071459533997,mean,133,embedding_mean_133
31,0.00022099872948428003,mean,31,embedding_mean_31
1555,0.00022089524475014285,std,531,embedding_std_531
341,0.00022061519698439997,mean,341,embedding_mean_341
1136,0.0002202137303482652,std,112,embedding_std_112
1233,0.00022002982231908,std,209,embedding_std_209
1519,0.00021992306323342,std,495,embedding_std_495
651,0.00021979963743812,mean,651,embedding_mean_651
1277,0.00021948964557922,std,253,embedding_std_253
1970,0.00021936452197540002,std,946,embedding_std_946
343,0.00021933136627756,mean,343,embedding_mean_343
1728,0.00021888290665028,std,704,embedding_std_704
296,0.00021879337972859997,mean,296,embedding_mean_296
650,0.00021858640150018002,mean,650,embedding_mean_650
1004,0.00021844163397672,mean,1004,embedding_mean_1004
1866,0.00021835043294969998,std,842,embedding_std_842
1308,0.00021810139176295997,std,284,embedding_std_284
1518,0.00021798201231547996,std,494,embedding_std_494
1374,0.0002178367817786,std,350,embedding_std_350
1418,0.00021732050760714,std,394,embedding_std_394
268,0.00021718070456809997,mean,268,embedding_mean_268
489,0.00021686138700876,mean,489,embedding_mean_489
1140,0.00021672502777578002,std,116,embedding_std_116
977,0.0002165086470167,mean,977,embedding_mean_977
794,0.00021565792261992,mean,794,embedding_mean_794
1800,0.00021559825487734002,std,776,embedding_std_776
770,0.0002155010368196,mean,770,embedding_mean_770
1846,0.00021528710124984002,std,822,embedding_std_822
518,0.0002147204489563,mean,518,embedding_mean_518
44,0.00021431492207577997,mean,44,embedding_mean_44
1927,0.00021417279348880002,std,903,embedding_std_903
358,0.00021414396560135996,mean,358,embedding_mean_358
1184,0.00021408084156987998,std,160,embedding_std_160
401,0.0002138257950287,mean,401,embedding_mean_401
2031,0.00021336769575646,std,1007,embedding_std_1007
1971,0.00021314951369580002,std,947,embedding_std_947
1797,0.00021301183398116002,std,773,embedding_std_773
347,0.00021286770628250003,mean,347,embedding_mean_347
227,0.00021196508670105998,mean,227,embedding_mean_227
73,0.00021182807576762002,mean,73,embedding_mean_73
488,0.00021150958522889998,mean,488,embedding_mean_488
1774,0.0002114359304168,std,750,embedding_std_750
1261,0.0002112561906527,std,237,embedding_std_237
919,0.00021091664767142003,mean,919,embedding_mean_919
148,0.00021090864211313997,mean,148,embedding_mean_148
894,0.00021083687485996,mean,894,embedding_mean_894
1726,0.0002106930227849,std,702,embedding_std_702
348,0.00021029592430918,mean,348,embedding_mean_348
631,0.00021024981922094973,mean,631,embedding_mean_631
1587,0.00021018302479666002,std,563,embedding_std_563
783,0.00020992616581314,mean,783,embedding_mean_783
642,0.00020901353002018,mean,642,embedding_mean_642
649,0.00020888701860935998,mean,649,embedding_mean_649
350,0.00020877312967242,mean,350,embedding_mean_350
1545,0.00020860018181008004,std,521,embedding_std_521
13,0.00020856184634078,mean,13,embedding_mean_13
595,0.00020842190309776,mean,595,embedding_mean_595
1525,0.00020838528582502,std,501,embedding_std_501
1456,0.00020818744441378003,std,432,embedding_std_432
1722,0.00020797475996454,std,698,embedding_std_698
6,0.0002079507565397,mean,6,embedding_mean_6
908,0.00020785598859128,mean,908,embedding_mean_908
1986,0.00020748652223604,std,962,embedding_std_962
965,0.00020727367314024,mean,965,embedding_mean_965
1563,0.0002070815322916,std,539,embedding_std_539
961,0.0002066973955669427,mean,961,embedding_mean_961
1763,0.00020658806502033998,std,739,embedding_std_739
608,0.00020653228874873702,mean,608,embedding_mean_608
643,0.00020644580325984,mean,643,embedding_mean_643
1779,0.00020579499315842003,std,755,embedding_std_755
563,0.00020546212970542002,mean,563,embedding_mean_563
543,0.00020536988220616,mean,543,embedding_mean_543
985,0.00020536343162517998,mean,985,embedding_mean_985
1469,0.00020444227121396,std,445,embedding_std_445
1843,0.00020373038640084004,std,819,embedding_std_819
1321,0.00020358085895466,std,297,embedding_std_297
1909,0.00020321728914806,std,885,embedding_std_885
453,0.00020319652067456,mean,453,embedding_mean_453
655,0.00020281942986156003,mean,655,embedding_mean_655
1225,0.0002025500499549,std,201,embedding_std_201
1680,0.00020246341218602,std,656,embedding_std_656
1910,0.00020230177404564,std,886,embedding_std_886
1768,0.00020161447897621999,std,744,embedding_std_744
5,0.00020158206568720002,mean,5,embedding_mean_5
1228,0.00020142771290446003,std,204,embedding_std_204
175,0.0002009748657466259,mean,175,embedding_mean_175
137,0.00020066855554902002,mean,137,embedding_mean_137
704,0.00020057925113056,mean,704,embedding_mean_704
1672,0.00020052728594628001,std,648,embedding_std_648
1169,0.00020050605490916002,std,145,embedding_std_145
1982,0.00020020131132117885,std,958,embedding_std_958
273,0.00020012965097968,mean,273,embedding_mean_273
1081,0.00020008492283555998,std,57,embedding_std_57
1915,0.00020005635932188,std,891,embedding_std_891
1165,0.00019997466619422,std,141,embedding_std_141
1808,0.00019995777823422,std,784,embedding_std_784
1671,0.00019979799378238005,std,647,embedding_std_647
680,0.00019976269205087383,mean,680,embedding_mean_680
1045,0.0001995983497874703,std,21,embedding_std_21
1905,0.00019947633048973998,std,881,embedding_std_881
1312,0.00019938203482742,std,288,embedding_std_288
95,0.00019934721877513999,mean,95,embedding_mean_95
527,0.00019900907171512,mean,527,embedding_mean_527
1895,0.0001989703473764,std,871,embedding_std_871
1403,0.00019891542743680993,std,379,embedding_std_379
1979,0.00019879327652035997,std,955,embedding_std_955
66,0.00019853860954506002,mean,66,embedding_mean_66
1086,0.00019846397007072,std,62,embedding_std_62
1010,0.00019822055473594,mean,1010,embedding_mean_1010
28,0.00019781566055628,mean,28,embedding_mean_28
