set,n_rows,n_features,pc80,pc90,pc95,pc99,effective_dimension_participation_ratio,pc1_variance,pc2_variance,pc3_variance
selected_high_fi_sam3,961,47,5,12,20,37,2.5919533594421407,0.6114520819739147,0.0641543524570021,0.05485569625986778
all_sam3_mean_plus_std,961,2048,17,48,119,412,10.987190207445733,0.20272356177003825,0.15561702940186672,0.10288940025649414
all_sam3_mean,961,1024,11,24,53,209,8.811906130224944,0.22773993798297057,0.18386196539753957,0.11627112108466925
all_sam3_std,961,1024,24,71,159,421,12.02143994329435,0.18549576578971413,0.17080263872909224,0.09051288845141954
