"S.No","Plot No","Accession","Replication","Population","trait","value","timestamp","person","location","number","device_name"
"300","250017","PI 534075","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250017_LeafPhotoA_2025-10-01%2008_09_22.902-05_00.jpg","2025-10-01 08:09:23.215-05:00"," ","","1","SM-A166U1"
"300","250017","PI 534075","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250017_LeafPhotoA_2025-10-01%2008_11_18.919-05_00.jpg","2025-10-01 08:11:19.334-05:00"," ","","3","SM-A166U1"
"300","250017","PI 534075","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250017_LeafPhotoA_2025-10-01%2008_12_23.346-05_00.jpg","2025-10-01 08:12:23.893-05:00"," ","","4","SM-A166U1"
"700","250018","PI 656106","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250018_LeafPhotoA_2025-10-01%2008_13_03.942-05_00.jpg","2025-10-01 08:13:04.462-05:00"," ","","1","SM-A166U1"
"700","250018","PI 656106","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250018_LeafPhotoA_2025-10-01%2008_13_53.741-05_00.jpg","2025-10-01 08:13:54.229-05:00"," ","","2","SM-A166U1"
"700","250018","PI 656106","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250018_LeafPhotoA_2025-10-01%2008_14_14.896-05_00.jpg","2025-10-01 08:14:15.300-05:00"," ","","3","SM-A166U1"
"669","250019","PI 656062","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250019_LeafPhotoA_2025-10-01%2008_15_33.486-05_00.jpg","2025-10-01 08:15:34.000-05:00"," ","","1","SM-A166U1"
"669","250019","PI 656062","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250019_LeafPhotoA_2025-10-01%2008_16_12.575-05_00.jpg","2025-10-01 08:16:12.931-05:00"," ","","2","SM-A166U1"
"669","250019","PI 656062","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250019_LeafPhotoA_2025-10-01%2008_16_51.576-05_00.jpg","2025-10-01 08:16:52.027-05:00"," ","","3","SM-A166U1"
"578","250020","PI 642998","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250020_LeafPhotoA_2025-10-01%2008_25_20.978-05_00.jpg","2025-10-01 08:25:21.511-05:00"," ","","1","SM-A166U1"
"578","250020","PI 642998","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250020_LeafPhotoA_2025-10-01%2008_25_52.706-05_00.jpg","2025-10-01 08:25:53.157-05:00"," ","","2","SM-A166U1"
"578","250020","PI 642998","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250020_LeafPhotoA_2025-10-01%2008_26_15.754-05_00.jpg","2025-10-01 08:26:16.113-05:00"," ","","3","SM-A166U1"
"249","250021","PI 533877","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250021_LeafPhotoA_2025-10-01%2008_27_19.755-05_00.jpg","2025-10-01 08:27:20.321-05:00"," ","","1","SM-A166U1"
"249","250021","PI 533877","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250021_LeafPhotoA_2025-10-01%2008_27_43.809-05_00.jpg","2025-10-01 08:27:44.200-05:00"," ","","2","SM-A166U1"
"249","250021","PI 533877","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250021_LeafPhotoA_2025-10-01%2008_28_11.697-05_00.jpg","2025-10-01 08:28:12.136-05:00"," ","","3","SM-A166U1"
"591","250022","PI 653616","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250022_LeafPhotoA_2025-10-01%2008_28_46.373-05_00.jpg","2025-10-01 08:28:46.948-05:00"," ","","1","SM-A166U1"
"591","250022","PI 653616","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250022_LeafPhotoA_2025-10-01%2008_29_09.695-05_00.jpg","2025-10-01 08:29:10.130-05:00"," ","","2","SM-A166U1"
"591","250022","PI 653616","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250022_LeafPhotoA_2025-10-01%2008_29_41.874-05_00.jpg","2025-10-01 08:29:42.240-05:00"," ","","3","SM-A166U1"
"293","250023","PI 534021","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250023_LeafPhotoA_2025-10-01%2008_32_10.319-05_00.jpg","2025-10-01 08:32:10.943-05:00"," ","","1","SM-A166U1"
"293","250023","PI 534021","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250023_LeafPhotoA_2025-10-01%2008_32_34.647-05_00.jpg","2025-10-01 08:32:35.110-05:00"," ","","2","SM-A166U1"
"293","250023","PI 534021","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250023_LeafPhotoA_2025-10-01%2008_32_59.112-05_00.jpg","2025-10-01 08:32:59.640-05:00"," ","","3","SM-A166U1"
"293","250023","PI 534021","Rep 1","SAP","LeafPhotoNotesA","3 leaves from the single plant","2025-10-01 08:33:38.344-05:00"," ","","1","SM-A166U1"
"395","250024","PI 564164","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250024_LeafPhotoA_2025-10-01%2008_34_11.861-05_00.jpg","2025-10-01 08:34:12.453-05:00"," ","","1","SM-A166U1"
"395","250024","PI 564164","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250024_LeafPhotoA_2025-10-01%2008_34_37.458-05_00.jpg","2025-10-01 08:34:37.959-05:00"," ","","2","SM-A166U1"
"395","250024","PI 564164","Rep 1","SAP","LeafPhotoA","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250024_LeafPhotoA_2025-10-01%2008_35_03.746-05_00.jpg","2025-10-01 08:35:04.261-05:00"," ","","3","SM-A166U1"
