S.No,plotNumber,genotype,rep,population,range,row
648,250556,PI 656035,Rep 2,SAP,38,3
712,250557,PI 656120,Rep 2,SAP,38,4
271,250558,PI 533954,Rep 2,SAP,38,5
488,250559,PI 576418,Rep 2,SAP,38,6
660,250560,PI 656049,Rep 2,SAP,38,7
7,250561,PI 48770,Rep 2,SAP,38,8
297,250562,PI 534053,Rep 2,SAP,38,9
218,250563,PI 533761,Rep 2,SAP,38,10
576,250564,PI 642793,Rep 2,SAP,38,11
249,250565,PI 533877,Rep 2,SAP,38,12
685,250566,PI 656087,Rep 2,SAP,38,13
484,250567,PI 576394,Rep 2,SAP,38,14
663,250568,PI 656053,Rep 2,SAP,38,15
278,250569,PI 533965,Rep 2,SAP,38,16
277,250570,PI 533964,Rep 2,SAP,38,17
676,250571,PI 656072,Rep 2,SAP,38,18
624,250572,PI 656004,Rep 2,SAP,39,3
535,250573,PI 597960,Rep 2,SAP,39,4
627,250574,PI 656008,Rep 2,SAP,39,5
242,250575,PI 533856,Rep 2,SAP,39,6
474,250576,PI 576373,Rep 2,SAP,39,7
211,250577,PI 533750,Rep 2,SAP,39,8
684,250578,PI 656085,Rep 2,SAP,39,9
235,250579,PI 533839,Rep 2,SAP,39,10
568,250580,PI 641849,Rep 2,SAP,39,11
289,250581,PI 533996,Rep 2,SAP,39,12
1,250582,PI 17548,Rep 2,SAP,39,13
227,250583,PI 533800,Rep 2,SAP,39,14
247,250584,PI 533869,Rep 2,SAP,39,15
476,250585,PI 576376,Rep 2,SAP,39,16
321,250586,PI 534132,Rep 2,SAP,39,17
479,250587,PI 576386,Rep 2,SAP,39,18
515,250588,PI 595699,Rep 2,SAP,40,3
255,250589,PI 533910,Rep 2,SAP,40,4
659,250590,PI 656048,Rep 2,SAP,40,5
295,250591,PI 534037,Rep 2,SAP,40,6
304,250592,PI 534097,Rep 2,SAP,40,7
240,250593,PI 533852,Rep 2,SAP,40,8
494,250594,PI 576434,Rep 2,SAP,40,9
522,250595,PI 595741,Rep 2,SAP,40,10
299,250596,PI 534070,Rep 2,SAP,40,11
669,250597,PI 656062,Rep 2,SAP,40,12
313,250598,PI 534115,Rep 2,SAP,40,13
647,250599,PI 656034,Rep 2,SAP,40,14
652,250600,PI 656039,Rep 2,SAP,40,15
248,250601,PI 533871,Rep 2,SAP,40,16
533,250602,PI 597957,Rep 2,SAP,40,17
549,250603,PI 601816,Rep 2,SAP,40,18
260,250604,PI 533919,Rep 2,SAP,41,3
517,250605,PI 595714,Rep 2,SAP,41,4
290,250606,PI 533997,Rep 2,SAP,41,5
657,250607,PI 656046,Rep 2,SAP,41,6
256,250608,PI 533911,Rep 2,SAP,41,7
678,250609,PI 656075,Rep 2,SAP,41,8
486,250610,PI 576399,Rep 2,SAP,41,9
556,250611,PI 629059,Rep 2,SAP,41,10
263,250612,PI 533927,Rep 2,SAP,41,11
490,250613,PI 576425,Rep 2,SAP,41,12
350,250614,PI 561071,Rep 2,SAP,41,13
550,250615,PI 607931,Rep 2,SAP,41,14
95,250616,PI 276837,Rep 2,SAP,41,15
708,250617,PI 656115,Rep 2,SAP,41,16
466,250618,PI 576345,Rep 2,SAP,41,17
320,250619,PI 534128,Rep 2,SAP,41,18
314,250620,PI 534116,Rep 2,SAP,42,3
705,250621,PI 656111,Rep 2,SAP,42,4
640,250622,PI 656023,Rep 2,SAP,42,5
658,250623,PI 656047,Rep 2,SAP,42,6
4,250624,PI 24969,Rep 2,SAP,42,7
327,250625,PI 534144,Rep 2,SAP,42,8
467,250626,PI 576347,Rep 2,SAP,42,9
268,250627,PI 533943,Rep 2,SAP,42,10
604,250628,PI 655982,Rep 2,SAP,42,11
219,250629,PI 533766,Rep 2,SAP,42,12
280,250630,PI 533970,Rep 2,SAP,42,13
664,250631,PI 656055,Rep 2,SAP,42,14
309,250632,PI 534105,Rep 2,SAP,42,15
548,250633,PI 598069,Rep 2,SAP,42,16
636,250634,PI 656018,Rep 2,SAP,42,17
239,250635,PI 533845,Rep 2,SAP,42,18
591,250636,PI 653616,Rep 2,SAP,43,3
609,250637,PI 655988,Rep 2,SAP,43,5
398,250638,PI 566819,Rep 2,SAP,43,6
482,250639,PI 576391,Rep 2,SAP,43,7
499,250640,PI 585295,Rep 2,SAP,43,8
485,250641,PI 576396,Rep 2,SAP,43,9
250,250642,PI 533878,Rep 2,SAP,43,10
317,250643,PI 534123,Rep 2,SAP,43,11
471,250644,PI 576359,Rep 2,SAP,43,12
226,250645,PI 533799,Rep 2,SAP,43,13
265,250646,PI 533937,Rep 2,SAP,43,14
118,250647,PI 329440,Rep 2,SAP,43,15
312,250648,PI 534114,Rep 2,SAP,43,16
621,250649,PI 656001,Rep 2,SAP,43,17
618,250650,PI 655998,Rep 2,SAP,43,18
470,250651,PI 576352,Rep 2,SAP,43,19
596,250652,PI 655973,Rep 2,SAP,44,3
537,250653,PI 597964,Rep 2,SAP,44,5
220,250654,PI 533769,Rep 2,SAP,44,6
644,250655,PI 656031,Rep 2,SAP,44,7
524,250656,PI 595744,Rep 2,SAP,44,8
702,250657,PI 656108,Rep 2,SAP,44,9
690,250658,PI 656095,Rep 2,SAP,44,10
478,250659,PI 576385,Rep 2,SAP,44,11
330,250660,PI 534157,Rep 2,SAP,44,12
692,250661,PI 656097,Rep 2,SAP,44,13
342,250662,PI 542406,Rep 2,SAP,44,14
536,250663,PI 597961,Rep 2,SAP,44,15
331,250664,PI 534163,Rep 2,SAP,44,16
699,250665,PI 656105,Rep 2,SAP,44,17
713,250666,PI 656121,Rep 2,SAP,44,18
461,250667,PI 576130,Rep 2,SAP,44,19
612,250668,PI 655991,Rep 2,SAP,45,3
224,250669,PI 533792,Rep 2,SAP,45,4
285,250670,PI 533985,Rep 2,SAP,45,5
217,250671,PI 533760,Rep 2,SAP,45,6
266,250672,PI 533939,Rep 2,SAP,45,7
311,250673,PI 534112,Rep 2,SAP,45,8
5,250674,PI 34911,Rep 2,SAP,45,9
261,250675,PI 533921,Rep 2,SAP,45,10
655,250676,PI 656043,Rep 2,SAP,45,11
697,250677,PI 656103,Rep 2,SAP,45,12
629,250678,PI 656010,Rep 2,SAP,45,13
283,250679,PI 533979,Rep 2,SAP,45,14
605,250680,PI 655983,Rep 2,SAP,45,15
352,250681,PI 561073,Rep 2,SAP,45,16
275,250682,PI 533961,Rep 2,SAP,45,17
711,250683,PI 656119,Rep 2,SAP,45,18
650,250684,PI 656037,Rep 2,SAP,46,3
635,250685,PI 656017,Rep 2,SAP,46,4
542,250686,PI 597971,Rep 2,SAP,46,5
215,250687,PI 533758,Rep 2,SAP,46,6
546,250688,PI 597980,Rep 2,SAP,46,7
608,250689,PI 655986,Rep 2,SAP,46,8
287,250690,PI 533989,Rep 2,SAP,46,9
397,250691,PI 565121,Rep 2,SAP,46,10
526,250692,PI 597945,Rep 2,SAP,46,11
477,250693,PI 576380,Rep 2,SAP,46,12
305,250694,PI 534099,Rep 2,SAP,46,13
116,250695,PI329403,Rep 1,BAP,49,3
369,250696,PI562971,Rep 1,BAP,49,4
185,250697,PI455217,Rep 1,BAP,49,5
174,250698,PI330858,Rep 1,BAP,49,6
21,250699,PI152728,Rep 1,BAP,49,7
402,250700,PI569148,Rep 1,BAP,49,8
161,250701,PI330168,Rep 1,BAP,49,9
574,250702,PI641909,Rep 1,BAP,49,10
420,250703,PI569447,Rep 1,BAP,49,11
132,250704,PI329545,Rep 1,BAP,49,12
100,250705,PI300117,Rep 1,BAP,49,13
377,250706,PI563002,Rep 1,BAP,49,14
97,250707,PI297130,Rep 1,BAP,49,15
170,250708,PI330796,Rep 1,BAP,49,16
106,250709,PI329299,Rep 1,BAP,49,17
133,250710,PI329546,Rep 1,BAP,49,18
510,250711,PI586435,Rep 1,BAP,50,3
455,250712,PI570373,Rep 1,BAP,50,4
207,250713,PI524475,Rep 1,BAP,50,5
51,250714,PI156326,Rep 1,BAP,50,6
8,250715,PI52606,Rep 1,BAP,50,7
135,250716,PI329551,Rep 1,BAP,50,8
91,250717,PI266927,Rep 1,BAP,50,9
149,250718,PI329646,Rep 1,BAP,50,10
594,250719,PI655972,Rep 1,BAP,50,11
558,250720,PI641810,Rep 1,BAP,50,12
140,250721,PI329584,Rep 1,BAP,50,13
424,250722,PI569455,Rep 1,BAP,50,14
109,250723,PI329301,Rep 1,BAP,50,15
19,250724,PI152694,Rep 1,BAP,50,16
55,250725,PI156487,Rep 1,BAP,50,17
415,250726,PI569435,Rep 1,BAP,50,18
452,250727,PI570145,Rep 1,BAP,51,3
580,250728,PI646242,Rep 1,BAP,51,4
150,250729,PI329665,Rep 1,BAP,51,5
180,250730,PI452619,Rep 1,BAP,51,6
125,250731,PI329506,Rep 1,BAP,51,7
379,250732,PI563009,Rep 1,BAP,51,8
181,250733,PI452692,Rep 1,BAP,51,9
75,250734,PI196598,Rep 1,BAP,51,10
430,250735,PI569465,Rep 1,BAP,51,11
581,250736,PI646251,Rep 1,BAP,51,12
54,250737,PI156463,Rep 1,BAP,51,13
80,250738,PI221651,Rep 1,BAP,51,14
421,250739,PI569452,Rep 1,BAP,51,15
169,250740,PI330199,Rep 1,BAP,51,16
77,250741,PI213900,Rep 1,BAP,51,17
390,250742,PI563338,Rep 1,BAP,51,18
99,250743,PI297171,Rep 1,BAP,52,3
433,250744,PI570038,Rep 1,BAP,52,4
407,250745,PI569419,Rep 1,BAP,52,5
164,250746,PI330184,Rep 1,BAP,52,6
428,250747,PI569460,Rep 1,BAP,52,7
110,250748,PI329310,Rep 1,BAP,52,8
42,250749,PI154988,Rep 1,BAP,52,9
90,250750,PI257600,Rep 1,BAP,52,10
565,250751,PI641834,Rep 1,BAP,52,11
32,250752,PI152965,Rep 1,BAP,52,12
196,250753,PI506122,Rep 1,BAP,52,13
450,250754,PI570110,Rep 1,BAP,52,14
210,250755,PI527045,Rep 1,BAP,52,15
187,250756,PI455280,Rep 1,BAP,52,16
50,250757,PI156268,Rep 1,BAP,52,17
566,250758,PI641835,Rep 1,BAP,52,18
40,250759,PI154944,Rep 1,BAP,53,3
383,250760,PI563032,Rep 1,BAP,53,4
31,250761,PI152963,Rep 1,BAP,53,5
346,250762,PI550604,Rep 1,BAP,53,6
64,250763,PI175919,Rep 1,BAP,53,7
404,250764,PI569264,Rep 1,BAP,53,8
17,250765,PI147224,Rep 1,BAP,53,9
88,250766,PI255744,Rep 1,BAP,53,10
173,250767,PI330833,Rep 1,BAP,53,11
366,250768,PI562897,Rep 1,BAP,53,12
368,250769,PI562970,Rep 1,BAP,53,13
49,250770,PI156217,Rep 1,BAP,53,14
156,250771,PI329841,Rep 1,BAP,53,15
204,250772,PI521152,Rep 1,BAP,53,16
94,250773,PI273969,Rep 1,BAP,53,17
12,250774,PI145619,Rep 1,BAP,53,18
30,250775,PI152961,Rep 1,BAP,54,3
152,250776,PI329699,Rep 1,BAP,54,4
154,250777,PI329710,Rep 1,BAP,54,5
432,250778,PI570031,Rep 1,BAP,54,6
356,250779,PI561840,Rep 1,BAP,54,7
505,250780,PI585467,Rep 1,BAP,54,8
332,250781,PI534165,Rep 1,BAP,54,9
497,250782,PI583832,Rep 1,BAP,54,10
560,250783,PI641817,Rep 1,BAP,54,11
36,250784,PI153877,Rep 1,BAP,54,12
437,250785,PI570053,Rep 1,BAP,54,13
385,250786,PI563295,Rep 1,BAP,54,14
29,250787,PI152923,Rep 1,BAP,54,15
26,250788,PI152828,Rep 1,BAP,54,16
590,250789,PI651497,Rep 1,BAP,54,17
66,250790,PI179749,Rep 1,BAP,54,18
585,250791,PI651491,Rep 1,BAP,55,3
139,250792,PI329583,Rep 1,BAP,55,4
119,250793,PI329465,Rep 1,BAP,55,5
459,250794,PI570431,Rep 1,BAP,55,6
511,250795,PI586443,Rep 1,BAP,55,7
202,250796,PI513898,Rep 1,BAP,55,8
16,250797,PI146890,Rep 1,BAP,55,9
501,250798,PI585448,Rep 1,BAP,55,10
557,250799,PI641807,Rep 1,BAP,55,11
206,250800,PI521290,Rep 1,BAP,55,12
189,250801,PI455307,Rep 1,BAP,55,13
388,250802,PI563331,Rep 1,BAP,55,14
101,250803,PI300118,Rep 1,BAP,55,15
137,250804,PI329569,Rep 1,BAP,55,16
443,250805,PI570085,Rep 1,BAP,55,17
316,250806,PI534120,Rep 1,BAP,55,18
20,250807,PI152727,Rep 1,BAP,56,3
191,250808,PI505722,Rep 1,BAP,56,4
105,250809,PI329286,Rep 1,BAP,56,5
194,250810,PI506069,Rep 1,BAP,56,6
53,250811,PI156393,Rep 1,BAP,56,7
111,250812,PI329319,Rep 1,BAP,56,8
436,250813,PI570047,Rep 1,BAP,56,9
41,250814,PI154987,Rep 1,BAP,56,10
22,250815,PI152730,Rep 1,BAP,56,11
503,250816,PI585454,Rep 1,BAP,56,12
418,250817,PI569445,Rep 1,BAP,56,13
126,250818,PI329510,Rep 1,BAP,56,14
138,250819,PI329570,Rep 1,BAP,56,15
553,250820,PI619838,Rep 1,BAP,56,16
163,250821,PI330181,Rep 1,BAP,56,17
423,250822,PI569454,Rep 1,BAP,56,18
184,250823,PI453696,Rep 1,BAP,57,3
142,250824,PI329614,Rep 1,BAP,57,4
175,250825,PI337680,Rep 1,BAP,57,5
114,250826,PI329338,Rep 1,BAP,57,6
124,250827,PI329501,Rep 1,BAP,57,7
571,250828,PI641862,Rep 1,BAP,57,8
177,250829,PI365512,Rep 1,BAP,57,9
339,250830,PI535796,Rep 1,BAP,57,10
145,250831,PI329618,Rep 1,BAP,57,11
65,250832,PI176766,Rep 1,BAP,57,12
45,250833,PI155760,Rep 1,BAP,57,13
78,250834,PI218112,Rep 1,BAP,57,14
122,250835,PI329478,Rep 1,BAP,57,15
43,250836,PI155149,Rep 1,BAP,57,16
434,250837,PI570039,Rep 1,BAP,57,17
15,250838,PI145633,Rep 1,BAP,57,18
74,250839,PI196586,Rep 1,BAP,58,3
334,250840,PI535783,Rep 1,BAP,58,4
172,250841,PI330807,Rep 1,BAP,58,5
155,250842,PI329711,Rep 1,BAP,58,6
373,250843,PI562990,Rep 1,BAP,58,7
456,250844,PI570388,Rep 1,BAP,58,8
587,250845,PI651493,Rep 1,BAP,58,9
167,250846,PI330195,Rep 1,BAP,58,10
454,250847,PI570371,Rep 1,BAP,58,11
127,250848,PI329511,Rep 1,BAP,58,12
569,250849,PI641850,Rep 1,BAP,58,13
171,250850,PI330803,Rep 1,BAP,58,14
425,250851,PI569457,Rep 1,BAP,58,15
37,250852,PI154750,Rep 1,BAP,58,16
63,250853,PI170787,Rep 1,BAP,58,17
3,250854,PI22913,Rep 1,BAP,58,18
14,250855,PI145632,Rep 1,BAP,59,3
552,250856,PI619807,Rep 1,BAP,59,4
371,250857,PI562982,Rep 1,BAP,59,5
178,250858,PI452542,Rep 1,BAP,59,6
205,250859,PI521281,Rep 1,BAP,59,7
24,250860,PI152751,Rep 1,BAP,59,8
27,250861,PI152860,Rep 1,BAP,59,9
427,250862,PI569459,Rep 1,BAP,59,10
28,250863,PI152862,Rep 1,BAP,59,11
343,250864,PI542718,Rep 1,BAP,59,12
52,250865,PI156330,Rep 1,BAP,59,13
562,250866,PI641824,Rep 1,BAP,59,14
103,250867,PI303658,Rep 1,BAP,59,15
188,250868,PI455301,Rep 1,BAP,59,16
457,250869,PI570393,Rep 1,BAP,59,17
61,250870,PI157804,Rep 1,BAP,59,18
209,250871,PI526905,Rep 1,BAP,60,3
381,250872,PI563021,Rep 1,BAP,60,4
500,250873,PI585406,Rep 1,BAP,60,5
62,250874,PI167093,Rep 1,BAP,60,6
564,250875,PI641830,Rep 1,BAP,60,7
563,250876,PI641829,Rep 1,BAP,60,8
25,250877,PI152816,Rep 1,BAP,60,9
414,250878,PI569433,Rep 1,BAP,60,10
81,250879,PI226096,Rep 1,BAP,60,11
514,250880,PI593916,Rep 1,BAP,60,12
408,250881,PI569420,Rep 1,BAP,60,13
112,250882,PI329326,Rep 1,BAP,60,14
168,250883,PI330196,Rep 1,BAP,60,15
35,250884,PI152971,Rep 1,BAP,60,16
89,250885,PI257599,Rep 1,BAP,60,17
162,250886,PI330169,Rep 1,BAP,60,18
389,250887,PI563332,Rep 1,BAP,61,3
365,250888,PI562781,Rep 1,BAP,61,4
148,250889,PI329645,Rep 1,BAP,61,5
179,250890,PI452544,Rep 1,BAP,61,6
9,250891,PI63715,Rep 1,BAP,61,7
512,250892,PI586499,Rep 1,BAP,61,8
502,250893,PI585452,Rep 1,BAP,61,9
448,250894,PI570106,Rep 1,BAP,61,10
38,250895,PI154844,Rep 1,BAP,61,11
130,250896,PI329519,Rep 1,BAP,61,12
39,250897,PI154846,Rep 1,BAP,61,13
416,250898,PI569443,Rep 1,BAP,61,14
131,250899,PI329541,Rep 1,BAP,61,15
183,250900,PI453177,Rep 1,BAP,61,16
83,250901,PI250583,Rep 1,BAP,61,17
87,250902,PI255239,Rep 1,BAP,61,18
151,250903,PI329673,Rep 1,BAP,62,3
411,250904,PI569423,Rep 1,BAP,62,4
102,250905,PI302252,Rep 1,BAP,62,5
176,250906,PI337689,Rep 1,BAP,62,6
400,250907,PI569090,Rep 1,BAP,62,7
431,250908,PI569886,Rep 1,BAP,62,8
69,250909,PI181083,Rep 1,BAP,62,9
129,250910,PI329518,Rep 1,BAP,62,10
195,250911,PI506114,Rep 1,BAP,62,11
405,250912,PI569416,Rep 1,BAP,62,12
370,250913,PI562981,Rep 1,BAP,62,13
143,250914,PI329615,Rep 1,BAP,62,14
507,250915,PI585608,Rep 1,BAP,62,15
364,250916,PI562732,Rep 1,BAP,62,16
34,250917,PI152967,Rep 1,BAP,62,17
347,250918,PI552851,Rep 1,BAP,62,18
376,250919,PI562998,Rep 1,BAP,63,3
146,250920,PI329632,Rep 1,BAP,63,4
128,250921,PI329517,Rep 1,BAP,63,5
68,250922,PI181080,Rep 1,BAP,63,6
67,250923,PI180348,Rep 1,BAP,63,7
561,250924,PI641821,Rep 1,BAP,63,8
429,250925,PI569462,Rep 1,BAP,63,9
382,250926,PI563022,Rep 1,BAP,63,10
93,250927,PI273465,Rep 1,BAP,63,11
573,250928,PI641892,Rep 1,BAP,63,12
104,250929,PI329256,Rep 1,BAP,63,13
72,250930,PI196049,Rep 1,BAP,63,14
406,250931,PI569418,Rep 1,BAP,63,15
392,250932,PI563350,Rep 1,BAP,63,16
96,250933,PI291246,Rep 1,BAP,63,17
403,250934,PI569244,Rep 1,BAP,63,18
487,250935,PI576401,Rep 1,BAP,64,3
23,250936,PI152733,Rep 1,BAP,64,4
56,250937,PI156871,Rep 1,BAP,64,5
391,250938,PI563348,Rep 1,BAP,64,6
160,250939,PI330167,Rep 1,BAP,64,7
372,250940,PI562985,Rep 1,BAP,64,8
186,250941,PI455221,Rep 1,BAP,64,9
190,250942,PI505717,Rep 1,BAP,64,10
198,250943,PI511355,Rep 1,BAP,64,11
10,250944,PI92270,Rep 1,BAP,64,12
570,250945,PI641860,Rep 1,BAP,64,13
85,250946,PI253986,Rep 1,BAP,64,14
121,250947,PI329471,Rep 1,BAP,64,15
193,250948,PI506030,Rep 1,BAP,64,16
141,250949,PI329605,Rep 1,BAP,64,17
120,250950,PI329466,Rep 1,BAP,64,18
393,250951,PI563355,Rep 1,BAP,65,3
338,250952,PI535795,Rep 1,BAP,65,4
362,250953,PI562730,Rep 1,BAP,65,5
2,250954,PI19770,Rep 1,BAP,65,6
82,250955,PI229841,Rep 1,BAP,65,7
439,250956,PI570073,Rep 1,BAP,65,8
440,250957,PI570074,Rep 1,BAP,65,9
458,250958,PI570400,Rep 1,BAP,65,10
399,250959,PI568717,Rep 1,BAP,65,11
384,250960,PI563196,Rep 1,BAP,65,12
336,250961,PI535793,Rep 1,BAP,65,13
340,250962,PI540518,Rep 1,BAP,65,14
158,250963,PI329864,Rep 1,BAP,65,15
60,250964,PI157035,Rep 1,BAP,65,16
567,250965,PI641836,Rep 1,BAP,65,17
136,250966,PI329554,Rep 1,BAP,65,18
444,250967,PI570087,Rep 1,BAP,66,3
197,250968,PI510757,Rep 1,BAP,66,4
412,250969,PI569425,Rep 1,BAP,66,5
70,250970,PI181899,Rep 1,BAP,66,6
422,250971,PI569453,Rep 1,BAP,66,7
441,250972,PI570075,Rep 1,BAP,66,8
208,250973,PI525049,Rep 1,BAP,66,9
117,250974,PI329435,Rep 1,BAP,66,10
58,250975,PI157030,Rep 1,BAP,66,11
442,250976,PI570076,Rep 1,BAP,66,12
508,250977,PI585961,Rep 1,BAP,66,13
47,250978,PI156018,Rep 1,BAP,66,14
79,250979,PI221548,Rep 1,BAP,66,15
13,250980,PI145626,Rep 1,BAP,66,16
48,250981,PI156203,Rep 1,BAP,66,17
192,250982,PI505735,Rep 1,BAP,66,18
419,250983,PI569446,Rep 1,BAP,67,3
84,250984,PI251672,Rep 1,BAP,67,4
113,250985,PI329333,Rep 1,BAP,67,5
335,250986,PI535785,Rep 1,BAP,67,6
76,250987,PI197542,Rep 1,BAP,67,7
182,250988,PI453106,Rep 1,BAP,67,8
584,250989,PI646266,Rep 1,BAP,67,9
153,250990,PI329702,Rep 1,BAP,67,10
579,250991,PI643016,Rep 1,BAP,67,11
588,250992,PI651495,Rep 1,BAP,67,12
410,250993,PI569422,Rep 1,BAP,67,13
144,250994,PI329617,Rep 1,BAP,67,14
435,250995,PI570042,Rep 1,BAP,67,15
337,250996,PI535794,Rep 1,BAP,67,16
449,250997,PI570109,Rep 1,BAP,67,17
413,250998,PI569427,Rep 1,BAP,67,18
446,250999,PI570091,Rep 1,BAP,68,3
123,251000,PI329480,Rep 1,BAP,68,4
92,251001,PI267573,Rep 1,BAP,68,5
453,251002,PI570254,Rep 1,BAP,68,6
509,251003,PI585966,Rep 1,BAP,68,7
33,251004,PI152966,Rep 1,BAP,68,8
46,251005,PI155885,Rep 1,BAP,68,9
98,251006,PI297155,Rep 1,BAP,68,10
57,251007,PI156890,Rep 1,BAP,68,11
386,251008,PI563329,Rep 1,BAP,68,12
447,251009,PI570096,Rep 1,BAP,68,13
71,251010,PI195754,Rep 1,BAP,68,14
107,251011,PI329300,Rep 1,BAP,68,15
59,251012,PI157033,Rep 1,BAP,68,16
157,251013,PI329843,Rep 1,BAP,68,17
559,251014,PI641815,Rep 1,BAP,68,18
115,251015,PI329351,Rep 1,BAP,69,3
11,251016,PI144134,Rep 1,BAP,69,4
165,251017,PI330185,Rep 1,BAP,69,5
451,251018,PI570114,Rep 1,BAP,69,6
73,251019,PI196583,Rep 1,BAP,69,7
378,251020,PI563006,Rep 1,BAP,69,8
438,251021,PI570071,Rep 1,BAP,69,9
426,251022,PI569458,Rep 1,BAP,69,10
387,251023,PI563330,Rep 1,BAP,69,11
409,251024,PI569421,Rep 1,BAP,69,12
504,251025,PI585461,Rep 1,BAP,69,13
513,251026,PI586541,Rep 1,BAP,69,14
506,251027,PI585577,Rep 1,BAP,69,15
375,251028,PI562994,Rep 1,BAP,69,16
374,251029,PI562991,Rep 1,BAP,69,17
147,251030,PI329644,Rep 1,BAP,69,18
44,251031,PI155516,Rep 1,BAP,70,3
18,251032,PI152651,Rep 1,BAP,70,4
401,251033,PI569097,Rep 1,BAP,70,5
134,251034,PI329550,Rep 1,BAP,70,6
159,251035,PI329865,Rep 1,BAP,70,7
417,251036,PI569444,Rep 1,BAP,70,8
203,251037,PI521019,Rep 1,BAP,70,9
445,251038,PI570090,Rep 1,BAP,70,10
380,251039,PI563020,Rep 1,BAP,70,11
204,251040,PI521152,Rep 2,BAP,71,3
408,251041,PI569420,Rep 2,BAP,71,4
401,251042,PI569097,Rep 2,BAP,71,5
35,251043,PI152971,Rep 2,BAP,71,6
366,251044,PI562897,Rep 2,BAP,71,7
430,251045,PI569465,Rep 2,BAP,71,8
157,251046,PI329843,Rep 2,BAP,71,9
339,251047,PI535796,Rep 2,BAP,71,10
436,251048,PI570047,Rep 2,BAP,71,11
133,251049,PI329546,Rep 2,BAP,71,12
13,251050,PI145626,Rep 2,BAP,71,13
10,251051,PI92270,Rep 2,BAP,71,14
181,251052,PI452692,Rep 2,BAP,71,15
49,251053,PI156217,Rep 2,BAP,71,16
210,251054,PI527045,Rep 2,BAP,71,17
39,251055,PI154846,Rep 2,BAP,71,18
190,251056,PI505717,Rep 2,BAP,72,3
446,251057,PI570091,Rep 2,BAP,72,4
138,251058,PI329570,Rep 2,BAP,72,5
53,251059,PI156393,Rep 2,BAP,72,6
164,251060,PI330184,Rep 2,BAP,72,7
179,251061,PI452544,Rep 2,BAP,72,8
400,251062,PI569090,Rep 2,BAP,72,9
100,251063,PI300117,Rep 2,BAP,72,10
557,251064,PI641807,Rep 2,BAP,72,11
453,251065,PI570254,Rep 2,BAP,72,12
36,251066,PI153877,Rep 2,BAP,72,13
120,251067,PI329466,Rep 2,BAP,72,14
362,251068,PI562730,Rep 2,BAP,72,15
588,251069,PI651495,Rep 2,BAP,72,16
423,251070,PI569454,Rep 2,BAP,72,17
422,251071,PI569453,Rep 2,BAP,72,18
23,251072,PI152733,Rep 2,BAP,73,3
46,251073,PI155885,Rep 2,BAP,73,4
123,251074,PI329480,Rep 2,BAP,73,5
566,251075,PI641835,Rep 2,BAP,73,6
161,251076,PI330168,Rep 2,BAP,73,7
382,251077,PI563022,Rep 2,BAP,73,8
37,251078,PI154750,Rep 2,BAP,73,9
60,251079,PI157035,Rep 2,BAP,73,10
513,251080,PI586541,Rep 2,BAP,73,11
559,251081,PI641815,Rep 2,BAP,73,12
507,251082,PI585608,Rep 2,BAP,73,13
564,251083,PI641830,Rep 2,BAP,73,14
125,251084,PI329506,Rep 2,BAP,73,15
140,251085,PI329584,Rep 2,BAP,73,16
399,251086,PI568717,Rep 2,BAP,73,17
417,251087,PI569444,Rep 2,BAP,73,18
132,251088,PI329545,Rep 2,BAP,74,3
580,251089,PI646242,Rep 2,BAP,74,4
337,251090,PI535794,Rep 2,BAP,74,5
510,251091,PI586435,Rep 2,BAP,74,6
14,251092,PI145632,Rep 2,BAP,74,7
343,251093,PI542718,Rep 2,BAP,74,8
435,251094,PI570042,Rep 2,BAP,74,9
560,251095,PI641817,Rep 2,BAP,74,10
443,251096,PI570085,Rep 2,BAP,74,11
171,251097,PI330803,Rep 2,BAP,74,12
110,251098,PI329310,Rep 2,BAP,74,13
509,251099,PI585966,Rep 2,BAP,74,14
180,251100,PI452619,Rep 2,BAP,74,15
172,251101,PI330807,Rep 2,BAP,74,16
574,251102,PI641909,Rep 2,BAP,74,17
150,251103,PI329665,Rep 2,BAP,74,18
512,251104,PI586499,Rep 2,BAP,75,3
12,251105,PI145619,Rep 2,BAP,75,4
356,251106,PI561840,Rep 2,BAP,75,5
30,251107,PI152961,Rep 2,BAP,75,6
571,251108,PI641862,Rep 2,BAP,75,7
573,251109,PI641892,Rep 2,BAP,75,8
376,251110,PI562998,Rep 2,BAP,75,9
90,251111,PI257600,Rep 2,BAP,75,10
381,251112,PI563021,Rep 2,BAP,75,11
487,251113,PI576401,Rep 2,BAP,75,12
159,251114,PI329865,Rep 2,BAP,75,13
136,251115,PI329554,Rep 2,BAP,75,14
459,251116,PI570431,Rep 2,BAP,75,15
175,251117,PI337680,Rep 2,BAP,75,16
98,251118,PI297155,Rep 2,BAP,75,17
109,251119,PI329301,Rep 2,BAP,75,18
111,251120,PI329319,Rep 2,BAP,76,3
504,251121,PI585461,Rep 2,BAP,76,4
173,251122,PI330833,Rep 2,BAP,76,5
188,251123,PI455301,Rep 2,BAP,76,6
581,251124,PI646251,Rep 2,BAP,76,7
155,251125,PI329711,Rep 2,BAP,76,8
193,251126,PI506030,Rep 2,BAP,76,9
129,251127,PI329518,Rep 2,BAP,76,10
419,251128,PI569446,Rep 2,BAP,76,11
128,251129,PI329517,Rep 2,BAP,76,12
96,251130,PI291246,Rep 2,BAP,76,13
174,251131,PI330858,Rep 2,BAP,76,14
