image_path,ExG_P20_disease_pct
250026_LeafPhotoA_2025-10-01 08_38_00.045-05_00_leaf.png,4.09
250027_LeafPhotoA_2025-10-01 08_38_31.362-05_00_leaf.png,0.61
250027_LeafPhotoA_2025-10-01 08_38_57.670-05_00_leaf.png,36.86
250027_LeafPhotoA_2025-10-01 08_39_28.548-05_00_leaf.png,4.82
250028_LeafPhotoA_2025-10-01 08_40_04.549-05_00_leaf.png,19.48
250028_LeafPhotoA_2025-10-01 08_40_33.520-05_00_leaf.png,4.22
250028_LeafPhotoA_2025-10-01 08_40_52.513-05_00_leaf.png,0.53
250029_LeafPhotoA_2025-10-01 08_41_24.957-05_00_leaf.png,3.42
250029_LeafPhotoA_2025-10-01 08_42_02.507-05_00_leaf.png,5.16
250029_LeafPhotoA_2025-10-01 08_42_31.801-05_00_leaf.png,4.65
250030_LeafPhotoA_2025-10-01 08_43_06.776-05_00_leaf.png,1.09
250030_LeafPhotoA_2025-10-01 08_43_31.100-05_00_leaf.png,53.33
250030_LeafPhotoA_2025-10-01 08_43_57.044-05_00_leaf.png,23.76
250031_LeafPhotoA_2025-10-01 08_44_38.824-05_00_leaf.png,30.95
250031_LeafPhotoA_2025-10-01 08_45_01.098-05_00_leaf.png,9.34
250031_LeafPhotoA_2025-10-01 08_45_22.228-05_00_leaf.png,3.66
250032_LeafPhotoA_2025-10-01 08_45_52.136-05_00_leaf.png,3.69
250032_LeafPhotoA_2025-10-01 08_46_13.921-05_00_leaf.png,1.4
250032_LeafPhotoA_2025-10-01 08_46_36.960-05_00_leaf.png,0.3
250033_LeafPhotoA_2025-10-01 08_17_22.671-05_00_leaf.png,33.89
250033_LeafPhotoA_2025-10-01 08_17_59.126-05_00_leaf.png,7.24
250033_LeafPhotoA_2025-10-01 08_19_54.666-05_00_leaf.png,33.28
250035_LeafPhotoA_2025-10-01 08_24_46.418-05_00_leaf.png,5.71
250035_LeafPhotoA_2025-10-01 08_25_31.887-05_00_leaf.png,9.87
250036_LeafPhotoA_2025-10-01 08_36_52.214-05_00_leaf.png,13.15
250036_LeafPhotoA_2025-10-01 08_37_20.011-05_00_leaf.png,11.96
250036_LeafPhotoA_2025-10-01 08_37_50.732-05_00_leaf.png,6
250037_LeafPhotoA_2025-10-01 08_39_56.883-05_00_leaf.png,10.33
250037_LeafPhotoA_2025-10-01 08_40_33.530-05_00_leaf.png,3.39
250037_LeafPhotoA_2025-10-01 08_41_13.539-05_00_leaf.png,6.66
250038_LeafPhotoA_2025-10-01 08_43_22.997-05_00_leaf.png,0
250038_LeafPhotoA_2025-10-01 08_44_04.345-05_00_leaf.png,0.14
250038_LeafPhotoA_2025-10-01 08_44_23.121-05_00_leaf.png,0
250039_LeafPhotoA_2025-10-01 08_46_28.099-05_00_leaf.png,0.07
250039_LeafPhotoA_2025-10-01 08_46_54.850-05_00_leaf.png,0.79
250039_LeafPhotoA_2025-10-01 08_47_53.954-05_00_leaf.png,0.71
250040_LeafPhotoA_2025-10-01 08_49_56.211-05_00_leaf.png,0.46
250040_LeafPhotoA_2025-10-01 08_50_19.937-05_00_leaf.png,13.68
250040_LeafPhotoA_2025-10-01 08_50_33.489-05_00_leaf.png,4.45
250041_LeafPhotoA_2025-10-01 08_51_48.934-05_00_leaf.png,0.35
250041_LeafPhotoA_2025-10-01 08_52_10.612-05_00_leaf.png,0.15
250041_LeafPhotoA_2025-10-01 08_52_23.772-05_00_leaf.png,1.91
250042_LeafPhotoA_2025-10-01 08_53_46.110-05_00_leaf.png,5.05
250042_LeafPhotoA_2025-10-01 08_54_17.459-05_00_leaf.png,10.58
250042_LeafPhotoA_2025-10-01 08_54_31.249-05_00_leaf.png,4.3
