responseVar,grp,vcov,pctVar,label
embedding_mean_0,genotype,1778.5716690176414,38.62032458303773,embedding_mean_0
embedding_mean_0,row,4.617707611975882,0.10026999187644414,embedding_mean_0
embedding_mean_0,range,317.08653840557616,6.885291859449799,embedding_mean_0
embedding_mean_0,Residual,2504.997831935852,54.394113565636026,embedding_mean_0
embedding_mean_1,genotype,5126.194150020835,40.83782131510918,embedding_mean_1
embedding_mean_1,row,138.50804106793518,1.1034241907937006,embedding_mean_1
embedding_mean_1,range,2080.702940448904,16.575918196841847,embedding_mean_1
embedding_mean_1,Residual,5207.160076254754,41.48283629725527,embedding_mean_1
embedding_mean_2,genotype,1412.8958937433206,32.914905529393174,embedding_mean_2
embedding_mean_2,row,38.65331250663843,0.9004698330486107,embedding_mean_2
embedding_mean_2,range,419.24451644300007,9.766744820722364,embedding_mean_2
embedding_mean_2,Residual,2421.777898032483,56.41787981683586,embedding_mean_2
embedding_mean_3,genotype,1078.1233910736578,30.81101486477737,embedding_mean_3
embedding_mean_3,row,4.1959586322320065e-7,1.1991368043776977e-8,embedding_mean_3
embedding_mean_3,range,370.15005894527627,10.578287293260251,embedding_mean_3
embedding_mean_3,Residual,2050.875785006325,58.610697829971016,embedding_mean_3
embedding_mean_4,genotype,1184.3151585537228,27.391444216972044,embedding_mean_4
embedding_mean_4,row,47.25461628019951,1.092928834427976,embedding_mean_4
embedding_mean_4,range,791.7192490208173,18.311286052894832,embedding_mean_4
embedding_mean_4,Residual,2300.3791594384506,53.20434089570515,embedding_mean_4
embedding_mean_5,genotype,769.8621366656535,31.909469991379353,embedding_mean_5
embedding_mean_5,row,75.73529775279565,3.1390986721309035,embedding_mean_5
embedding_mean_5,range,169.9539823817706,7.04430214507583,embedding_mean_5
embedding_mean_5,Residual,1397.0932835775645,57.90712919141391,embedding_mean_5
embedding_mean_6,genotype,1150.2533745925402,34.54996515947684,embedding_mean_6
embedding_mean_6,row,0,0,embedding_mean_6
embedding_mean_6,range,310.35889688982195,9.322197449127618,embedding_mean_6
embedding_mean_6,Residual,1868.6338486892898,56.12783739139554,embedding_mean_6
embedding_mean_7,genotype,618.502575683302,26.919340552190857,embedding_mean_7
embedding_mean_7,row,1.2548956974289735e-6,5.461733865740083e-8,embedding_mean_7
embedding_mean_7,range,186.60748168758093,8.121793742871763,embedding_mean_7
embedding_mean_7,Residual,1492.5040842027108,64.95886565032004,embedding_mean_7
embedding_mean_8,genotype,4061.591714082418,43.10517404353903,embedding_mean_8
embedding_mean_8,row,15.864953076890203,0.16837279857570028,embedding_mean_8
embedding_mean_8,range,1862.01870523466,19.761375837747863,embedding_mean_8
embedding_mean_8,Residual,3483.0401473901434,36.9650773201374,embedding_mean_8
embedding_mean_9,genotype,1225.1671704367757,26.882329804610304,embedding_mean_9
embedding_mean_9,row,41.35621753042849,0.9074283950392192,embedding_mean_9
embedding_mean_9,range,592.7798532833785,13.006636075476386,embedding_mean_9
embedding_mean_9,Residual,2698.215319609645,59.20360572487409,embedding_mean_9
embedding_mean_10,genotype,6486.497954472147,56.09314076099133,embedding_mean_10
embedding_mean_10,row,60.22278084701869,0.5207871715647602,embedding_mean_10
embedding_mean_10,range,980.6962141872,8.480744335739253,embedding_mean_10
embedding_mean_10,Residual,4036.381879499534,34.90532773170465,embedding_mean_10
embedding_mean_11,genotype,2530.1416664633016,47.530964378725024,embedding_mean_11
embedding_mean_11,row,0,0,embedding_mean_11
embedding_mean_11,range,608.6815666015779,11.434625279527118,embedding_mean_11
embedding_mean_11,Residual,2184.3207416780333,41.034410341747844,embedding_mean_11
embedding_mean_12,genotype,2898.8764904188606,35.89979252354066,embedding_mean_12
embedding_mean_12,row,49.51673070105624,0.6132170047559021,embedding_mean_12
embedding_mean_12,range,676.803790671533,8.381562907063755,embedding_mean_12
embedding_mean_12,Residual,4449.7145312710145,55.105427564639676,embedding_mean_12
embedding_mean_13,genotype,1098.7050232169404,21.58821000013617,embedding_mean_13
embedding_mean_13,row,2.5084965990457873,0.04928889030312104,embedding_mean_13
embedding_mean_13,range,923.6356122039069,18.148310181999754,embedding_mean_13
embedding_mean_13,Residual,3064.526148329938,60.21419092756096,embedding_mean_13
embedding_mean_14,genotype,784.3330971592634,13.261269454477423,embedding_mean_14
embedding_mean_14,row,42.439762600883604,0.7175588145811603,embedding_mean_14
embedding_mean_14,range,1204.5541646991107,20.36624159868175,embedding_mean_14
embedding_mean_14,Residual,3883.1376491655415,65.65493013225966,embedding_mean_14
embedding_mean_15,genotype,1625.0624685096147,27.671069121418192,embedding_mean_15
embedding_mean_15,row,0,0,embedding_mean_15
embedding_mean_15,range,929.730413599294,15.831166516684938,embedding_mean_15
embedding_mean_15,Residual,3317.9923773943838,56.49776436189686,embedding_mean_15
embedding_mean_16,genotype,1530.0951505174928,42.65815844368679,embedding_mean_16
embedding_mean_16,row,32.58595740105213,0.908477445591001,embedding_mean_16
embedding_mean_16,range,266.04911445015205,7.417293803054504,embedding_mean_16
embedding_mean_16,Residual,1758.1455508491688,49.01607030766771,embedding_mean_16
embedding_mean_17,genotype,822.2241067036354,20.08190081317893,embedding_mean_17
embedding_mean_17,row,50.56497707081864,1.2349928029084836,embedding_mean_17
embedding_mean_17,range,286.3474024943675,6.9937138647723955,embedding_mean_17
embedding_mean_17,Residual,2935.217501198557,71.6893925191402,embedding_mean_17
