range ,row,plot,experiment,rep,genotype
9,13,1390,SbDiv 2025,1,PI 656066
10,13,1411,SbDiv 2025,1,PI 656001
11,13,1490,SbDiv 2025,1,PI 613536
12,13,1511,SbDiv 2025,1,SC0517
13,13,1590,SbDiv 2025,1,PI 533766
14,13,1611,SbDiv 2025,1,PI 534114
15,13,1690,SbDiv 2025,1,PI 533779
16,13,1711,SbDiv 2025,1,PI 576361
17,13,1790,SbDiv 2025,1,PI 656022
18,13,1811,SbDiv 2025,1,PI 534015
19,13,1890,SbDiv 2025,1,PI 533863
20,13,1911,SbDiv 2025,1,PI 656007
21,13,1990,SbDiv 2025,1,PI 576429
22,13,5011,Mural ExPVP 2025,1,Fill
23,13,9375,Border,Border,Border
1,14,9142,Border,Border,Border
2,14,1012,SbDiv 2025,1,SC0540
3,14,1089,SbDiv 2025,1,PI 641849
4,14,1112,SbDiv 2025,1,PI 24969
5,14,1189,SbDiv 2025,1,PI 534077
6,14,1212,SbDiv 2025,1,PI 534083
7,14,1289,SbDiv 2025,1,Check
8,14,1312,SbDiv 2025,1,PI 534009
9,14,1389,SbDiv 2025,1,PI 533916
10,14,1412,SbDiv 2025,1,BTx399
11,14,1489,SbDiv 2025,1,PI 533935
12,14,1512,SbDiv 2025,1,PI 534050
13,14,1589,SbDiv 2025,1,PI 533971
14,14,1612,SbDiv 2025,1,PI 595734
15,14,1689,SbDiv 2025,1,SC0190
16,14,1712,SbDiv 2025,1,SC0521
17,14,1789,SbDiv 2025,1,PI 656011
18,14,1812,SbDiv 2025,1,Check
19,14,1889,SbDiv 2025,1,PI 534075
20,14,1912,SbDiv 2025,1,PI 641836
21,14,1989,SbDiv 2025,1,PI 534019
22,14,5012,Mural ExPVP 2025,1,Fill
23,14,9376,Border,Border,Border
1,15,9143,Border,Border,Border
2,15,1013,SbDiv 2025,1,PI 533993
3,15,1088,SbDiv 2025,1,PI 533943
4,15,1113,SbDiv 2025,1,PI 598070
5,15,1188,SbDiv 2025,1,PI 656003
6,15,1213,SbDiv 2025,1,PI 533800
7,15,1288,SbDiv 2025,1,PI 534160
8,15,1313,SbDiv 2025,1,SC0604
9,15,1388,SbDiv 2025,1,PI 576418
10,15,1413,SbDiv 2025,1,PI 533930
11,15,1488,SbDiv 2025,1,PI 533781
12,15,1513,SbDiv 2025,1,PI 534099
13,15,1588,SbDiv 2025,1,Check
14,15,1613,SbDiv 2025,1,PI 534074
15,15,1688,SbDiv 2025,1,PI 533970
16,15,1713,SbDiv 2025,1,PI 533874
17,15,1788,SbDiv 2025,1,PI 533757
18,15,1813,SbDiv 2025,1,PI 533860
19,15,1888,SbDiv 2025,1,SC0878
20,15,1913,SbDiv 2025,1,PI 595722
21,15,1988,SbDiv 2025,1,Check
22,15,5013,Mural ExPVP 2025,1,Fill
23,15,9377,Border,Border,Border
1,16,9144,Border,Border,Border
2,16,1014,SbDiv 2025,1,SC0834
3,16,1087,SbDiv 2025,1,Check
4,16,1114,SbDiv 2025,1,SC0860
5,16,1187,SbDiv 2025,1,PI 534006
6,16,1214,SbDiv 2025,1,PI 533763
7,16,1287,SbDiv 2025,1,PI 533857
8,16,1314,SbDiv 2025,1,PI 595719
9,16,1387,SbDiv 2025,1,PI 564163
10,16,1414,SbDiv 2025,1,PI 540816
11,16,1487,SbDiv 2025,1,PI 533834
12,16,1514,SbDiv 2025,1,PI 597962
13,16,1587,SbDiv 2025,1,SC0542
14,16,1614,SbDiv 2025,1,PI 656083
15,16,1687,SbDiv 2025,1,PI 534162
16,16,1714,SbDiv 2025,1,SC0138
17,16,1787,SbDiv 2025,1,PI 533760
18,16,1814,SbDiv 2025,1,PI 533910
19,16,1887,SbDiv 2025,1,SC0505
20,16,1914,SbDiv 2025,1,PI 576342
21,16,1987,SbDiv 2025,1,PI 595701
22,16,5014,Mural ExPVP 2025,1,PI 613610
23,16,9378,Border,Border,Border
1,17,9145,Border,Border,Border
2,17,1015,SbDiv 2025,1,PI 597959
3,17,1086,SbDiv 2025,1,PI 534144
4,17,1115,SbDiv 2025,1,PI 597972
5,17,1186,SbDiv 2025,1,PI 576381
6,17,1215,SbDiv 2025,1,PI 534118
7,17,1286,SbDiv 2025,1,PI 534089
8,17,1315,SbDiv 2025,1,Check
9,17,1386,SbDiv 2025,1,PI 659691
10,17,1415,SbDiv 2025,1,PI 534001
11,17,1486,SbDiv 2025,1,PI 534106
12,17,1515,SbDiv 2025,1,SC0003
13,17,1586,SbDiv 2025,1,PI 533792
14,17,1615,SbDiv 2025,1,SC0556
15,17,1686,SbDiv 2025,1,PI 576375
16,17,1715,SbDiv 2025,1,Check
17,17,1786,SbDiv 2025,1,PI 651492
18,17,1815,SbDiv 2025,1,PI 534013
19,17,1886,SbDiv 2025,1,PI 656030
20,17,1915,SbDiv 2025,1,SC0448
21,17,1986,SbDiv 2025,1,SC1023
22,17,5015,Mural ExPVP 2025,1,PI 554654
23,17,9379,Border,Border,Border
1,18,9146,Border,Border,Border
2,18,1016,SbDiv 2025,1,PI 533825
3,18,1085,SbDiv 2025,1,PI 576427
4,18,1116,SbDiv 2025,1,PI 534135
5,18,1185,SbDiv 2025,1,PI 629059
6,18,1216,SbDiv 2025,1,PI 595714
7,18,1285,SbDiv 2025,1,PI 655986
8,18,1316,SbDiv 2025,1,PI 597968
9,18,1385,SbDiv 2025,1,PI 595704
10,18,1416,SbDiv 2025,1,PI 533803
11,18,1485,SbDiv 2025,1,PI 534056
12,18,1516,SbDiv 2025,1,PI 656002
13,18,1585,SbDiv 2025,1,PI 534126
14,18,1616,SbDiv 2025,1,PI 552861
15,18,1685,SbDiv 2025,1,PI 534112
16,18,1716,SbDiv 2025,1,PI 534104
17,18,1785,SbDiv 2025,1,SC0412
18,18,1816,SbDiv 2025,1,PI 656041
19,18,1885,SbDiv 2025,1,PI 533895
20,18,1916,SbDiv 2025,1,PI 533989
21,18,1985,SbDiv 2025,1,PI 534007
22,18,5016,Mural ExPVP 2025,1,PI 562623
23,18,9380,Border,Border,Border
1,19,9147,Border,Border,Border
2,19,1017,SbDiv 2025,1,PI 642791
3,19,1084,SbDiv 2025,1,PI 595739
4,19,1117,SbDiv 2025,1,PI 576365
5,19,1184,SbDiv 2025,1,PI 576383
6,19,1217,SbDiv 2025,1,PI 655974
7,19,1284,SbDiv 2025,1,PI 534062
8,19,1317,SbDiv 2025,1,Check
9,19,1384,SbDiv 2025,1,SC0287
10,19,1417,SbDiv 2025,1,PI 533983
11,19,1484,SbDiv 2025,1,PI 534094
12,19,1517,SbDiv 2025,1,Check
13,19,1584,SbDiv 2025,1,PI 533906
14,19,1617,SbDiv 2025,1,PI 534167
15,19,1684,SbDiv 2025,1,PI 533845
16,19,1717,SbDiv 2025,1,SC0685
17,19,1784,SbDiv 2025,1,PI 22326
18,19,1817,SbDiv 2025,1,PI 655990
19,19,1884,SbDiv 2025,1,Check
20,19,1917,SbDiv 2025,1,PI 533898
21,19,1984,SbDiv 2025,1,PI 655979
22,19,5017,Mural ExPVP 2025,1,PI 554646
23,19,9381,Border,Border,Border
1,20,9148,Border,Border,Border
2,20,1018,SbDiv 2025,1,Check
3,20,1083,SbDiv 2025,1,PI 656076
4,20,1118,SbDiv 2025,1,PI 533988
5,20,1183,SbDiv 2025,1,PI 534020
6,20,1218,SbDiv 2025,1,PI 533931
7,20,1283,SbDiv 2025,1,PI 534165
8,20,1318,SbDiv 2025,1,PI 595732
9,20,1383,SbDiv 2025,1,PI 655982
10,20,1418,SbDiv 2025,1,PI 597976
11,20,1483,SbDiv 2025,1,PI 534076
12,20,1518,SbDiv 2025,1,PI 533914
13,20,1583,SbDiv 2025,1,PI 329435
14,20,1618,SbDiv 2025,1,Check
15,20,1683,SbDiv 2025,1,PI 534098
16,20,1718,SbDiv 2025,1,PI 595700
17,20,1783,SbDiv 2025,1,PI 656081
18,20,1818,SbDiv 2025,1,PI 533933
19,20,1883,SbDiv 2025,1,PI 576432
20,20,1918,SbDiv 2025,1,PI 595730
21,20,1983,SbDiv 2025,1,SC1107
22,20,5018,Mural ExPVP 2025,1,PI 606788
23,20,9382,Border,Border,Border
1,21,9149,Border,Border,Border
2,21,1019,SbDiv 2025,1,PI 534082
3,21,1082,SbDiv 2025,1,PI 533961
4,21,1119,SbDiv 2025,1,PI 534100
5,21,1182,SbDiv 2025,1,PI 533917
6,21,1219,SbDiv 2025,1,PI 533822
7,21,1282,SbDiv 2025,1,Check
8,21,1319,SbDiv 2025,1,PI 576389
9,21,1382,SbDiv 2025,1,PI 533974
10,21,1419,SbDiv 2025,1,PI 576392
11,21,1482,SbDiv 2025,1,PI 534159
12,21,1519,SbDiv 2025,1,PI 656044
13,21,1582,SbDiv 2025,1,PI 533998
14,21,1619,SbDiv 2025,1,PI 534090
15,21,1682,SbDiv 2025,1,PI 533788
16,21,1719,SbDiv 2025,1,PI 534067
17,21,1782,SbDiv 2025,1,PI 576434
18,21,1819,SbDiv 2025,1,PI 533997
19,21,1882,SbDiv 2025,1,PI 656069
20,21,1919,SbDiv 2025,1,PI 595737
21,21,1982,SbDiv 2025,1,Check
22,21,5019,Mural ExPVP 2025,1,PI 596332
23,21,9383,Border,Border,Border
1,22,9150,Border,Border,Border
2,22,1020,SbDiv 2025,1,PI 655999
3,22,1081,SbDiv 2025,1,PI 533778
4,22,1120,SbDiv 2025,1,PI 655987
5,22,1181,SbDiv 2025,1,PI 533891
6,22,1220,SbDiv 2025,1,PI 534060
7,22,1281,SbDiv 2025,1,PI 533896
8,22,1320,SbDiv 2025,1,PI 534005
9,22,1381,SbDiv 2025,1,PI 656071
10,22,1420,SbDiv 2025,1,PI 656060
11,22,1481,SbDiv 2025,1,PI 576402
12,22,1520,SbDiv 2025,1,PI 576394
13,22,1581,SbDiv 2025,1,PI 597974
14,22,1620,SbDiv 2025,1,PI 656057
15,22,1681,SbDiv 2025,1,SC1097
16,22,1720,SbDiv 2025,1,PI 656117
17,22,1781,SbDiv 2025,1,PI 595748
18,22,1820,SbDiv 2025,1,PI 534018
19,22,1881,SbDiv 2025,1,PI 566819
20,22,1920,SbDiv 2025,1,PI 534047
21,22,1981,SbDiv 2025,1,PI 629034
22,22,5020,Mural ExPVP 2025,1,PI 596567
23,22,9384,Border,Border,Border
1,23,9151,Border,Border,Border
2,23,1021,SbDiv 2025,1,PI 534129
3,23,1080,SbDiv 2025,1,PI 533745
4,23,1121,SbDiv 2025,1,PI 533968
5,23,1180,SbDiv 2025,1,SC0759
6,23,1221,SbDiv 2025,1,PI 533839
7,23,1280,SbDiv 2025,1,PI 564165
8,23,1321,SbDiv 2025,1,PI 533807
9,23,1380,SbDiv 2025,1,PI 597964
10,23,1421,SbDiv 2025,1,PI 533808
11,23,1480,SbDiv 2025,1,PI 595724
12,23,1521,SbDiv 2025,1,PI 533880
13,23,1580,SbDiv 2025,1,PI 533995
14,23,1621,SbDiv 2025,1,PI 534163
15,23,1680,SbDiv 2025,1,PI 656043
16,23,1721,SbDiv 2025,1,PI 533749
17,23,1780,SbDiv 2025,1,PI 533775
18,23,1821,SbDiv 2025,1,PI 533770
19,23,1880,SbDiv 2025,1,PI 534072
20,23,1921,SbDiv 2025,1,PI 533884
21,23,1980,SbDiv 2025,1,PI 655976
22,23,5021,Mural ExPVP 2025,1,PI 601557
23,23,9385,Border,Border,Border
1,24,9152,Border,Border,Border
2,24,1022,SbDiv 2025,1,PI 533985
3,24,1079,SbDiv 2025,1,PI 653616
4,24,1122,SbDiv 2025,1,PI 534069
5,24,1179,SbDiv 2025,1,PI 576368
6,24,1222,SbDiv 2025,1,PI 533789
7,24,1279,SbDiv 2025,1,PI 595733
8,24,1322,SbDiv 2025,1,PI 655978
9,24,1379,SbDiv 2025,1,Check
10,24,1422,SbDiv 2025,1,PI 534123
11,24,1479,SbDiv 2025,1,PI 576409
12,24,1522,SbDiv 2025,1,Check
13,24,1579,SbDiv 2025,1,PI 656092
14,24,1622,SbDiv 2025,1,PI 595720
15,24,1679,SbDiv 2025,1,PI 534066
16,24,1722,SbDiv 2025,1,PI 533947
17,24,1779,SbDiv 2025,1,Check
18,24,1822,SbDiv 2025,1,PI 533827
19,24,1879,SbDiv 2025,1,PI 565121
20,24,1922,SbDiv 2025,1,Check
21,24,1979,SbDiv 2025,1,PI 656062
22,24,5022,Mural ExPVP 2025,1,PI 561926
23,24,9386,Border,Border,Border
1,25,9153,Border,Border,Border
2,25,1023,SbDiv 2025,1,PI 595717
3,25,1078,SbDiv 2025,1,PI 534073
4,25,1123,SbDiv 2025,1,PI 534002
5,25,1178,SbDiv 2025,1,PI 534141
6,25,1223,SbDiv 2025,1,PI 655983
7,25,1278,SbDiv 2025,1,PI 576413
8,25,1323,SbDiv 2025,1,PI 656065
9,25,1378,SbDiv 2025,1,PI 533928
10,25,1423,SbDiv 2025,1,PI 534142
11,25,1478,SbDiv 2025,1,PI 534136
12,25,1523,SbDiv 2025,1,PI 533833
13,25,1578,SbDiv 2025,1,PI 534044
14,25,1623,SbDiv 2025,1,SC0999
15,25,1678,SbDiv 2025,1,PI 534081
16,25,1723,SbDiv 2025,1,PI 533844
17,25,1778,SbDiv 2025,1,PI 576436
18,25,1823,SbDiv 2025,1,SC0314
19,25,1878,SbDiv 2025,1,SC1216
20,25,1923,SbDiv 2025,1,PI 533919
21,25,1978,SbDiv 2025,1,PI 656026
22,25,5023,Mural ExPVP 2025,1,PI 613611
23,25,9387,Border,Border,Border
1,26,9154,Border,Border,Border
2,26,1024,SbDiv 2025,1,PI 641874
3,26,1077,SbDiv 2025,1,PI 533753
4,26,1124,SbDiv 2025,1,PI 597945
5,26,1177,SbDiv 2025,1,PI 576406
6,26,1224,SbDiv 2025,1,Check
7,26,1277,SbDiv 2025,1,SC0636
8,26,1324,SbDiv 2025,1,PI 534022
9,26,1377,SbDiv 2025,1,PI 533938
10,26,1424,SbDiv 2025,1,PI 576349
11,26,1477,SbDiv 2025,1,PI 656118
12,26,1524,SbDiv 2025,1,SC1120
13,26,1577,SbDiv 2025,1,PI 534113
14,26,1624,SbDiv 2025,1,PI 656056
15,26,1677,SbDiv 2025,1,Check
16,26,1724,SbDiv 2025,1,SC0893
17,26,1777,SbDiv 2025,1,SC0551
18,26,1824,SbDiv 2025,1,PI 533812
19,26,1877,SbDiv 2025,1,SC0823
20,26,1924,SbDiv 2025,1,PI 656032
21,26,1977,SbDiv 2025,1,PI 597951
22,26,5024,Mural ExPVP 2025,1,Fill
23,26,9388,Border,Border,Border
1,27,9155,Border,Border,Border
2,27,1025,SbDiv 2025,1,PI 656091
3,27,1076,SbDiv 2025,1,Check
4,27,1125,SbDiv 2025,1,PI 595708
5,27,1176,SbDiv 2025,1,PI 534041
6,27,1225,SbDiv 2025,1,SC0965
7,27,1276,SbDiv 2025,1,PI 576419
8,27,1325,SbDiv 2025,1,PI 655977
9,27,1376,SbDiv 2025,1,PI 533819
10,27,1425,SbDiv 2025,1,PI 655980
11,27,1476,SbDiv 2025,1,PI 533987
12,27,1525,SbDiv 2025,1,PI 576359
13,27,1576,SbDiv 2025,1,PI 534110
14,27,1625,SbDiv 2025,1,PI 534026
15,27,1676,SbDiv 2025,1,PI 533805
16,27,1725,SbDiv 2025,1,PI 561071
17,27,1776,SbDiv 2025,1,PI 533977
18,27,1825,SbDiv 2025,1,PI 656068
19,27,1876,SbDiv 2025,1,PI 533900
20,27,1925,SbDiv 2025,1,PI 534105
21,27,1976,SbDiv 2025,1,PI 534078
22,27,5025,Mural ExPVP 2025,1,PI 554648
23,27,9389,Border,Border,Border
1,28,9156,Border,Border,Border
2,28,1026,SbDiv 2025,1,PI 656070
3,28,1075,SbDiv 2025,1,PI 534053
4,28,1126,SbDiv 2025,1,PI 597981
5,28,1175,SbDiv 2025,1,PI 534008
