project,image,username,score,timestamp,comment
sap135images,1806_LeafPhotoA_2025-09-09 08_58_19.870-05_00.jpg,Libia,3.5,2026-05-18T09:25:07,
sap135images,1806_LeafPhotoA_2025-09-09 08_58_32.090-05_00.jpg,Libia,2.0,2026-05-18T09:25:10,
sap135images,2205_LeafPhotoA_2025-09-08 10_52_49.920-05_00.jpg,Libia,2.0,2026-05-18T09:25:12,
sap135images,2205_LeafPhotoA_2025-09-08 10_52_29.620-05_00.jpg,Libia,1.5,2026-05-18T09:25:16,
sap135images,1806_LeafPhotoA_2025-09-09 08_58_50.435-05_00.jpg,Libia,3.0,2026-05-18T09:25:20,
sap135images,2205_LeafPhotoA_2025-09-08 10_52_09.894-05_00.jpg,Libia,1.5,2026-05-18T09:25:23,
