image_path,pctd,plotNumber
1058_LeafPhotoA_2025-09-08 12_50_17.103-05_00_leaf.png,0.77,1058
1058_LeafPhotoA_2025-09-08 12_50_31.062-05_00_leaf.png,0.19,1058
1059_LeafPhotoA_2025-09-08 12_51_02.759-05_00_leaf.png,1.6,1059
1059_LeafPhotoA_2025-09-08 12_51_04.089-05_00_leaf.png,1.63,1059
1059_LeafPhotoA_2025-09-08 12_51_19.205-05_00_leaf.png,0,1059
1060_LeafPhotoA_2025-09-08 12_51_59.737-05_00_leaf.png,0,1060
1060_LeafPhotoA_2025-09-08 12_52_11.188-05_00_leaf.png,0.01,1060
1060_LeafPhotoA_2025-09-08 12_52_23.607-05_00_leaf.png,0.49,1060
1061_LeafPhotoA_2025-09-08 12_52_48.432-05_00_leaf.png,0,1061
1061_LeafPhotoA_2025-09-08 12_53_03.341-05_00_leaf.png,0.07,1061
1061_LeafPhotoA_2025-09-08 12_53_18.379-05_00_leaf.png,0.04,1061
1062_LeafPhotoA_2025-09-08 12_53_58.949-05_00_leaf.png,0.71,1062
1062_LeafPhotoA_2025-09-08 12_54_11.961-05_00_leaf.png,4.01,1062
1062_LeafPhotoA_2025-09-08 12_54_24.608-05_00_leaf.png,1.29,1062
1063_LeafPhotoA_2025-09-08 12_54_42.315-05_00_leaf.png,0.35,1063
1063_LeafPhotoA_2025-09-08 12_54_53.990-05_00_leaf.png,0,1063
1063_LeafPhotoA_2025-09-08 12_55_04.884-05_00_leaf.png,0.59,1063
1064_LeafPhotoA_2025-09-08 12_55_47.422-05_00_leaf.png,3.47,1064
1064_LeafPhotoA_2025-09-08 12_55_59.210-05_00_leaf.png,2.4,1064
1064_LeafPhotoA_2025-09-08 12_56_11.568-05_00_leaf.png,26.74,1064
1065_LeafPhotoA_2025-09-08 12_56_29.728-05_00_leaf.png,1.46,1065
1065_LeafPhotoA_2025-09-08 12_56_50.799-05_00_leaf.png,0.63,1065
1065_LeafPhotoA_2025-09-08 12_57_07.532-05_00_leaf.png,0.01,1065
1066_LeafPhotoA_2025-09-08 12_57_46.555-05_00_leaf.png,15.44,1066
1066_LeafPhotoA_2025-09-08 12_58_11.508-05_00_leaf.png,0.95,1066
1066_LeafPhotoA_2025-09-08 12_58_34.508-05_00_leaf.png,1.62,1066
1067_LeafPhotoA_2025-09-08 12_59_01.810-05_00_leaf.png,1.67,1067
1067_LeafPhotoA_2025-09-08 12_59_13.071-05_00_leaf.png,0.06,1067
1067_LeafPhotoA_2025-09-08 12_59_24.163-05_00_leaf.png,4.56,1067
1069_LeafPhotoA_2025-09-08 13_00_37.435-05_00_leaf.png,0.04,1069
1069_LeafPhotoA_2025-09-08 13_00_55.842-05_00_leaf.png,0.05,1069
1069_LeafPhotoA_2025-09-08 13_01_10.484-05_00_leaf.png,3.28,1069
1070_LeafPhotoA_2025-09-08 13_01_31.955-05_00_leaf.png,0.6,1070
1070_LeafPhotoA_2025-09-08 13_01_46.896-05_00_leaf.png,0.16,1070
