"S.No","Plot No","Accession","Replication","Population","height","color","lodging","flowering","insect damage","picture_test","Picture_fieldbook_default","plants","type","rust score","audio","location","gnss","GoPro","angle","Picture_android","notes","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"482","250031","PI 576391","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250031_LeafPhotoA_2025-10-01%2008_45_22.228-05_00.jpg",,,,
"551","250032","PI 609456","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250032_LeafPhotoA_2025-10-01%2008_46_36.960-05_00.jpg",,,,
"636","250033","PI 656018","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"333","250034","PI 534167","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"611","250035","PI 655990","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"398","250036","PI 566819","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"1","250037","PI 17548","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"679","250038","PI 656076","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"483","250039","PI 576393","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"237","250040","PI 533842","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"666","250041","PI 656058","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"212","250042","PI 533752","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"709","250043","PI 656117","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"651","250044","PI 656038","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"273","250045","PI 533956","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"250","250046","PI 533878","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"296","250047","PI 534046","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"661","250048","PI 656050","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,,,,,
"461","250049","PI 576130","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250049_LeafPhotoA_2025-10-01%2009_18_57.839-05_00.jpg",,,,
"550","250050","PI 607931","Rep 1","SAP",,,,,,,,,,,,,,,,,,,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250050_LeafPhotoA_2025-10-01%2009_17_34.450-05_00.jpg",,,,
