"S.No","Plot No","Accession","Replication","Population","LeafPhoto1","LeafPhoto2","LeafPhoto3","LeafPhotoA","LeafPhotoNotesA","LeafPhotoB","LeafPhotoNotesB","LeafPhoto6"
"328","250147","PI 534145","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250147_LeafPhotoA_2025-10-01%2013_34_08.094-05_00.jpg",,,,
"254","250148","PI 533903","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250148_LeafPhotoA_2025-10-01%2013_35_34.061-05_00.jpg",,,,
"524","250149","PI 595744","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250149_LeafPhotoA_2025-10-01%2013_37_03.950-05_00.jpg",,,,
"707","250150","PI 656114","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250150_LeafPhotoA_2025-10-01%2013_38_38.076-05_00.jpg",,,,
"586","250151","PI 651492","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250151_LeafPhotoA_2025-10-01%2013_40_20.213-05_00.jpg",,,,
"606","250152","PI 655984","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250152_LeafPhotoA_2025-10-01%2013_42_50.775-05_00.jpg",,,,
"716","250153","PI 659753","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250153_LeafPhotoA_2025-10-01%2013_44_12.086-05_00.jpg",,,,
"253","250154","PI 533902","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250154_LeafPhotoA_2025-10-01%2013_45_20.123-05_00.jpg",,,,
"344","250155","PI 548797","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250155_LeafPhotoA_2025-10-01%2013_46_34.818-05_00.jpg",,,,
"653","250156","PI 656041","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250156_LeafPhotoA_2025-10-01%2013_47_43.090-05_00.jpg",,,,
"277","250157","PI 533964","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250157_LeafPhotoA_2025-10-01%2013_49_04.214-05_00.jpg",,,,
"464","250158","PI 576339","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250158_LeafPhotoA_2025-10-01%2013_50_35.627-05_00.jpg",,,,
"233","250159","PI 533833","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250159_LeafPhotoA_2025-10-01%2013_51_51.141-05_00.jpg",,,,
"635","250160","PI 656017","Rep 1","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250160_LeafPhotoA_2025-10-01%2013_52_59.366-05_00.jpg",,,,
"256","250161","PI 533911","Rep 1","SAP",,,,,,,,
"546","250162","PI 597980","Rep 1","SAP",,,,,,,,
"491","250163","PI 576426","Rep 1","SAP",,,,,,,,
"479","250164","PI 576386","Rep 1","SAP",,,,,,,,
"243","250165","PI 533863","Rep 1","SAP",,,,,,,,
"631","250166","PI 656012","Rep 1","SAP",,,,,,,,
"267","250167","PI 533940","Rep 1","SAP",,,,,,,,
"309","250168","PI 534105","Rep 1","SAP",,,,,,,,
"627","250169","PI 656008","Rep 1","SAP",,,,,,,,
"610","250170","PI 655989","Rep 1","SAP",,,,,,,,
"713","250171","PI 656121","Rep 1","SAP",,,,,,,,
"240","250172","PI 533852","Rep 1","SAP",,,,,,,,
"533","250173","PI 597957","Rep 1","SAP",,,,,,,,
"646","250174","PI 656033","Rep 1","SAP",,,,,,,,
"525","250175","PI 595745","Rep 1","SAP",,,,,,,,
"598","250176","PI 655975","Rep 1","SAP",,,,,,,,
"475","250177","PI 576375","Rep 1","SAP",,,,,,,,
"539","250178","PI 597966","Rep 1","SAP",,,,,,,,
"213","250179","PI 533754","Rep 1","SAP",,,,,,,,
"265","250180","PI 533937","Rep 1","SAP",,,,,,,,
"260","250181","PI 533919","Rep 1","SAP",,,,,,,,
"354","250182","PI 561472","Rep 1","SAP",,,,,,,,
"261","250183","PI 533921","Rep 1","SAP",,,,,,,,
"325","250184","PI 534138","Rep 1","SAP",,,,,,,,
"258","250185","PI 533913","Rep 1","SAP",,,,,,,,
"297","250186","PI 534053","Rep 1","SAP",,,,,,,,
"629","250187","PI 656010","Rep 1","SAP",,,,,,,,
"534","250188","PI 597958","Rep 1","SAP",,,,,,,,
"351","250189","PI 561072","Rep 1","SAP",,,,,,,,
"496","250190","PI 576437","Rep 1","SAP",,,,,,,,
"394","250191","PI 564163","Rep 1","SAP",,,,,,,,
"310","250192","PI 534108","Rep 1","SAP",,,,,,,,
"575","250193","PI 642791","Rep 1","SAP",,,,,,,,
"229","250194","PI 533810","Rep 1","SAP",,,,,,,,
"519","250195","PI 595720","Rep 1","SAP",,,,,,,,
"521","250196","PI 595740","Rep 1","SAP",,,,,,,,
"289","250197","PI 533996","Rep 1","SAP",,,,,,,,
"593","250198","PI 655971","Rep 1","SAP",,,,,,,,
"695","250199","PI 656100","Rep 1","SAP",,,,,,,,
"600","250200","PI 655977","Rep 1","SAP",,,,,,,,
"527","250201","PI 597946","Rep 1","SAP",,,,,,,,
"614","250202","PI 655993","Rep 1","SAP",,,,,,,,
"548","250203","PI 598069","Rep 1","SAP",,,,,,,,
"601","250204","PI 655978","Rep 1","SAP",,,,,,,,
"649","250205","PI 656036","Rep 1","SAP",,,,,,,,
"632","250206","PI 656013","Rep 1","SAP",,,,,,,,
"318","250207","PI 534124","Rep 1","SAP",,,,,,,,
"468","250208","PI 576349","Rep 1","SAP",,,,,,,,
"218","250209","PI 533761","Rep 1","SAP",,,,,,,,
"291","250210","PI 533998","Rep 1","SAP",,,,,,,,
"683","250211","PI 656082","Rep 1","SAP",,,,,,,,
"211","250212","PI 533750","Rep 1","SAP",,,,,,,,
"295","250213","PI 534037","Rep 1","SAP",,,,,,,,
"691","250214","PI 656096","Rep 1","SAP",,,,,,,,
"319","250215","PI 534127","Rep 1","SAP",,,,,,,,
"515","250216","PI 595699","Rep 1","SAP",,,,,,,,
"668","250217","PI 656060","Rep 1","SAP",,,,,,,,
"493","250218","PI 576428","Rep 1","SAP",,,,,,,,
"523","250219","PI 595743","Rep 1","SAP",,,,,,,,
"219","250220","PI 533766","Rep 1","SAP",,,,,,,,
"238","250221","PI 533843","Rep 1","SAP",,,,,,,,
"472","250222","PI 576364","Rep 1","SAP",,,,,,,,
"292","250223","PI 534009","Rep 1","SAP",,,,,,,,
"694","250224","PI 656099","Rep 1","SAP",,,,,,,,
"467","250225","PI 576347","Rep 1","SAP",,,,,,,,
"307","250226","PI 534104","Rep 1","SAP",,,,,,,,
"348","250227","PI 552856","Rep 1","SAP",,,,,,,,
"252","250228","PI 533901","Rep 1","SAP",,,,,,,,
"244","250229","PI 533866","Rep 1","SAP",,,,,,,,
"671","250230","PI 656065","Rep 1","SAP",,,,,,,,
"526","250231","PI 597945","Rep 1","SAP",,,,,,,,
"613","250232","PI 655992","Rep 1","SAP",,,,,,,,
"217","250233","PI 533760","Rep 1","SAP",,,,,,,,
"665","250234","PI 656056","Rep 1","SAP",,,,,,,,
"645","250235","PI 656032","Rep 1","SAP",,,,,,,,
"603","250236","PI 655981","Rep 1","SAP",,,,,,,,
"279","250237","PI 533967","Rep 1","SAP",,,,,,,,
"643","250238","PI 656029","Rep 1","SAP",,,,,,,,
"466","250239","PI 576345","Rep 1","SAP",,,,,,,,
"701","250240","PI 656107","Rep 1","SAP",,,,,,,,
"484","250241","PI 576394","Rep 1","SAP",,,,,,,,
"576","250242","PI 642793","Rep 1","SAP",,,,,,,,
"280","250243","PI 533970","Rep 1","SAP",,,,,,,,
"222","250244","PI 533785","Rep 1","SAP",,,,,,,,
"460","250245","PI 574455","Rep 1","SAP",,,,,,,,
"555","250246","PI 629040","Rep 1","SAP",,,,,,,,
"215","250247","PI 533758","Rep 1","SAP",,,,,,,,
"612","250248","PI 655991","Rep 1","SAP",,,,,,,,
"224","250249","PI 533792","Rep 1","SAP",,,,,,,,
"597","250250","PI 655974","Rep 1","SAP",,,,,,,,
"283","250251","PI 533979","Rep 1","SAP",,,,,,,,
"490","250252","PI 576425","Rep 1","SAP",,,,,,,,
"621","250253","PI 656001","Rep 1","SAP",,,,,,,,
"264","250254","PI 533936","Rep 1","SAP",,,,,,,,
"262","250255","PI 533924","Rep 1","SAP",,,,,,,,
"298","250256","PI 534054","Rep 1","SAP",,,,,,,,
"301","250257","PI 534079","Rep 1","SAP",,,,,,,,
"322","250258","PI 534133","Rep 1","SAP",,,,,,,,
"286","250259","PI 533986","Rep 1","SAP",,,,,,,,
"702","250260","PI 656108","Rep 1","SAP",,,,,,,,
"476","250261","PI 576376","Rep 1","SAP",,,,,,,,
"537","250262","PI 597964","Rep 1","SAP",,,,,,,,
"474","250263","PI 576373","Rep 1","SAP",,,,,,,,
"324","250264","PI 534137","Rep 1","SAP",,,,,,,,
"499","250265","PI 585295","Rep 1","SAP",,,,,,,,
"620","250266","PI 656000","Rep 1","SAP",,,,,,,,
"609","250267","PI 655988","Rep 1","SAP",,,,,,,,
"216","250268","PI 533759","Rep 1","SAP",,,,,,,,
"214","250269","PI 533757","Rep 1","SAP",,,,,,,,
"692","250270","PI 656097","Rep 1","SAP",,,,,,,,
"241","250271","PI 533855","Rep 1","SAP",,,,,,,,
"323","250272","PI 534135","Rep 1","SAP",,,,,,,,
"485","250273","PI 576396","Rep 1","SAP",,,,,,,,
"236","250274","PI 533841","Rep 1","SAP",,,,,,,,
"281","250275","PI 533972","Rep 1","SAP",,,,,,,,
"248","250276","PI 533871","Rep 1","SAP",,,,,,,,
"247","250277","PI 533869","Rep 1","SAP",,,,,,,,
"615","250278","PI 655994","Rep 1","SAP",,,,,,,,
"544","250279","PI 597973","Rep 1","SAP",,,,,,,,
"259","250280","PI 533915","Rep 1","SAP",,,,,,,,
"228","250281","PI 533807","Rep 1","SAP",,,,,,,,
"239","250282","PI 533845","Rep 1","SAP",,,,,,,,
"232","250283","PI 533824","Rep 1","SAP",,,,,,,,
"599","250284","PI 655976","Rep 1","SAP",,,,,,,,
"648","250285","PI 656035","Rep 1","SAP",,,,,,,,
"540","250286","PI 597967","Rep 1","SAP",,,,,,,,
"638","250287","PI 656021","Rep 1","SAP",,,,,,,,
"577","250288","PI 642992","Rep 1","SAP",,,,,,,,
"329","250289","PI 534148","Rep 1","SAP",,,,,,,,
"270","250290","PI 533949","Rep 1","SAP",,,,,,,,
"251","250291","PI 533882","Rep 1","SAP",,,,,,,,
"675","250292","PI 656071","Rep 1","SAP",,,,,,,,
"272","250293","PI 533955","Rep 1","SAP",,,,,,,,
"306","250294","PI 534101","Rep 1","SAP",,,,,,,,
"462","250295","PI 576333","Rep 1","SAP",,,,,,,,
"220","250296","PI 533769","Rep 1","SAP",,,,,,,,
"5","250297","PI 34911","Rep 1","SAP",,,,,,,,
"623","250298","PI 656003","Rep 1","SAP",,,,,,,,
"516","250299","PI 595702","Rep 1","SAP",,,,,,,,
"699","250300","PI 656105","Rep 1","SAP",,,,,,,,
"662","250301","PI 656052","Rep 1","SAP",,,,,,,,
"706","250302","PI 656112","Rep 1","SAP",,,,,,,,
"489","250303","PI 576422","Rep 1","SAP",,,,,,,,
"463","250304","PI 576337","Rep 1","SAP",,,,,,,,
"321","250305","PI 534132","Rep 1","SAP",,,,,,,,
"226","250306","PI 533799","Rep 1","SAP",,,,,,,,
"4","250307","PI 24969","Rep 1","SAP",,,,,,,,
"703","250308","PI 656109","Rep 1","SAP",,,,,,,,
"657","250309","PI 656046","Rep 1","SAP",,,,,,,,
"624","250310","PI 656004","Rep 1","SAP",,,,,,,,
"326","250311","PI 534139","Rep 1","SAP",,,,,,,,
"650","250312","PI 656037","Rep 1","SAP",,,,,,,,
"696","250313","PI 656102","Rep 1","SAP",,,,,,,,
"304","250314","PI 534097","Rep 1","SAP",,,,,,,,
"227","250315","PI 533800","Rep 1","SAP",,,,,,,,
"689","250316","PI 656093","Rep 1","SAP",,,,,,,,
"630","250317","PI 656011","Rep 1","SAP",,,,,,,,
"269","250318","PI 533948","Rep 1","SAP",,,,,,,,
"396","250319","PI 564165","Rep 1","SAP",,,,,,,,
"568","250320","PI 641849","Rep 1","SAP",,,,,,,,
"715","250321","PI 659694","Rep 1","SAP",,,,,,,,
"276","250322","PI 533962","Rep 1","SAP",,,,,,,,
"602","250323","PI 655979","Rep 1","SAP",,,,,,,,
"473","250324","PI 576366","Rep 1","SAP",,,,,,,,
"705","250325","PI 656111","Rep 1","SAP",,,,,,,,
"618","250326","PI 655998","Rep 1","SAP",,,,,,,,
"711","250327","PI 656119","Rep 1","SAP",,,,,,,,
"242","250328","PI 533856","Rep 1","SAP",,,,,,,,
"268","250329","PI 533943","Rep 1","SAP",,,,,,,,
"480","250330","PI 576387","Rep 1","SAP",,,,,,,,
"315","250331","PI 534117","Rep 1","SAP",,,,,,,,
"616","250332","PI 655995","Rep 1","SAP",,,,,,,,
"654","250333","PI 656042","Rep 1","SAP",,,,,,,,
"619","250334","PI 655999","Rep 1","SAP",,,,,,,,
"634","250335","PI 656016","Rep 1","SAP",,,,,,,,
"520","250336","PI 595739","Rep 1","SAP",,,,,,,,
"685","250337","PI 656087","Rep 1","SAP",,,,,,,,
"714","250338","PI 659693","Rep 1","SAP",,,,,,,,
"704","250339","PI 656110","Rep 1","SAP",,,,,,,,
"617","250340","PI 655997","Rep 1","SAP",,,,,,,,
"320","250341","PI 534128","Rep 1","SAP",,,,,,,,
"589","250342","PI 651496","Rep 1","SAP",,,,,,,,
"486","250343","PI 576399","Rep 1","SAP",,,,,,,,
"302","250344","PI 534092","Rep 1","SAP",,,,,,,,
"230","250345","PI 533814","Rep 1","SAP",,,,,,,,
"303","250346","PI 534096","Rep 1","SAP",,,,,,,,
"644","250347","PI 656031","Rep 1","SAP",,,,,,,,
"539","250348","PI 597966","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250348_LeafPhotoA_2025-10-01%2014_07_12.832-05_00.jpg",,,,
"530","250349","PI 597951","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250349_LeafPhotoA_2025-10-01%2014_08_27.027-05_00.jpg","almost matured ",,,
"493","250350","PI 576428","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250350_LeafPhotoA_2025-10-01%2014_09_44.822-05_00.jpg",,,,
"638","250351","PI 656021","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250351_LeafPhotoA_2025-10-01%2014_10_56.344-05_00.jpg",,,,
"577","250352","PI 642992","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250352_LeafPhotoA_2025-10-01%2014_12_07.671-05_00.jpg",,,,
"282","250353","PI 533976","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250353_LeafPhotoA_2025-10-01%2014_13_07.213-05_00.jpg",,,,
"319","250354","PI 534127","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250354_LeafPhotoA_2025-10-01%2014_14_09.134-05_00.jpg",,,,
"572","250355","PI 641874","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250355_LeafPhotoA_2025-10-01%2014_15_07.411-05_00.jpg",,,,
"269","250356","PI 533948","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250356_LeafPhotoA_2025-10-01%2014_16_30.526-05_00.jpg",,,,
"258","250357","PI 533913","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250357_LeafPhotoA_2025-10-01%2014_17_39.728-05_00.jpg",,,,
"543","250358","PI 597972","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250358_LeafPhotoA_2025-10-01%2014_18_35.516-05_00.jpg",,,,
"611","250359","PI 655990","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250359_LeafPhotoA_2025-10-01%2014_19_46.565-05_00.jpg","High aphid infestation ",,,
"464","250360","PI 576339","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250360_LeafPhotoA_2025-10-01%2014_21_42.208-05_00.jpg",,,,
"600","250361","PI 655977","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250361_LeafPhotoA_2025-10-01%2014_22_45.596-05_00.jpg",,,,
"649","250362","PI 656036","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250362_LeafPhotoA_2025-10-01%2014_23_37.378-05_00.jpg",,,,
"286","250363","PI 533986","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250363_LeafPhotoA_2025-10-01%2014_24_51.900-05_00.jpg",,,,
"491","250364","PI 576426","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250364_LeafPhotoA_2025-10-01%2014_42_58.336-05_00.jpg",,,,
"325","250365","PI 534138","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250365_LeafPhotoA_2025-10-01%2014_41_58.718-05_00.jpg",,,,
"534","250366","PI 597958","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250366_LeafPhotoA_2025-10-01%2014_40_48.715-05_00.jpg",,,,
"598","250367","PI 655975","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250367_LeafPhotoA_2025-10-01%2014_39_44.955-05_00.jpg",,,,
"469","250368","PI 576350","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250368_LeafPhotoA_2025-10-01%2014_38_26.822-05_00.jpg",,,,
"538","250369","PI 597965","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250369_LeafPhotoA_2025-10-01%2014_36_51.920-05_00.jpg","from 2 plants, matured ",,,
"270","250370","PI 533949","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250370_LeafPhotoA_2025-10-01%2014_35_48.927-05_00.jpg",,,,
"333","250371","PI 534167","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250371_LeafPhotoA_2025-10-01%2014_34_36.575-05_00.jpg",,,,
"481","250372","PI 576390","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250372_LeafPhotoA_2025-10-01%2014_33_45.939-05_00.jpg",,,,
"668","250373","PI 656060","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250373_LeafPhotoA_2025-10-01%2014_32_46.484-05_00.jpg",,,,
"328","250374","PI 534145","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250374_LeafPhotoA_2025-10-01%2014_30_56.984-05_00.jpg","only one plant ",,,
"520","250375","PI 595739","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250375_LeafPhotoA_2025-10-01%2014_30_04.927-05_00.jpg",,,,
"241","250376","PI 533855","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250376_LeafPhotoA_2025-10-01%2014_28_38.575-05_00.jpg",,,,
"541","250377","PI 597968","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250377_LeafPhotoA_2025-10-01%2014_27_47.281-05_00.jpg",,,,
"687","250378","PI 656090","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250378_LeafPhotoA_2025-10-01%2014_26_54.785-05_00.jpg",,,,
"253","250379","PI 533902","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250379_LeafPhotoA_2025-10-01%2014_26_04.131-05_00.jpg",,,,
"681","250380","PI 656079","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250380_LeafPhotoA_2025-10-02%2010_18_44.751-05_00.jpg",,,,
"617","250381","PI 655997","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250381_LeafPhotoA_2025-10-02%2010_20_50.628-05_00.jpg",,,,
"551","250382","PI 609456","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250382_LeafPhotoA_2025-10-02%2010_23_47.509-05_00.jpg",,,,
"610","250383","PI 655989","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250383_LeafPhotoA_2025-10-02%2010_29_06.832-05_00.jpg","aphids on leaf 3",,,
"216","250384","PI 533759","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250384_LeafPhotoA_2025-10-02%2010_33_03.103-05_00.jpg","pest accumulation",,,
"625","250385","PI 656006","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250385_LeafPhotoA_2025-10-02%2010_36_14.584-05_00.jpg",,,,
"228","250386","PI 533807","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250386_LeafPhotoA_2025-10-02%2010_38_59.749-05_00.jpg",,,,
"651","250387","PI 656038","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250387_LeafPhotoA_2025-10-02%2010_41_39.394-05_00.jpg",,,,
"540","250388","PI 597967","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250388_LeafPhotoA_2025-10-02%2010_45_34.506-05_00.jpg",,,,
"307","250389","PI 534104","Rep 2","SAP",,,,"content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2FFVSU_SAP_BAP%2FLeafPhotoA%2F250389_LeafPhotoA_2025-10-02%2010_48_34.723-05_00.jpg",,,,
"707","250390","PI 656114","Rep 2","SAP",,,,,,,,
"257","250391","PI 533912","Rep 2","SAP",,,,,,,,
"615","250392","PI 655994","Rep 2","SAP",,,,,,,,
"223","250393","PI 533789","Rep 2","SAP",,,,,,,,
"237","250394","PI 533842","Rep 2","SAP",,,,,,,,
"547","250395","PI 597982","Rep 2","SAP",,,,,,,,
