analysis,similarity_threshold,n_axes,n_modules,n_multi_axis_modules,largest_module_size,n_between_module_pairs,median_abs_between_module_r,p90_abs_between_module_r,fraction_abs_between_module_r_lt_0_3,fraction_abs_between_module_r_lt_0_2
raw,0.5,63,13,10,24,1592,0.3349236920151433,0.5614687174488555,0.42902010050251255,0.2600502512562814
raw,0.4,63,5,4,44,925,0.25838521784057805,0.4649157303446718,0.5837837837837838,0.37945945945945947
raw,0.3,63,4,4,45,881,0.25103578280975475,0.4636616506161033,0.601589103291714,0.39160045402951194
residualized_human_exg,0.5,63,24,13,14,1800,0.21401716596898426,0.475634283892312,0.6627777777777778,0.46111111111111114
residualized_human_exg,0.4,63,18,12,22,1670,0.2019631886210916,0.44479217658243364,0.7053892215568862,0.4934131736526946
residualized_human_exg,0.3,63,10,6,29,1444,0.1834570813879785,0.4089954184633869,0.7590027700831025,0.5450138504155124
