axis_id,module,analysis,similarity_threshold
cluster025_1,6,residualized_human_exg,0.4
cluster025_7,13,residualized_human_exg,0.4
cluster025_13,11,residualized_human_exg,0.4
cluster025_14,9,residualized_human_exg,0.4
cluster025_21,14,residualized_human_exg,0.4
cluster025_27,2,residualized_human_exg,0.4
cluster025_29,14,residualized_human_exg,0.4
cluster025_30,14,residualized_human_exg,0.4
cluster025_31,14,residualized_human_exg,0.4
cluster025_32,11,residualized_human_exg,0.4
cluster025_33,3,residualized_human_exg,0.4
cluster025_40,11,residualized_human_exg,0.4
cluster025_41,11,residualized_human_exg,0.4
cluster025_43,11,residualized_human_exg,0.4
cluster025_45,11,residualized_human_exg,0.4
cluster025_46,11,residualized_human_exg,0.4
cluster025_47,11,residualized_human_exg,0.4
cluster025_50,2,residualized_human_exg,0.4
cluster025_57,13,residualized_human_exg,0.4
cluster025_61,11,residualized_human_exg,0.4
cluster025_62,6,residualized_human_exg,0.4
cluster025_63,5,residualized_human_exg,0.4
cluster025_64,6,residualized_human_exg,0.4
cluster025_66,4,residualized_human_exg,0.4
cluster025_69,6,residualized_human_exg,0.4
cluster025_71,5,residualized_human_exg,0.4
cluster025_72,6,residualized_human_exg,0.4
cluster025_73,9,residualized_human_exg,0.4
cluster025_74,11,residualized_human_exg,0.4
cluster025_75,1,residualized_human_exg,0.4
cluster025_76,11,residualized_human_exg,0.4
cluster025_80,11,residualized_human_exg,0.4
cluster025_81,2,residualized_human_exg,0.4
cluster025_82,3,residualized_human_exg,0.4
cluster025_86,4,residualized_human_exg,0.4
cluster025_104,14,residualized_human_exg,0.4
cluster025_109,11,residualized_human_exg,0.4
cluster025_110,9,residualized_human_exg,0.4
cluster025_111,1,residualized_human_exg,0.4
cluster025_112,9,residualized_human_exg,0.4
cluster025_119,11,residualized_human_exg,0.4
cluster025_120,7,residualized_human_exg,0.4
cluster025_121,6,residualized_human_exg,0.4
cluster025_122,10,residualized_human_exg,0.4
cluster025_132,11,residualized_human_exg,0.4
cluster025_136,11,residualized_human_exg,0.4
cluster025_154,11,residualized_human_exg,0.4
cluster025_156,8,residualized_human_exg,0.4
cluster025_164,11,residualized_human_exg,0.4
cluster025_166,12,residualized_human_exg,0.4
cluster025_167,16,residualized_human_exg,0.4
cluster025_174,17,residualized_human_exg,0.4
cluster025_175,11,residualized_human_exg,0.4
cluster025_186,15,residualized_human_exg,0.4
cluster025_189,18,residualized_human_exg,0.4
cluster025_190,9,residualized_human_exg,0.4
cluster025_191,10,residualized_human_exg,0.4
cluster025_192,12,residualized_human_exg,0.4
cluster025_202,11,residualized_human_exg,0.4
cluster025_204,11,residualized_human_exg,0.4
cluster025_207,3,residualized_human_exg,0.4
cluster025_211,14,residualized_human_exg,0.4
cluster025_212,11,residualized_human_exg,0.4
