axis_id,cluster025,n_embeddings,cluster_type,median_max_abs_severity_r,max_abs_severity_r,has_validated_or_proposed_locus,has_validated_locus,example_embeddings
cluster025_132,132,1,singleton,0.6121886163159705,0.6121886163159705,False,False,embedding_mean_433
cluster025_136,136,1,singleton,0.4810032654169955,0.4810032654169955,False,False,embedding_mean_486
cluster025_154,154,1,singleton,0.5096663446039297,0.5096663446039297,False,False,embedding_mean_819
cluster025_156,156,1,singleton,0.4691749530259547,0.4691749530259547,False,False,embedding_mean_844
cluster025_164,164,1,singleton,0.626082397407353,0.626082397407353,False,False,embedding_mean_984
cluster025_166,166,1,singleton,0.5376145297636596,0.5376145297636596,False,False,embedding_std_27
cluster025_167,167,1,singleton,0.4375743923323376,0.4375743923323376,False,False,embedding_std_65
cluster025_174,174,1,singleton,0.4086527229261802,0.4086527229261802,False,False,embedding_std_111
cluster025_175,175,1,singleton,0.4019921016086596,0.4019921016086596,False,False,embedding_std_124
cluster025_186,186,1,singleton,0.4245984989057593,0.4245984989057593,False,False,embedding_std_421
cluster025_189,189,1,singleton,0.565542302533742,0.565542302533742,False,False,embedding_std_466
cluster025_190,190,1,singleton,0.444423712818538,0.444423712818538,False,False,embedding_std_479
cluster025_191,191,1,singleton,0.4921122210939778,0.4921122210939778,False,False,embedding_std_506
cluster025_192,192,1,singleton,0.4116993750337605,0.4116993750337605,False,False,embedding_std_531
cluster025_202,202,1,singleton,0.4424980161930835,0.4424980161930835,False,False,embedding_std_733
cluster025_204,204,1,singleton,0.520376114841324,0.520376114841324,False,False,embedding_std_781
cluster025_207,207,1,singleton,0.6041615034976718,0.6041615034976718,True,True,embedding_std_839
cluster025_211,211,1,singleton,0.4548444559495356,0.4548444559495356,False,False,embedding_std_1006
cluster025_212,212,1,singleton,0.5762230474309238,0.5762230474309238,False,False,embedding_std_1011
