axis_id,module,analysis,similarity_threshold
cluster025_1,3,raw,0.5
cluster025_7,11,raw,0.5
cluster025_13,11,raw,0.5
cluster025_14,10,raw,0.5
cluster025_21,7,raw,0.5
cluster025_27,8,raw,0.5
cluster025_29,8,raw,0.5
cluster025_30,8,raw,0.5
cluster025_31,8,raw,0.5
cluster025_32,11,raw,0.5
cluster025_33,2,raw,0.5
cluster025_40,11,raw,0.5
cluster025_41,11,raw,0.5
cluster025_43,11,raw,0.5
cluster025_45,11,raw,0.5
cluster025_46,11,raw,0.5
cluster025_47,11,raw,0.5
cluster025_50,4,raw,0.5
cluster025_57,11,raw,0.5
cluster025_61,11,raw,0.5
cluster025_62,3,raw,0.5
cluster025_63,4,raw,0.5
cluster025_64,3,raw,0.5
cluster025_66,4,raw,0.5
cluster025_69,3,raw,0.5
cluster025_71,4,raw,0.5
cluster025_72,3,raw,0.5
cluster025_73,10,raw,0.5
cluster025_74,11,raw,0.5
cluster025_75,1,raw,0.5
cluster025_76,11,raw,0.5
cluster025_80,11,raw,0.5
cluster025_81,8,raw,0.5
cluster025_82,2,raw,0.5
cluster025_86,4,raw,0.5
cluster025_104,7,raw,0.5
cluster025_109,8,raw,0.5
cluster025_110,10,raw,0.5
cluster025_111,1,raw,0.5
cluster025_112,10,raw,0.5
cluster025_119,11,raw,0.5
cluster025_120,8,raw,0.5
cluster025_121,3,raw,0.5
cluster025_122,11,raw,0.5
cluster025_132,11,raw,0.5
cluster025_136,11,raw,0.5
cluster025_154,11,raw,0.5
cluster025_156,6,raw,0.5
cluster025_164,8,raw,0.5
cluster025_166,9,raw,0.5
cluster025_167,5,raw,0.5
cluster025_174,5,raw,0.5
cluster025_175,11,raw,0.5
cluster025_186,12,raw,0.5
cluster025_189,13,raw,0.5
cluster025_190,10,raw,0.5
cluster025_191,11,raw,0.5
cluster025_192,9,raw,0.5
cluster025_202,11,raw,0.5
cluster025_204,11,raw,0.5
cluster025_207,8,raw,0.5
cluster025_211,8,raw,0.5
cluster025_212,11,raw,0.5
