axis_id,module,analysis,similarity_threshold
cluster025_1,8,residualized_human_exg,0.5
cluster025_7,19,residualized_human_exg,0.5
cluster025_13,15,residualized_human_exg,0.5
cluster025_14,12,residualized_human_exg,0.5
cluster025_21,20,residualized_human_exg,0.5
cluster025_27,2,residualized_human_exg,0.5
cluster025_29,20,residualized_human_exg,0.5
cluster025_30,20,residualized_human_exg,0.5
cluster025_31,20,residualized_human_exg,0.5
cluster025_32,16,residualized_human_exg,0.5
cluster025_33,4,residualized_human_exg,0.5
cluster025_40,15,residualized_human_exg,0.5
cluster025_41,15,residualized_human_exg,0.5
cluster025_43,15,residualized_human_exg,0.5
cluster025_45,15,residualized_human_exg,0.5
cluster025_46,16,residualized_human_exg,0.5
cluster025_47,15,residualized_human_exg,0.5
cluster025_50,2,residualized_human_exg,0.5
cluster025_57,19,residualized_human_exg,0.5
cluster025_61,15,residualized_human_exg,0.5
cluster025_62,9,residualized_human_exg,0.5
cluster025_63,7,residualized_human_exg,0.5
cluster025_64,8,residualized_human_exg,0.5
cluster025_66,5,residualized_human_exg,0.5
cluster025_69,8,residualized_human_exg,0.5
cluster025_71,7,residualized_human_exg,0.5
cluster025_72,8,residualized_human_exg,0.5
cluster025_73,12,residualized_human_exg,0.5
cluster025_74,15,residualized_human_exg,0.5
cluster025_75,1,residualized_human_exg,0.5
cluster025_76,16,residualized_human_exg,0.5
cluster025_80,15,residualized_human_exg,0.5
cluster025_81,3,residualized_human_exg,0.5
cluster025_82,4,residualized_human_exg,0.5
cluster025_86,6,residualized_human_exg,0.5
cluster025_104,20,residualized_human_exg,0.5
cluster025_109,16,residualized_human_exg,0.5
cluster025_110,13,residualized_human_exg,0.5
cluster025_111,1,residualized_human_exg,0.5
cluster025_112,13,residualized_human_exg,0.5
cluster025_119,16,residualized_human_exg,0.5
cluster025_120,10,residualized_human_exg,0.5
cluster025_121,9,residualized_human_exg,0.5
cluster025_122,14,residualized_human_exg,0.5
cluster025_132,15,residualized_human_exg,0.5
cluster025_136,15,residualized_human_exg,0.5
cluster025_154,15,residualized_human_exg,0.5
cluster025_156,11,residualized_human_exg,0.5
cluster025_164,16,residualized_human_exg,0.5
cluster025_166,17,residualized_human_exg,0.5
cluster025_167,22,residualized_human_exg,0.5
cluster025_174,23,residualized_human_exg,0.5
cluster025_175,15,residualized_human_exg,0.5
cluster025_186,21,residualized_human_exg,0.5
cluster025_189,24,residualized_human_exg,0.5
cluster025_190,12,residualized_human_exg,0.5
cluster025_191,14,residualized_human_exg,0.5
cluster025_192,18,residualized_human_exg,0.5
cluster025_202,16,residualized_human_exg,0.5
cluster025_204,15,residualized_human_exg,0.5
cluster025_207,4,residualized_human_exg,0.5
cluster025_211,20,residualized_human_exg,0.5
cluster025_212,16,residualized_human_exg,0.5
