analysis,module,n_cluster_labels,n_multitrait_labels,n_singleton_labels,median_abs_within_module_r,max_abs_within_module_r,candidate_supported_labels,example_axis_ids,example_embeddings,similarity_threshold
raw,4,45,20,25,0.5094678239899569,0.8833918673495448,8,cluster025_7;cluster025_13;cluster025_14;cluster025_21;cluster025_27;cluster025_29;cluster025_30;cluster025_31;cluster025_32;cluster025_40;cluster025_41;cluster025_43,embedding_mean_119;embedding_mean_441;embedding_mean_599;embedding_mean_762;embedding_mean_890;embedding_std_212;embedding_std_228;embedding_std_538;embedding_std_620;embedding_std_803;embedding_mean_101;embedding_mean_126;embedding_mean_151;embedding_std_535;embedding_mean_144;embedding_mean_289;embedding_mean_611;embedding_mean_738;embedding_std_392;embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851;embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726;embedding_mean_577;embedding_std_711;embedding_std_897;embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0;embedding_mean_657;embedding_std_98;embedding_std_707;embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808;embedding_mean_795;embedding_std_512,0.3
raw,2,13,11,2,0.5137287296654435,0.8157170181536768,8,cluster025_1;cluster025_33;cluster025_50;cluster025_62;cluster025_63;cluster025_64;cluster025_66;cluster025_69;cluster025_71;cluster025_72;cluster025_82;cluster025_86,embedding_mean_430;embedding_mean_746;embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76;embedding_std_567;embedding_mean_408;embedding_mean_978;embedding_std_191;embedding_std_352;embedding_std_375;embedding_std_701;embedding_std_774;embedding_std_847;embedding_mean_59;embedding_mean_846;embedding_std_89;embedding_mean_155;embedding_mean_210;embedding_std_785;embedding_mean_973;embedding_std_255;embedding_mean_139;embedding_mean_376;embedding_mean_646;embedding_mean_756;embedding_mean_68;embedding_mean_903;embedding_mean_20;embedding_mean_74;embedding_mean_85;embedding_mean_129;embedding_mean_132;embedding_mean_141;embedding_mean_157;embedding_mean_165;embedding_mean_172;embedding_mean_178;embedding_mean_192;embedding_mean_204;embedding_mean_26;embedding_std_968;embedding_std_172;embedding_std_935,0.3
raw,3,3,0,3,0.4228147938402502,0.5076142908192479,0,cluster025_156;cluster025_167;cluster025_174,embedding_mean_844;embedding_std_65;embedding_std_111,0.3
raw,1,2,2,0,0.5353491765223064,0.5353491765223064,0,cluster025_75;cluster025_111,embedding_mean_740;embedding_mean_1022;embedding_std_1022;embedding_mean_152;embedding_mean_421,0.3
