image_path,segmentation_method
data/fvsu2025/bap3/251118_LeafPhotoA_2025-10-08 13_59_21.584-05_00.jpg,CV2
data/fvsu2025/bap3/250619_LeafPhotoA_2025-10-03 09_01_21.724-05_00.jpg,CV2
data/fvsu2025/bap3/251226_LeafPhotoA_2025-10-10 10_36_36.982-05_00.jpg,CV2
data/fvsu2025/bap3/251295_LeafPhotoA_2025-10-10 14_02_45.196-05_00.jpg,CV2
data/fvsu2025/bap3/250382_LeafPhotoA_2025-10-02 10_22_49.379-05_00.jpg,CV2
data/fvsu2025/bap3/250694_LeafPhotoA_2025-10-03 10_56_10.086-05_00.jpg,CV2
data/fvsu2025/bap3/250700_LeafPhotoA_2025-10-07 13_49_25.438-05_00.jpg,CV2
data/fvsu2025/bap3/250389_LeafPhotoA_2025-10-02 10_46_51.653-05_00.jpg,CV2
data/fvsu2025/bap3/250385_LeafPhotoA_2025-10-02 10_35_24.410-05_00.jpg,CV2
data/fvsu2025/bap3/251125_LeafPhotoA_2025-10-08 14_16_57.859-05_00.jpg,CV2
data/fvsu2025/bap3/250363_LeafPhotoA_2025-10-01 14_24_37.526-05_00.jpg,CV2
data/fvsu2025/bap3/250100_LeafPhotoA_2025-10-01 09_53_13.436-05_00.jpg,CV2
data/fvsu2025/bap3/251248_LeafPhotoA_2025-10-10 11_00_21.175-05_00.jpg,CV2
data/fvsu2025/bap3/250458_LeafPhotoA_2025-10-02 14_26_53.135-05_00.jpg,CV2
data/fvsu2025/bap3/251280_LeafPhotoA_2025-10-10 14_12_54.453-05_00.jpg,CV2
data/fvsu2025/bap3/251287_LeafPhotoA_2025-10-10 14_07_45.640-05_00.jpg,CV2
data/fvsu2025/bap3/250036_LeafPhotoA_2025-10-01 08_36_52.214-05_00.jpg,CV2
data/fvsu2025/bap3/250644_LeafPhotoA_2025-10-03 09_45_48.415-05_00.jpg,CV2
data/fvsu2025/bap3/250466_LeafPhotoA_2025-10-02 14_38_31.616-05_00.jpg,CV2
data/fvsu2025/bap3/250459_LeafPhotoA_2025-10-02 14_27_38.306-05_00.jpg,CV2
data/fvsu2025/bap3/250097_LeafPhotoA_2025-10-01 09_48_37.064-05_00.jpg,CV2
data/fvsu2025/bap3/250465_LeafPhotoA_2025-10-02 14_40_17.028-05_00.jpg,CV2
data/fvsu2025/bap3/250921_LeafPhotoA_2025-10-08 10_03_00.535-05_00.jpg,CV2
data/fvsu2025/bap3/250362_LeafPhotoA_2025-10-01 14_23_37.378-05_00.jpg,CV2
data/fvsu2025/bap3/250660_LeafPhotoA_2025-10-03 10_22_34.927-05_00.jpg,CV2
data/fvsu2025/bap3/250634_LeafPhotoA_2025-10-03 09_35_39.665-05_00.jpg,CV2
data/fvsu2025/bap3/250102_LeafPhotoA_2025-10-01 09_55_21.973-05_00.jpg,CV2
data/fvsu2025/bap3/250629_LeafPhotoA_2025-10-03 09_31_02.510-05_00.jpg,CV2
data/fvsu2025/bap3/251267_LeafPhotoA_2025-10-10 13_51_04.972-05_00.jpg,CV2
data/fvsu2025/bap3/250108_LeafPhotoA_2025-10-01 10_01_38.846-05_00.jpg,CV2
data/fvsu2025/bap3/250102_LeafPhotoA_2025-10-01 09_55_10.203-05_00.jpg,CV2
data/fvsu2025/bap3/250132_LeafPhotoA_2025-10-01 10_40_35.862-05_00.jpg,CV2
data/fvsu2025/bap3/250093_LeafPhotoA_2025-10-01 09_21_01.104-05_00.jpg,CV2
data/fvsu2025/bap3/251266_LeafPhotoA_2025-10-10 13_50_21.962-05_00.jpg,CV2
data/fvsu2025/bap3/250678_LeafPhotoA_2025-10-03 10_35_13.955-05_00.jpg,CV2
data/fvsu2025/bap3/251116_LeafPhotoA_2025-10-08 13_58_05.973-05_00.jpg,CV2
data/fvsu2025/bap3/250037_LeafPhotoA_2025-10-01 08_41_13.539-05_00.jpg,CV2
data/fvsu2025/bap3/250386_LeafPhotoA_2025-10-02 10_38_18.008-05_00.jpg,CV2
data/fvsu2025/bap3/250695_LeafPhotoA_2025-10-07 13_45_36.783-05_00.jpg,CV2
data/fvsu2025/bap3/250692_LeafPhotoA_2025-10-03 10_54_24.832-05_00.jpg,CV2
data/fvsu2025/bap3/251015_LeafPhotoA_2025-10-08 10_35_26.046-05_00.jpg,CV2
data/fvsu2025/bap3/251217_LeafPhotoA_2025-10-10 10_25_40.158-05_00.jpg,CV2
data/fvsu2025/bap3/250915_LeafPhotoA_2025-10-08 09_41_12.475-05_00.jpg,CV2
data/fvsu2025/bap3/251123_LeafPhotoA_2025-10-08 14_19_53.220-05_00.jpg,CV2
data/fvsu2025/bap3/250099_LeafPhotoA_2025-10-01 09_52_04.626-05_00.jpg,CV2
data/fvsu2025/bap3/250679_LeafPhotoA_2025-10-03 10_33_40.000-05_00.jpg,CV2
data/fvsu2025/bap3/250889_LeafPhotoA_2025-10-08 09_20_42.572-05_00.jpg,CV2
data/fvsu2025/bap3/250112_LeafPhotoA_2025-10-01 10_05_32.331-05_00.jpg,CV2
data/fvsu2025/bap3/250596_LeafPhotoA_2025-10-03 08_53_16.452-05_00.jpg,CV2
data/fvsu2025/bap3/250656_LeafPhotoA_2025-10-03 10_18_34.862-05_00.jpg,CV2
data/fvsu2025/bap3/250933_LeafPhotoA_2025-10-08 09_48_45.396-05_00.jpg,CV2
data/fvsu2025/bap3/251267_LeafPhotoA_2025-10-10 13_51_17.120-05_00.jpg,CV2
data/fvsu2025/bap3/251236_LeafPhotoA_2025-10-10 10_53_56.835-05_00.jpg,CV2
data/fvsu2025/bap3/250629_LeafPhotoA_2025-10-03 09_31_19.032-05_00.jpg,CV2
data/fvsu2025/bap3/250470_LeafPhotoA_2025-10-02 14_34_00.830-05_00.jpg,CV2
data/fvsu2025/bap3/250671_LeafPhotoA_2025-10-03 10_41_17.680-05_00.jpg,CV2
data/fvsu2025/bap3/251246_LeafPhotoA_2025-10-10 10_46_08.293-05_00.jpg,CV2
data/fvsu2025/bap3/250599_LeafPhotoA_2025-10-03 08_55_33.250-05_00.jpg,CV2
data/fvsu2025/bap3/251128_LeafPhotoA_2025-10-08 14_12_20.798-05_00.jpg,CV2
data/fvsu2025/bap3/250471_LeafPhotoA_2025-10-02 14_33_11.966-05_00.jpg,CV2
data/fvsu2025/bap3/250456_LeafPhotoA_2025-10-02 14_24_46.506-05_00.jpg,CV2
data/fvsu2025/bap3/250365_LeafPhotoA_2025-10-01 14_41_20.703-05_00.jpg,CV2
data/fvsu2025/bap3/250910_LeafPhotoA_2025-10-08 09_34_45.149-05_00.jpg,CV2
data/fvsu2025/bap3/250651_LeafPhotoA_2025-10-03 09_38_41.274-05_00.jpg,CV2
data/fvsu2025/bap3/250608_LeafPhotoA_2025-10-03 09_12_06.309-05_00.jpg,CV2
data/fvsu2025/bap3/251231_LeafPhotoA_2025-10-10 10_42_17.323-05_00.jpg,CV2
data/fvsu2025/bap3/250104_LeafPhotoA_2025-10-01 09_57_08.630-05_00.jpg,CV2
data/fvsu2025/bap3/251227_LeafPhotoA_2025-10-10 10_37_14.057-05_00.jpg,CV2
data/fvsu2025/bap3/250387_LeafPhotoA_2025-10-02 10_41_39.394-05_00.jpg,CV2
data/fvsu2025/bap3/250159_LeafPhotoA_2025-10-01 13_51_39.061-05_00.jpg,CV2
data/fvsu2025/bap3/250900_LeafPhotoA_2025-10-08 09_06_51.370-05_00.jpg,CV2
data/fvsu2025/bap3/250590_LeafPhotoA_2025-10-03 08_47_01.980-05_00.jpg,CV2
data/fvsu2025/bap3/250466_LeafPhotoA_2025-10-02 14_38_48.106-05_00.jpg,CV2
data/fvsu2025/bap3/250121_LeafPhotoA_2025-10-01 10_15_24.403-05_00.jpg,CV2
data/fvsu2025/bap3/251124_LeafPhotoA_2025-10-08 14_17_59.722-05_00.jpg,CV2
data/fvsu2025/bap3/250150_LeafPhotoA_2025-10-01 13_38_22.404-05_00.jpg,CV2
data/fvsu2025/bap3/251118_LeafPhotoA_2025-10-08 13_59_48.606-05_00.jpg,CV2
data/fvsu2025/bap3/250039_LeafPhotoA_2025-10-01 08_46_54.850-05_00.jpg,CV2
data/fvsu2025/bap3/251283_LeafPhotoA_2025-10-10 14_10_29.918-05_00.jpg,CV2
data/fvsu2025/bap3/251257_LeafPhotoA_2025-10-10 11_05_38.022-05_00.jpg,CV2
data/fvsu2025/bap3/250361_LeafPhotoA_2025-10-01 14_22_45.596-05_00.jpg,CV2
data/fvsu2025/bap3/250619_LeafPhotoA_2025-10-03 09_01_48.713-05_00.jpg,CV2
data/fvsu2025/bap3/251228_LeafPhotoA_2025-10-10 10_38_28.296-05_00.jpg,CV2
data/fvsu2025/bap3/250158_LeafPhotoA_2025-10-01 13_50_35.627-05_00.jpg,CV2
data/fvsu2025/bap3/250885_LeafPhotoA_2025-10-08 08_58_35.393-05_00.jpg,CV2
data/fvsu2025/bap3/251258_LeafPhotoA_2025-10-10 11_05_55.378-05_00.jpg,CV2
data/fvsu2025/bap3/250931_LeafPhotoA_2025-10-08 09_52_06.267-05_00.jpg,CV2
data/fvsu2025/bap3/250598_LeafPhotoA_2025-10-03 08_55_11.484-05_00.jpg,CV2
data/fvsu2025/bap3/251119_LeafPhotoA_2025-10-08 14_02_14.422-05_00.jpg,CV2
data/fvsu2025/bap3/250360_LeafPhotoA_2025-10-01 14_21_29.779-05_00.jpg,CV2
data/fvsu2025/bap3/250367_LeafPhotoA_2025-10-01 14_39_44.955-05_00.jpg,CV2
