cluster025,axis_id,severity_related,severity_class,cluster_type,n_embeddings,n_loci,has_validated_locus,has_validated_or_proposed_locus,median_max_abs_severity_r,max_abs_severity_r,axis_spearman_abs_r_with_human_exg_anchor,axis_orientation,example_embeddings,reported_candidate_genes
27,cluster025_27,True,severity_correlated,multi_trait,5,7,False,False,0.389861679663703,0.5212483813797723,0.565493196492061,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_399;embedding_std_222;embedding_std_572;embedding_std_655;embedding_std_851,
28,cluster025_28,False,not_severity_correlated,multi_trait,6,7,False,False,0.1353906366870945,0.2971936383962902,0.16981409579990783,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_29;embedding_std_163;embedding_std_484;embedding_std_527;embedding_std_681;embedding_std_939,
29,cluster025_29,True,severity_correlated,multi_trait,4,6,False,False,0.4443352340946419,0.4973433672802653,0.48189560596882824,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_771;embedding_std_478;embedding_std_488;embedding_std_726,
30,cluster025_30,True,severity_correlated,multi_trait,3,4,False,False,0.4244092438728558,0.5250279836386389,0.5478997996105562,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_577;embedding_std_711;embedding_std_897,
31,cluster025_31,True,severity_correlated,multi_trait,27,28,False,False,0.4482113558575737,0.6686775402116548,0.6737510815814068,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_65;embedding_mean_275;embedding_mean_297;embedding_mean_570;embedding_mean_596;embedding_mean_629;embedding_mean_633;embedding_mean_807;embedding_mean_881;embedding_mean_952;embedding_mean_979;embedding_std_0,
32,cluster025_32,True,severity_correlated,singleton,1,4,False,False,0.6309847212071056,0.6309847212071056,0.6505989186745967,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_657,
33,cluster025_33,True,severity_correlated,multi_trait,21,57,True,True,0.2644305954650773,0.5697291463666836,0.3261426085654653,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_40;embedding_mean_123;embedding_mean_186;embedding_mean_332;embedding_mean_432;embedding_mean_494;embedding_mean_666;embedding_mean_674;embedding_mean_742;embedding_mean_942;embedding_mean_1016;embedding_std_76,"Sobic.007G163100;Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
34,cluster025_34,False,not_severity_correlated,singleton,1,6,False,False,0.1378002032738861,0.1378002032738861,0.10107362208264592,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_622,
35,cluster025_35,False,not_severity_correlated,multi_trait,3,3,False,False,0.3055888130475971,0.397960093968927,0.15084885569886605,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_996;embedding_mean_997;embedding_std_1005,
36,cluster025_36,False,not_severity_correlated,singleton,1,1,False,False,0.0876636006153325,0.0876636006153325,0.07813908136977454,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_440,
37,cluster025_37,False,not_severity_correlated,singleton,1,11,False,False,0.0541155976951636,0.0541155976951636,0.06140253401886068,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_906,
38,cluster025_38,False,not_severity_correlated,singleton,1,1,False,False,0.0996888115270754,0.0996888115270754,0.004804063648302938,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_684,
39,cluster025_39,False,not_severity_correlated,multi_trait,3,4,False,False,0.3594509183169807,0.3783345622900551,0.3763353930247773,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_146;embedding_std_444;embedding_std_586,
40,cluster025_40,True,severity_correlated,multi_trait,2,3,True,True,0.5049037587281335,0.5507207430610142,0.5713459140435865,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_98;embedding_std_707,Sobic.005G126200
41,cluster025_41,True,severity_correlated,multi_trait,5,6,True,True,0.5739258301914204,0.6325992809876417,0.6455080130946578,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808,Sobic.005G126200
42,cluster025_42,False,not_severity_correlated,singleton,1,1,False,False,0.0459514988308928,0.0459514988308928,0.0372822326731525,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_314,
43,cluster025_43,True,severity_correlated,multi_trait,2,3,False,False,0.3882680762609842,0.4756742659166684,0.4252432563878009,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_795;embedding_std_512,
44,cluster025_44,False,not_severity_correlated,multi_trait,6,7,False,False,0.3295473962083681,0.4808741049613096,0.5015062245976196,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863,
45,cluster025_45,True,severity_correlated,multi_trait,2,10,True,True,0.3917577477174835,0.4712706042363412,0.41350484169974666,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_46;embedding_std_532,Sobic.005G126200
46,cluster025_46,True,severity_correlated,multi_trait,10,93,True,True,0.5135367966003048,0.6468531834688949,0.6301809885267565,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117;embedding_std_243;embedding_std_496,Sobic.005G126200
47,cluster025_47,True,severity_correlated,multi_trait,3,16,True,True,0.589186707607703,0.6257931503245845,0.6643036736886254,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_117;embedding_mean_150;embedding_mean_698,Sobic.005G126200
48,cluster025_48,False,not_severity_correlated,singleton,1,1,False,False,0.3163692370555093,0.3163692370555093,0.33305845364230274,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_574,
49,cluster025_49,False,not_severity_correlated,singleton,1,1,False,False,0.3848952069606161,0.3848952069606161,0.36178170124565984,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_511,
50,cluster025_50,True,severity_correlated,singleton,1,1,False,False,0.6047899261469911,0.6047899261469911,0.5675479822732087,positive_axis_aligned_to_higher_human_exg_severity,embedding_std_567,
51,cluster025_51,False,not_severity_correlated,multi_trait,2,3,False,False,0.3060378760923624,0.3190882184503869,0.2962679405592964,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_261;embedding_mean_896,Sobic.001G323801
52,cluster025_52,False,not_severity_correlated,multi_trait,5,6,False,False,0.2494987176177571,0.3899744985001364,0.2891963292153252,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969,
53,cluster025_53,False,not_severity_correlated,multi_trait,3,5,False,False,0.2649154095353205,0.2739914076015305,0.2684199777341321,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_832;embedding_std_81;embedding_std_454,
54,cluster025_54,False,not_severity_correlated,multi_trait,2,3,False,False,0.0560478418326491,0.0585558914576229,0.05170017344302429,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_232;embedding_std_872,
55,cluster025_55,False,not_severity_correlated,multi_trait,37,49,True,True,0.1707117269497341,0.4534666213348734,0.017716653462341324,positive_axis_aligned_to_higher_human_exg_severity,embedding_mean_75;embedding_mean_153;embedding_mean_357;embedding_mean_595;embedding_mean_631;embedding_mean_714;embedding_mean_864;embedding_mean_988;embedding_std_2;embedding_std_5;embedding_std_48;embedding_std_71,"Sobic.009G217900;Sobic.009G217900, Sobic.009G221266;Sobic.009G221000;Sobic.009G249100"
