"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotes"
"Nkuli Swaziland","10823","1",,
"No. 64 Netch Addesho Ethiopia","10824","1",,
"SOBERANO","10825","1",,
"SC 968","10826","1",,
"SC 1277","10827","1",,
"KA 21 Gajerar Kaura","10901","1",,
"Mashica","10902","1",,
"SAP-294","10903","1",,
"SAP-137","10904","1",,
"80M","10905","1",,
"Town","10906","1",,
"SC 170-6-17","10907","1",,
"96CD635","10908","1",,
"Check","10909","1",,
"Check","10910","1",,
"K.3 Perimanjial Irungu Cholam","10911","1",,
"MN 1592 (preconverted)","10912","1",,
"SAP-149","10913","1",,
"Lambas","10914","1",,
"SAP-312","10915","1",,
"BTx615","10916","1",,
"Check","10917","1",,
"RTx2910","10918","1",,
"Tuery 11","10919","1",,
"Barking 119","10920","1",,
"Chanan Singoo","10921","1",,
"Check","10922","1",,
"Check","10923","1",,
"BTx623_(XK: fromBIllRooney_TAMU_2024)","10924","1",,
"WILEY","10925","1",,
"SAP-50","10926","1",,
"SC 1484","10927","1",,
"Jonar Tamargundi","11001","1",,
"ICSV 745","11002","1",,
"F.C.I. 4201","11003","1",,
"Check","11004","1",,
"Check","11005","1",,
"DEER","11006","1",,
"SC 702","11007","1",,
"SC 1451","11008","1",,
"SC 25","11009","1",,
"Huria White 621","11010","1",,
"BA45 Faria Bonkum","11011","1",,
"BE 25","11012","1",,
"SAP-150","11013","1",,
"RTx437","11014","1",,
"Chari Uri","11015","1",,
"M35-1","11016","1",,
"Check","11017","1",,
"BTx623_(XK: fromBillRooney_TAMU_2024)","11018","1",,
"54.K.94(Witchweed res.)","11019","1",,
"KA 12 Janjari","11020","1",,
"RED AMBER","11021","1",,
"SAP-264","11022","1",,
"SAN CHI SAN","11023","1",,
"TEXAS BLACKHULL KAFIR","11024","1",,
"SC 695","11025","1",,
"Check","11026","1",,
"SC 610","11027","1",,
"SB-283","11101","1",,
"IS 12661","11102","1",,
"Check","11103","1",,
"Mashica","11104","1",,
"ICSV 400","11105","1",,
"SAP-131","11106","1",,
"MR732","11107","1",,
"SC 498","11108","1",,
"SC 1271","11109","1",,
"P 3742","11110","1",,
"Kokla","11111","1",,
"Maja Abiad Q2/2/68","11112","1",,
"SAP-151","11113","1",,
"SAP-139","11114","1",,
"EC 21361 G30","11115","1",,
"Check","11116","1",,
"N250B","11117","1",,
"Check","11118","1",,
"Budy","11119","1",,
"No. 59 Bekedjie, Kembolcha Ethiopia","11120","1",,
"No. 5 Gambela","11121","1",,
"SAP-336","11122","1",,
"Tx2741","11123","1",,
"MN 708 (preconverted)","11124","1",,
"Check","11125","1",,
"Check","11126","1",,
"SC 1494","11127","1",,
"WHITE KAFIR","11201","1",,
"Kodilib","11202","1",,
"Check","11203","1",,
"Segaolane","11204","1",,
"RIO","11205","1",,
"Check","11206","1",,
"SC 1074","11207","1",,
"Check","11208","1",,
"Check","11209","1",,
"255 Tirter","11210","1",,
"Sinidyil 177","11211","1",,
"Check","11212","1",,
"Marupantse","11213","1",,
"EC 21428 SB 63","11214","1",,
"SAP-323","11215","1",,
"SC 391","11216","1",,
"SC 373","11217","1",,
"SC 1465","11218","1",,
"Check","11219","1",,
"Framiola DL/59/1539","11220","1",,
"SAP-263","11221","1",,
"SAP-157","11222","1",,
"KS 115","11223","1",,
"Black Spanish","11224","1",,
"SC 59","11225","1",,
"TX 378 (REDLAN) B LINE","11226","1",,
"LianTang Ai","11227","1",,
"Check","11301","1",,
"J.A.T.S. #67","11302","1",,
"Bonkum","11303","1",,
"Check","11304","1",,
"SEPON82","11305","1",,
"SAP-166","11306","1",,
"SC 971","11307","1",,
"COMBINE KAFIR-60","11308","1",,
"Check","11309","1",,
"Nebraska 6350","11310","1",,
"No. 755 Muzeba","11311","1",,
"6428 Sian","11312","1",,
"SAP-168","11313","1",,
"Check","11314","1",,
"SAP-395","11315","1",,
"SC 301","11316","1",,
"Check","11317","1",,
"TX 399(DALHART RES WHTLND)B LN","11318","1",,
"PL 47","11319","1",,
"2033Z-3","11320","1",,
"EC 21360 G29","11321","1",,
"Check","11322","1",,
"SAP-286","11323","1",,
"SPUR FETERITA","11324","1",,
"Check","11325","1",,
"SAP-380","11326","1",,
"Check","11327","1",,
"BTx638","11401","1",,
"Check","11402","1",,
"SAP-404","11403","1",,
"RCV","11404","1",,
"Standard Blackhull Kafir","11405","1",,
"SAP-386","11406","1",,
"Marupantse","11407","1",,
"IS 8525(J)","11408","1",,
"Check","11409","1",,
"Culum Brick","11410","1",,
"Check","11411","1",,
"Mugbash 56/56","11412","1",,
"BTx2928","11413","1",,
"Check","11414","1",,
"SAP-170","11415","1",,
"REDBINE-60","11416","1",,
"STANDARD WHITE MILO","11417","1",,
"SC 1416","11418","1",,
"KA 15 Yazgar Giwa","11419","1",,
"Feterita Geshaish","11420","1",,
"M 1","11421","1",,
"WACONIA","11422","1",,
"SAP-158","11423","1",,
"TAM2566","11424","1",,
"Check","11425","1",,
"KAT83369","11426","1",,
"Tx2785","11427","1",,
"Check","11501","1",,
"DWARF YELLOW MILO","11502","1",,
"SURENO","11503","1",,
"ICSV 1089BF","11504","1",,
"ICSV 401","11505","1",,
"Check","11506","1",,
"COMBINE 7078","11507","1",,
"Check","11508","1",,
"P898012","11509","1",,
"IS 18684","11510","1",,
"R1,38","11511","1",,
"Klor","11512","1",,
"SAP-175","11513","1",,
"Kharuth Waragel","11514","1",,
"Akwu","11515","1",,
"60M","11516","1",,
"QL3-TEXAS","11517","1",,
"SC 1424","11518","1",,
"AS 4136 Masaka Luwemba","11519","1",,
"AS 5826 Holcus","11520","1",,
"Tambroro 7","11521","1",,
"F.R. Miller","11522","1",,
"SAP-173","11523","1",,
"SAP-135","11524","1",,
"IS 7151C","11525","1",,
"CAPROCK","11526","1",,
"SUGAR DRIP","11527","1",,
"MACIA","11601","1",,
"Butivori","11602","1",,
"RTx436","11603","1",,
"Check","11604","1",,
"Kuyuma","11605","1",,
"Check","11606","1",,
"Check","11607","1",,
"SC 1471","11608","1",,
"IS 5590C","11609","1",,
"P 3749 Q2/5/62","11610","1",,
"Zera Zera White","11611","1",,
"Check","11612","1",,
"SAP-197","11613","1",,
"A-106","11614","1",,
"No. 28 Lyle, Marawa Ethiopia","11615","1",,
"SC 1429","11616","1",,
"SC 1489","11617","1",,
"SC 1440","11618","1",,
"Check","11619","1",,
"Kabutuwa","11620","1",,
"Check","11621","1",,
"Check","11622","1",,
"Check","11623","1",,
"SAP-172","11624","1",,
