"Variety Name","Plot Number","Block","LeafPhotoA","LeafPhotoNotes"
"Brawley","20302","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20302_LeafPhotoA_2025-10-23%2011_54_46.885-05_00.jpg",
"T 28","20303","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20303_LeafPhotoA_2025-10-23%2011_55_43.315-05_00.jpg",
"RTx430_(XK: fromBillRooney_TAMU_2024)","20304","2",,"missing"
"Check","20305","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20305_LeafPhotoA_2025-10-23%2011_57_25.143-05_00.jpg",
"BOK11","20306","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20306_LeafPhotoA_2025-10-23%2011_59_21.124-05_00.jpg",
"Ajabsido","20307","2",,"secondary growth only"
"SC 326-6","20308","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20308_LeafPhotoA_2025-10-23%2012_03_13.991-05_00.jpg",
"Check","20309","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20309_LeafPhotoA_2025-10-23%2012_04_27.463-05_00.jpg",
"DWARF YELLOW MILO","20310","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20310_LeafPhotoA_2025-10-23%2012_05_33.810-05_00.jpg",
"WHITE KAFIR","20311","2",,"dead"
"Mashica","20312","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20312_LeafPhotoA_2025-10-23%2012_07_08.740-05_00.jpg",
"SAP-386","20313","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20313_LeafPhotoA_2025-10-23%2012_08_26.306-05_00.jpg",
"RCV","20314","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20314_LeafPhotoA_2025-10-23%2012_09_34.812-05_00.jpg",
"Town","20315","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20315_LeafPhotoA_2025-10-23%2012_10_30.658-05_00.jpg",
"96CD635","20316","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20316_LeafPhotoA_2025-10-23%2012_11_16.099-05_00.jpg",
"SC 498","20317","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20317_LeafPhotoA_2025-10-23%2012_12_11.948-05_00.jpg",
"COMBINE KAFIR-60","20318","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20318_LeafPhotoA_2025-10-23%2012_13_12.665-05_00.jpg",
"No. 755 Muzeba","20319","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20319_LeafPhotoA_2025-10-23%2012_14_05.178-05_00.jpg",
"Check","20320","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20320_LeafPhotoA_2025-10-23%2012_15_12.712-05_00.jpg",
"6428 Sian","20321","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20321_LeafPhotoA_2025-10-23%2012_16_29.758-05_00.jpg",
"Check","20322","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20322_LeafPhotoA_2025-10-23%2012_17_29.876-05_00.jpg",
"SAP-139","20323","2",,"missing"
"Chari Uri","20324","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20324_LeafPhotoA_2025-10-23%2012_18_58.136-05_00.jpg",
"REDBINE-60","20325","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20325_LeafPhotoA_2025-10-23%2012_19_37.960-05_00.jpg",
"60M","20326","2",,"dead"
"SC 1489","20327","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20327_LeafPhotoA_2025-10-23%2012_20_43.870-05_00.jpg",
"Deburr","20401","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20401_LeafPhotoA_2025-10-23%2013_57_22.979-05_00.jpg",
"Dobbs","20402","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20402_LeafPhotoA_2025-10-23%2013_58_28.141-05_00.jpg",
"No. 69 Mashela Tinguish, Warakul Ethiopi","20403","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20403_LeafPhotoA_2025-10-23%2013_59_16.115-05_00.jpg",
"Check","20404","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20404_LeafPhotoA_2025-10-23%2014_00_01.002-05_00.jpg",
"Check","20405","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20405_LeafPhotoA_2025-10-23%2014_00_44.013-05_00.jpg",
"Tx2917","20406","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20406_LeafPhotoA_2025-10-23%2014_01_33.544-05_00.jpg",
"QL3(India)","20407","2",," N/A"
"88V1080","20408","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20408_LeafPhotoA_2025-10-23%2014_02_30.870-05_00.jpg",
"RTAM428","20409","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20409_LeafPhotoA_2025-10-23%2014_03_11.764-05_00.jpg",
"Check","20410","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20410_LeafPhotoA_2025-10-23%2014_03_51.081-05_00.jpg",
"ICSV 745","20411","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20411_LeafPhotoA_2025-10-23%2014_04_47.795-05_00.jpg",
"Butivori","20412","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20412_LeafPhotoA_2025-10-23%2014_05_48.768-05_00.jpg",
"Check","20413","2",,"N/A"
"Check","20414","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20414_LeafPhotoA_2025-10-23%2014_07_07.903-05_00.jpg",
"ICSV 401","20415","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20415_LeafPhotoA_2025-10-23%2014_07_55.529-05_00.jpg",
"Check","20416","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20416_LeafPhotoA_2025-10-23%2014_09_08.082-05_00.jpg",
"Check","20417","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20417_LeafPhotoA_2025-10-23%2014_10_05.449-05_00.jpg",
"SC 170-6-17","20418","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20418_LeafPhotoA_2025-10-23%2014_10_51.206-05_00.jpg",
"R1,38","20419","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20419_LeafPhotoA_2025-10-23%2014_11_34.063-05_00.jpg",
"Check","20420","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20420_LeafPhotoA_2025-10-23%2014_17_45.307-05_00.jpg",
"Kokla","20421","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20421_LeafPhotoA_2025-10-23%2014_18_32.928-05_00.jpg",
"No. 28 Lyle, Marawa Ethiopia","20422","2",,"n/a"
"EC 21361 G30","20423","2",,"n/a"
"RTx437","20424","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20424_LeafPhotoA_2025-10-23%2014_22_32.037-05_00.jpg",
"STANDARD WHITE MILO","20425","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20425_LeafPhotoA_2025-10-23%2014_21_36.557-05_00.jpg",
"SC 1465","20426","2",,"n/a"
"N250B","20427","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20427_LeafPhotoA_2025-10-23%2014_23_37.122-05_00.jpg",
"Check","20501","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20501_LeafPhotoA_2025-10-23%2014_25_49.106-05_00.jpg",
"Orange No. l, Baijo","20502","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20502_LeafPhotoA_2025-10-23%2014_26_55.990-05_00.jpg",
"No. 35 Mab","20503","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20503_LeafPhotoA_2025-10-23%2014_27_40.048-05_00.jpg",
"Ex-Mubi","20504","2",,"n/a"
"No. 64 Netch Addesho Ethiopia","20505","2",,"n/a"
"Tx2891","20506","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20506_LeafPhotoA_2025-10-23%2014_28_44.049-05_00.jpg",
"Check","20507","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20507_LeafPhotoA_2025-10-23%2014_29_35.225-05_00.jpg",
"SOBERANO","20508","2",,"n/a"
"Tortillerio","20509","2",,"n/a"
"KA 21 Gajerar Kaura","20510","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20510_LeafPhotoA_2025-10-23%2014_30_46.379-05_00.jpg",
"Bonkum","20511","2",,"n/a"
"SB-283","20512","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20512_LeafPhotoA_2025-10-23%2014_31_54.620-05_00.jpg",
"Check","20513","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20513_LeafPhotoA_2025-10-23%2014_32_38.456-05_00.jpg",
"Check","20514","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20514_LeafPhotoA_2025-10-23%2014_33_33.580-05_00.jpg",
"Mashica","20515","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20515_LeafPhotoA_2025-10-23%2014_34_24.869-05_00.jpg",
"SC 1271","20516","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20516_LeafPhotoA_2025-10-23%2014_35_09.382-05_00.jpg",
"MR732","20517","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20517_LeafPhotoA_2025-10-23%2014_36_03.332-05_00.jpg",
"SC 1074","20518","2",,"n/a"
"Sinidyil 177","20519","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20519_LeafPhotoA_2025-10-23%2014_37_14.182-05_00.jpg",
"P 3742","20520","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20520_LeafPhotoA_2025-10-23%2014_37_57.609-05_00.jpg",
"Huria White 621","20521","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20521_LeafPhotoA_2025-10-23%2014_38_51.804-05_00.jpg",
"Lambas","20522","2",,"n/a"
"SAP-151","20523","2",,"n/a"
"SAP-149","20524","2",,"n/a"
"M35-1","20525","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20525_LeafPhotoA_2025-10-23%2014_40_24.518-05_00.jpg",
"SC 1424","20526","2",,"n/a"
"Check","20527","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20527_LeafPhotoA_2025-10-23%2014_41_58.939-05_00.jpg","limited population"
"Malwal Aweil","20601","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20601_LeafPhotoA_2025-10-23%2014_44_13.105-05_00.jpg",
"Check","20602","2",,"n/a"
"AS 2613 NT","20603","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20603_LeafPhotoA_2025-10-23%2014_45_32.888-05_00.jpg",
"Nkuli Swaziland","20604","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20604_LeafPhotoA_2025-10-23%2014_46_20.013-05_00.jpg",
"Check","20605","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20605_LeafPhotoA_2025-10-23%2014_47_07.217-05_00.jpg",
"SAP-128","20606","2",,
"Check","20607","2",,"n/a"
"JOCORO","20608","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20608_LeafPhotoA_2025-10-23%2014_49_17.238-05_00.jpg",
"N290B","20609","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20609_LeafPhotoA_2025-10-23%2014_49_59.360-05_00.jpg",
"Check","20610","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20610_LeafPhotoA_2025-10-23%2014_50_49.550-05_00.jpg",
"RTx436","20611","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20611_LeafPhotoA_2025-10-23%2014_51_52.714-05_00.jpg",
"F.C.I. 4201","20612","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20612_LeafPhotoA_2025-10-23%2014_52_42.804-05_00.jpg",
"RIO","20613","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20613_LeafPhotoA_2025-10-23%2014_53_54.172-05_00.jpg",
"ICSV 400","20614","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20614_LeafPhotoA_2025-10-23%2014_55_05.919-05_00.jpg",
"Segaolane","20615","2",,"n/a"
"SC 702","20616","2",,"n/a"
"Check","20617","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20617_LeafPhotoA_2025-10-23%2014_57_55.591-05_00.jpg",
"IS 5590C","20618","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20618_LeafPhotoA_2025-10-23%2014_58_45.785-05_00.jpg",
"Culum Brick","20619","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20619_LeafPhotoA_2025-10-23%2015_00_13.429-05_00.jpg",
"K.3 Perimanjial Irungu Cholam","20620","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20620_LeafPhotoA_2025-10-23%2015_01_03.363-05_00.jpg",
"MN 1592 (preconverted)","20621","2",,"n/a"
"SAP-170","20622","2",,"n/a"
"SAP-168","20623","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20623_LeafPhotoA_2025-10-23%2015_02_36.137-05_00.jpg",
"Check","20624","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20624_LeafPhotoA_2025-10-23%2015_03_17.313-05_00.jpg",
"RTx2910","20625","2",,"n/a"
"SC 1416","20626","2",,"n/a"
"SC 391","20627","2",,"n/a"
"SV 34","20701","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20701_LeafPhotoA_2025-10-23%2015_58_16.117-05_00.jpg",
"Check","20702","2",,
"SAP-148","20703","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20703_LeafPhotoA_2025-10-23%2016_00_17.221-05_00.jpg",
"SAP-133","20704","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20704_LeafPhotoA_2025-10-23%2016_01_44.960-05_00.jpg",
"SAP-154","20705","2",,
"SAP-340","20706","2",,
"SC 968","20707","2",,
"Dorado","20708","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20708_LeafPhotoA_2025-10-23%2016_03_34.559-05_00.jpg",
"Check","20709","2",,
"Check","20710","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20710_LeafPhotoA_2025-10-23%2016_05_10.791-05_00.jpg",
"Check","20711","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20711_LeafPhotoA_2025-10-23%2016_06_12.460-05_00.jpg",
"SAP-404","20712","2",,
"Standard Blackhull Kafir","20713","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20713_LeafPhotoA_2025-10-23%2016_07_18.014-05_00.jpg",
"Check","20714","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20714_LeafPhotoA_2025-10-23%2016_08_50.958-05_00.jpg",
"DEER","20715","2",,
"SC 1471","20716","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20716_LeafPhotoA_2025-10-23%2016_10_09.369-05_00.jpg",
"Marupantse","20717","2",,
"SC 971","20718","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20718_LeafPhotoA_2025-10-23%2016_11_54.351-05_00.jpg",
"Nebraska 6350","20719","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20719_LeafPhotoA_2025-10-23%2016_13_04.459-05_00.jpg",
"Zera Zera White","20720","2",,
"P 3749 Q2/5/62","20721","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20721_LeafPhotoA_2025-10-23%2016_14_15.521-05_00.jpg",
"Marupantse","20722","2",,
"Kharuth Waragel","20723","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20723_LeafPhotoA_2025-10-23%2016_15_22.951-05_00.jpg",
"EC 21428 SB 63","20724","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20724_LeafPhotoA_2025-10-23%2016_16_36.055-05_00.jpg",
"SC 1440","20725","2",,
"SC 373","20726","2",,
"SC 1429","20727","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20727_LeafPhotoA_2025-10-23%2016_18_00.896-05_00.jpg",
"IS 18696","20801","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20801_LeafPhotoA_2025-10-24%2009_50_53.446-05_00.jpg",
"Accho Karuho","20802","2",,
"740 Oua Berr","20803","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20803_LeafPhotoA_2025-10-24%2009_52_13.045-05_00.jpg",
"SAP-341","20804","2",,
"Mashica","20805","2",,
"Check","20806","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20806_LeafPhotoA_2025-10-24%2009_53_46.837-05_00.jpg",
"SUMAC","20807","2",,
"SC 172","20808","2","content://com.android.externalstorage.documents/tree/primary%3AField%20Book/document/primary%3AField%20Book%2Fplot_data%2F2025%20Sorghum_Update_073125-XK_Index%2FLeafPhotoA%2F20808_LeafPhotoA_2025-10-24%2009_55_16.425-05_00.jpg",
