image_name,strip_id,mean_height_px,median_height_px,min_height_px,max_height_px,height_range_px,area_px,box_coords,sam_score
1403_LeafPhotoA_2025-09-08 09_22_57.928-05_00,0,569.2369281045752,571.0,489.0,627.0,138.0,1740269,"[0, 2415, 3060, 3082]",0.987839
1403_LeafPhotoA_2025-09-08 09_22_57.928-05_00,1,630.1866013071896,631.0,578.0,691.0,113.0,1924389,"[0, 1663, 3060, 2392]",0.989813
