image_path,ExG_P20_disease_pct
10205_LeafPhotoA_2025-10-21 16_11_45.527-05_00_leaf.png,48.42
10205_LeafPhotoA_2025-10-21 16_12_20.123-05_00_leaf.png,8.92
10206_LeafPhotoA_2025-10-21 16_13_29.186-05_00_leaf.png,9.38
10206_LeafPhotoA_2025-10-21 16_13_45.262-05_00_leaf.png,12.79
10206_LeafPhotoA_2025-10-21 16_14_00.223-05_00_leaf.png,9.61
10207_LeafPhotoA_2025-10-21 16_14_43.035-05_00_leaf.png,50.58
10207_LeafPhotoA_2025-10-21 16_14_59.673-05_00_leaf.png,97.45
10207_LeafPhotoA_2025-10-21 16_15_23.481-05_00_leaf.png,83.21
10208_LeafPhotoA_2025-10-21 16_16_24.756-05_00_leaf.png,16.22
10208_LeafPhotoA_2025-10-21 16_16_41.101-05_00_leaf.png,20.78
10208_LeafPhotoA_2025-10-21 16_16_54.447-05_00_leaf.png,8.99
10209_LeafPhotoA_2025-10-21 16_17_14.171-05_00_leaf.png,34.92
10209_LeafPhotoA_2025-10-21 16_17_29.809-05_00_leaf.png,19.24
10209_LeafPhotoA_2025-10-21 16_17_44.566-05_00_leaf.png,8.1
10210_LeafPhotoA_2025-10-21 16_18_23.457-05_00_leaf.png,28.64
10210_LeafPhotoA_2025-10-21 16_18_44.067-05_00_leaf.png,13.42
10210_LeafPhotoA_2025-10-21 16_18_55.913-05_00_leaf.png,32.16
10211_LeafPhotoA_2025-10-21 16_19_36.527-05_00_leaf.png,11.55
10211_LeafPhotoA_2025-10-21 16_19_56.936-05_00_leaf.png,17.35
10211_LeafPhotoA_2025-10-21 16_20_11.562-05_00_leaf.png,2.86
10212_LeafPhotoA_2025-10-21 16_20_33.375-05_00_leaf.png,8.17
10212_LeafPhotoA_2025-10-21 16_20_47.210-05_00_leaf.png,10.16
10212_LeafPhotoA_2025-10-21 16_21_02.162-05_00_leaf.png,23.05
10213_LeafPhotoA_2025-10-21 16_21_51.100-05_00_leaf.png,56.4
10213_LeafPhotoA_2025-10-21 16_22_15.036-05_00_leaf.png,0.71
10213_LeafPhotoA_2025-10-21 16_22_31.934-05_00_leaf.png,49.53
10214_LeafPhotoA_2025-10-21 16_23_00.437-05_00_leaf.png,10.45
10214_LeafPhotoA_2025-10-21 16_23_11.599-05_00_leaf.png,25.74
10214_LeafPhotoA_2025-10-21 16_23_24.093-05_00_leaf.png,0.78
10215_LeafPhotoA_2025-10-21 16_24_00.345-05_00_leaf.png,8.96
10215_LeafPhotoA_2025-10-21 16_24_17.931-05_00_leaf.png,32.5
10215_LeafPhotoA_2025-10-21 16_24_32.490-05_00_leaf.png,0.16
10216_LeafPhotoA_2025-10-21 16_25_06.061-05_00_leaf.png,23.69
10216_LeafPhotoA_2025-10-21 16_25_18.593-05_00_leaf.png,12.48
10216_LeafPhotoA_2025-10-21 16_25_30.452-05_00_leaf.png,31.75
10217_LeafPhotoA_2025-10-21 16_27_06.490-05_00_leaf.png,0
10217_LeafPhotoA_2025-10-21 16_27_19.780-05_00_leaf.png,0
10217_LeafPhotoA_2025-10-21 16_27_33.187-05_00_leaf.png,0.05
10218_LeafPhotoA_2025-10-21 16_28_06.931-05_00_leaf.png,14.79
10218_LeafPhotoA_2025-10-21 16_28_23.991-05_00_leaf.png,38
10218_LeafPhotoA_2025-10-21 16_28_35.785-05_00_leaf.png,1.71
10219_LeafPhotoA_2025-10-21 16_29_03.246-05_00_leaf.png,8.79
10219_LeafPhotoA_2025-10-21 16_29_17.375-05_00_leaf.png,5.86
10219_LeafPhotoA_2025-10-21 16_29_28.049-05_00_leaf.png,19.55
10220_LeafPhotoA_2025-10-21 16_29_54.183-05_00_leaf.png,21.93
10220_LeafPhotoA_2025-10-21 16_30_04.939-05_00_leaf.png,21.16
10220_LeafPhotoA_2025-10-21 16_30_15.029-05_00_leaf.png,28.16
10221_LeafPhotoA_2025-10-21 16_31_04.553-05_00_leaf.png,21.13
10221_LeafPhotoA_2025-10-21 16_31_17.489-05_00_leaf.png,20.56
10221_LeafPhotoA_2025-10-21 16_31_53.189-05_00_leaf.png,14.03
10222_LeafPhotoA_2025-10-21 16_32_14.693-05_00_leaf.png,0.93
10222_LeafPhotoA_2025-10-21 16_32_32.660-05_00_leaf.png,8.25
10222_LeafPhotoA_2025-10-21 16_33_05.685-05_00_leaf.png,1.26
10223_LeafPhotoA_2025-10-21 16_33_30.249-05_00_leaf.png,0.01
10223_LeafPhotoA_2025-10-21 16_33_47.805-05_00_leaf.png,0.45
10223_LeafPhotoA_2025-10-21 16_34_01.169-05_00_leaf.png,0
10224_LeafPhotoA_2025-10-21 16_34_28.713-05_00_leaf.png,52.91
10224_LeafPhotoA_2025-10-21 16_34_45.184-05_00_leaf.png,11.08
10224_LeafPhotoA_2025-10-21 16_35_00.194-05_00_leaf.png,0.02
10225_LeafPhotoA_2025-10-21 16_40_00.073-05_00_leaf.png,0.27
10225_LeafPhotoA_2025-10-21 16_40_11.931-05_00_leaf.png,0.09
10225_LeafPhotoA_2025-10-21 16_40_26.242-05_00_leaf.png,0.03
10226_LeafPhotoA_2025-10-21 16_41_07.869-05_00_leaf.png,28.68
10226_LeafPhotoA_2025-10-21 16_41_20.940-05_00_leaf.png,9.36
10226_LeafPhotoA_2025-10-21 16_41_35.577-05_00_leaf.png,0.61
10227_LeafPhotoA_2025-10-21 16_37_57.270-05_00_leaf.png,7.93
10227_LeafPhotoA_2025-10-21 16_38_10.841-05_00_leaf.png,5.62
10227_LeafPhotoA_2025-10-21 16_38_24.729-05_00_leaf.png,2.86
10304_LeafPhotoA_2025-10-23 09_54_55.728-05_00_leaf.png,42.17
10304_LeafPhotoA_2025-10-23 09_55_18.087-05_00_leaf.png,10.94
