image_path,segmentation_method
data/fvsu2025/bap2/250559_LeafPhotoA_2025-10-03 10_10_41.882-05_00.jpg,CV2
data/fvsu2025/bap2/250993_LeafPhotoA_2025-10-08 10_01_57.931-05_00.jpg,CV2
data/fvsu2025/bap2/250401_LeafPhotoA_2025-10-02 10_19_17.551-05_00.jpg,CV2
data/fvsu2025/bap2/251321_LeafPhotoA_2025-10-10 14_00_28.783-05_00.jpg,CV2
data/fvsu2025/bap2/250587_LeafPhotoA_2025-10-03 10_24_41.291-05_00.jpg,CV2
data/fvsu2025/bap2/250248_LeafPhotoA_2025-10-01 10_36_13.294-05_00.jpg,CV2
data/fvsu2025/bap2/250080_LeafPhotoA_2025-10-01 08_53_18.127-05_00.jpg,CV2
data/fvsu2025/bap2/250425_LeafPhotoA_2025-10-02 13_44_59.680-05_00.jpg,CV2
data/fvsu2025/bap2/250519_LeafPhotoA_2025-10-03 08_57_09.215-05_00.jpg,CV2
data/fvsu2025/bap2/250069_LeafPhotoA_2025-10-01 09_15_13.603-05_00.jpg,CV2
data/fvsu2025/bap2/250303_LeafPhotoA_2025-10-01 14_14_29.184-05_00.jpg,CV2
data/fvsu2025/bap2/250956_LeafPhotoA_2025-10-08 09_11_05.919-05_00.jpg,CV2
data/fvsu2025/bap2/251312_LeafPhotoA_2025-10-10 14_07_32.666-05_00.jpg,CV2
data/fvsu2025/bap2/250953_LeafPhotoA_2025-10-08 09_16_45.788-05_00.jpg,CV2
data/fvsu2025/bap2/251036_LeafPhotoA_2025-10-08 10_36_54.137-05_00.jpg,CV2
data/fvsu2025/bap2/250504_LeafPhotoA_2025-10-03 08_48_09.426-05_00.jpg,CV2
data/fvsu2025/bap2/250572_LeafPhotoA_2025-10-03 10_40_57.553-05_00.jpg,CV2
data/fvsu2025/bap2/250764_LeafPhotoA_2025-10-07 14_31_41.208-05_00.jpg,CV2
data/fvsu2025/bap2/251067_LeafPhotoA_2025-10-08 14_05_28.095-05_00.jpg,CV2
data/fvsu2025/bap2/251371_LeafPhotoA_2025-10-10 14_19_40.877-05_00.jpg,CV2
data/fvsu2025/bap2/250584_LeafPhotoA_2025-10-03 10_26_27.728-05_00.jpg,CV2
data/fvsu2025/bap2/250561_LeafPhotoA_2025-10-03 10_12_12.176-05_00.jpg,CV2
data/fvsu2025/bap2/250560_LeafPhotoA_2025-10-03 10_11_30.026-05_00.jpg,CV2
data/fvsu2025/bap2/250718_LeafPhotoA_2025-10-07 13_49_14.954-05_00.jpg,CV2
data/fvsu2025/bap2/251310_LeafPhotoA_2025-10-10 13_54_56.875-05_00.jpg,CV2
data/fvsu2025/bap2/250004_LeafPhotoA_2025-10-01 08_19_15.486-05_00.jpg,CV2
data/fvsu2025/bap2/250487_LeafPhotoA_2025-10-02 14_33_03.401-05_00.jpg,CV2
data/fvsu2025/bap2/250992_LeafPhotoA_2025-10-08 10_03_13.868-05_00.jpg,CV2
data/fvsu2025/bap2/250230_LeafPhotoA_2025-10-01 09_43_11.048-05_00.jpg,CV2
data/fvsu2025/bap2/250280_LeafPhotoA_2025-10-01 13_34_06.719-05_00.jpg,CV2
data/fvsu2025/bap2/250767_LeafPhotoA_2025-10-07 14_34_03.393-05_00.jpg,CV2
data/fvsu2025/bap2/250313_LeafPhotoA_2025-10-01 14_24_35.098-05_00.jpg,CV2
data/fvsu2025/bap2/251351_LeafPhotoA_2025-10-10 10_55_55.089-05_00.jpg,CV2
data/fvsu2025/bap2/251317_LeafPhotoA_2025-10-10 14_04_01.984-05_00.jpg,CV2
data/fvsu2025/bap2/250009_LeafPhotoA_2025-10-01 08_39_47.871-05_00.jpg,CV2
data/fvsu2025/bap2/250981_LeafPhotoA_2025-10-08 09_44_49.644-05_00.jpg,CV2
data/fvsu2025/bap2/250066_LeafPhotoA_2025-10-01 09_19_30.859-05_00.jpg,CV2
data/fvsu2025/bap2/250246_LeafPhotoA_2025-10-01 10_34_28.443-05_00.jpg,CV2
data/fvsu2025/bap2/250290_LeafPhotoA_2025-10-01 13_57_48.006-05_00.jpg,CV2
data/fvsu2025/bap2/250714_LeafPhotoA_2025-10-07 13_44_32.091-05_00.jpg,CV2
data/fvsu2025/bap2/250437_LeafPhotoA_2025-10-02 13_58_09.899-05_00.jpg,CV2
data/fvsu2025/bap2/250406_LeafPhotoA_2025-10-02 10_27_17.304-05_00.jpg,CV2
data/fvsu2025/bap2/250298_LeafPhotoA_2025-10-01 14_07_26.522-05_00.jpg,CV2
data/fvsu2025/bap2/250569_LeafPhotoA_2025-10-03 10_20_48.396-05_00.jpg,CV2
data/fvsu2025/bap2/250508_LeafPhotoA_2025-10-03 09_10_09.190-05_00.jpg,CV2
data/fvsu2025/bap2/250515_LeafPhotoA_2025-10-03 09_01_35.837-05_00.jpg,CV2
data/fvsu2025/bap2/250416_LeafPhotoA_2025-10-02 13_33_36.704-05_00.jpg,CV2
data/fvsu2025/bap2/250565_LeafPhotoA_2025-10-03 10_17_02.299-05_00.jpg,CV2
data/fvsu2025/bap2/251340_LeafPhotoA_2025-10-10 10_42_30.199-05_00.jpg,CV2
data/fvsu2025/bap2/250511_LeafPhotoA_2025-10-03 09_06_41.043-05_00.jpg,CV2
data/fvsu2025/bap2/251302_LeafPhotoA_2025-10-10 13_47_41.049-05_00.jpg,CV2
data/fvsu2025/bap2/250547_LeafPhotoA_2025-10-03 09_38_35.347-05_00.jpg,CV2
data/fvsu2025/bap2/251358_LeafPhotoA_2025-10-10 10_48_24.852-05_00.jpg,CV2
data/fvsu2025/bap2/250282_LeafPhotoA_2025-10-01 13_36_26.554-05_00.jpg,CV2
data/fvsu2025/bap2/251368_LeafPhotoA_2025-10-10 14_17_10.880-05_00.jpg,CV2
