image_name,pctd,image_id
1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00_0.png,0,1201_LeafPhotoA_2025-09-08 10_44_12.793
1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00_1.png,0,1201_LeafPhotoA_2025-09-08 10_44_12.793
1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00_2.png,0.00591624673307253,1201_LeafPhotoA_2025-09-08 10_44_12.793
1201_LeafPhotoA_2025-09-08 10_44_12.793-05_00_3.png,0.00587804771397706,1201_LeafPhotoA_2025-09-08 10_44_12.793
1201_LeafPhotoA_2025-09-08 10_44_32.680-05_00_0.png,0,1201_LeafPhotoA_2025-09-08 10_44_32.680
1201_LeafPhotoA_2025-09-08 10_44_32.680-05_00_1.png,0,1201_LeafPhotoA_2025-09-08 10_44_32.680
1201_LeafPhotoA_2025-09-08 10_44_32.680-05_00_2.png,0,1201_LeafPhotoA_2025-09-08 10_44_32.680
1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00_0.png,0.08682428840260296,1201_LeafPhotoA_2025-09-08 10_45_01.777
1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00_1.png,0.04867698685099682,1201_LeafPhotoA_2025-09-08 10_45_01.777
1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00_2.png,0.04129434325296671,1201_LeafPhotoA_2025-09-08 10_45_01.777
1201_LeafPhotoA_2025-09-08 10_45_01.777-05_00_3.png,0.01224761530719277,1201_LeafPhotoA_2025-09-08 10_45_01.777
1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00_0.png,2.0393651864047e-4,1202_LeafPhotoA_2025-09-08 10_45_39.926
1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00_1.png,0.00124925119288616,1202_LeafPhotoA_2025-09-08 10_45_39.926
1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00_2.png,0.01890995524253627,1202_LeafPhotoA_2025-09-08 10_45_39.926
1202_LeafPhotoA_2025-09-08 10_45_39.926-05_00_3.png,0.01775414823274249,1202_LeafPhotoA_2025-09-08 10_45_39.926
