"","device","image_name","leaf_pixels","ExG_P20_disease_pct"
"51","device3","1704_LeafPhotoA_2025-09-09 08_56_01.667-05_00_leaf.png",4278488,1.07432812713276
"52","device3","1707_LeafPhotoA_2025-09-09 09_00_57.756-05_00_leaf.png",3288993,17.7579581349063
"53","device3","1707_LeafPhotoA_2025-09-09 09_01_32.749-05_00_leaf.png",3704621,2.50479063850256
"54","device3","1711_LeafPhotoA_2025-09-09 09_06_57.472-05_00_leaf.png",2776086,23.5311153905174
"55","device3","1713_LeafPhotoA_2025-09-09 09_08_44.736-05_00_leaf.png",1918793,0.737546989174966
"56","device3","1714_LeafPhotoA_2025-09-09 09_10_15.671-05_00_leaf.png",3100260,2.2122660680072
"57","device3","1717_LeafPhotoA_2025-09-09 09_14_13.919-05_00_leaf.png",2871055,10.0091778109441
"58","device3","1718_LeafPhotoA_2025-09-09 09_15_04.331-05_00_leaf.png",3255978,4.94404446221688
"59","device3","1718_LeafPhotoA_2025-09-09 09_15_39.984-05_00_leaf.png",5264525,3.65541050712077
"60","device3","1725_LeafPhotoA_2025-09-09 09_26_33.121-05_00_leaf.png",3672185,1.01568956901681
"61","device3","1728_LeafPhotoA_2025-09-09 09_31_07.362-05_00_leaf.png",2534714,7.7601259944909
"62","device3","1729_LeafPhotoA_2025-09-09 09_34_46.373-05_00_leaf.png",4416102,8.92037819778619
"63","device3","1731_LeafPhotoA_2025-09-09 09_38_51.235-05_00_leaf.png",5252764,0.0777114677149021
"64","device3","1737_LeafPhotoA_2025-09-09 09_49_50.732-05_00_leaf.png",3386944,2.20145358175394
"65","device3","1741_LeafPhotoA_2025-09-09 09_56_46.070-05_00_leaf.png",4288109,7.44482008269846
"66","device2","1828_LeafPhotoA_2025-09-09 09_30_57.848-05_00_leaf.png",5326470,1.64033590727067
"67","device1","1918_LeafPhotoA_2025-09-09 15_02_50.307-05_00_leaf.png",3620315,13.0850492291417
"68","device1","1918_LeafPhotoA_2025-09-09 15_03_06.740-05_00_leaf.png",3767580,3.09355076733606
"69","device1","1942_LeafPhotoA_2025-09-09 15_58_03.414-05_00_leaf.png",4355366,2.31785342494752
"70","device1","1942_LeafPhotoA_2025-09-09 15_58_35.948-05_00_leaf.png",4229349,0.637994168842533
"71","device1","1945_LeafPhotoA_2025-09-09 16_03_42.302-05_00_leaf.png",3405619,0.412024950530285
"72","device1","1962_LeafPhotoA_2025-09-09 17_18_15.383-05_00_leaf.png",3340457,0.0540644588450023
"73","device5","2070_LeafPhotoA_2025-09-08 12_04_38.455-05_00_leaf.png",5446005,0.227414407441785
"74","device3","2168_LeafPhotoA_2025-09-09 12_03_43.292-05_00_leaf.png",2048307,3.95585232096556
"75","device3","2173_LeafPhotoA_2025-09-09 12_13_18.928-05_00_leaf.png",2458719,0.870859988473673
"76","device3","2173_LeafPhotoA_2025-09-09 12_14_11.365-05_00_leaf.png",2876217,1.65933237999775
"77","device3","2173_LeafPhotoA_2025-09-09 12_14_23.103-05_00_leaf.png",2546222,0.612122587896892
"78","device3","2174_LeafPhotoA_2025-09-09 12_15_03.048-05_00_leaf.png",3570141,0.925145533467726
"79","device3","2174_LeafPhotoA_2025-09-09 12_15_14.269-05_00_leaf.png",3406520,2.97793642779141
"80","device3","2174_LeafPhotoA_2025-09-09 12_15_26.621-05_00_leaf.png",3794828,1.95426512084342
"81","device3","2175_LeafPhotoA_2025-09-09 12_16_04.953-05_00_leaf.png",1666205,1.13827530225873
"82","device3","2175_LeafPhotoA_2025-09-09 12_16_18.005-05_00_leaf.png",2592202,8.33831622689898
"83","device3","2176_LeafPhotoA_2025-09-09 12_19_48.658-05_00_leaf.png",3191182,0.897347753904353
"84","device3","2176_LeafPhotoA_2025-09-09 12_20_00.501-05_00_leaf.png",3005567,0.339137340807907
"85","device3","2176_LeafPhotoA_2025-09-09 12_20_11.972-05_00_leaf.png",1761764,2.20211106595435
"86","device3","2178_LeafPhotoA_2025-09-09 12_23_02.870-05_00_leaf.png",2173551,0.949092061791971
"87","device3","2179_LeafPhotoA_2025-09-09 12_23_30.000-05_00_leaf.png",2792587,8.1115825576786
"88","device3","2179_LeafPhotoA_2025-09-09 12_23_39.813-05_00_leaf.png",3671466,12.0941879892119
"89","device3","2180_LeafPhotoA_2025-09-09 12_24_28.651-05_00_leaf.png",1893728,3.96091730174555
"90","device3","2180_LeafPhotoA_2025-09-09 12_24_37.417-05_00_leaf.png",2395349,4.38842106098109
"91","device3","2180_LeafPhotoA_2025-09-09 12_24_48.677-05_00_leaf.png",3244066,0.501746881845191
"92","device3","2181_LeafPhotoA_2025-09-09 12_25_24.274-05_00_leaf.png",1800461,1.01124100994134
