plot,accession,flagleaflength,flagleafwidth,leaf.number,plant.height
5157,PI 533799,33.4,6.1,12,79
5158,PI 597958,34,5.5,10,85
5159,PI 533877,46.5,6,11,88
5160,PI 533954,41,5,10,91
5161,PI 656116,46.5,3.5,7,73
5162,BTx623,30.1,5,11,102
5163,BTx623,32.4,3.2,14,100
5164,,35.3,5.1,14,152
5165,,57.5,7.1,9,67
5166,,43.8,7.9,9,103
5167,,32,6.6,11,78
5168,TX430,26.2,4.2,12,90
5169,PI 595740,30.5,5.6,16,142
5170,PI 656106,50.7,8.5,11,108
5171,PI 574455,49.5,7,11,69
5172,TX430,29.8,4.7,11,90
5173,PI 641874,38.2,4,9,68
5174,PI 656097,NA,NA,13,130
5175,BTx623,37.4,5.5,10,118
5176,PI 656013,x,NA,NA,NA
5177,PI 656035,38,5.3,14,79
5178,PI 655997,38.4,4.5,8,228
5179,PI 576428,42,5.4,10,81
5180,PI 576381,59.5,5.6,11,75
5181,PI 597967,45,5.7,11,90
5182,PI 533989,38.3,5.6,12,97
5183,PI 656053,40.8,4.2,11,80
5184,PI 597971,36.6,6.2,9,98
5185,PI 576399,27.1,3.5,10,153
5186,BTx623,24.5,4.1,13,120
5187,PI 533839,41,3.6,8,130
5188,PI 659691,73.2,7.3,16,118
5189,BTx623,37,5.4,13,108
5190,BTx623,42,5.8,9,77
5191,PI 656074,x,NA,NA,NA
5192,PI 597966,x,NA,NA,NA
5193,PI 656042,x,NA,NA,NA
5194,PI 656001,36.5,5.6,13,95
5195,PI 659696,31.5,5.7,12,128
5196,BTx623,40.5,5.4,9,106
5197,PI 533869,x,NA,NA,NA
5198,PI 533754,36.8,3.3,10,100
5199,PI 656094,57,5.3,10,122
5200,PI 533967,34,5.5,11,85
5201,PI 534037,45,4.1,8,122
5202,PI 533964,29.4,3.8,14,80
5203,PI 655992,45.1,4.6,13,123
5204,BTx623,43.8,5,12,97
5205,PI 656062,61.6,7,11,107
5206,PI 656002,47.3,4.6,12,81
5207,PI 533949,38.7,3.7,9,91
5208,PI 533758,40.5,6.5,10,100
5209,PI 576364,20.5,3.4,10,83
5210,BTx623,37.5,3.9,10,90
5211,BTx623,26.3,3.8,10,90
5212,PI 533939,36.9,5.4,10,140
5213,BTx623,38,5,12,113
5214,PI 656109,23,4.4,8,62
5215,PI 576333,?,NA,12,90
5216,PI 152651,43,4.6,7,118
5217,PI 533985,38.8,5.9,12,91
5218,PI 656091,52,6.3,16,80
5219,PI 533996,31.5,6.3,9,82
5220,PI 534148,38.8,4.4,14,110
5221,BTx623,30.2,4.5,11,110
5222,PI 656049,40,6,15,155
5223,PI 533855,43.6,4.8,12,80
5224,BTx623,31.3,2.4,8,118
5225,PI 656119,44.5,4.6,10,110
5226,PI 17548,35,4.3,11,232
5227,PI 655977,25.5,4.9,9,66
5228,PI 534123,48,3.9,10,110
5229,PI 576435,47,6.6,11,102
5230,PI 595702,37.5,4.5,10,117
5231,PI 597960,22.5,4.3,12,191
5232,PI 533991,38,6.2,12,100
5233,PI 576345,35,5.1,15,120
5234,PI 564165,36.8,6,14,97
5235,PI 656059,44.6,6.4,11,78
5236,PI 533948,36.2,5.5,13,110
5237,PI 656052,21.6,4.4,13,78
5238,PI 533911,31.7,5.7,9,62
5239,PI 533913,35.5,5.3,11,72
5240,PI 655972,45,6.8,11,85
5241,PI 597957,36.5,5.2,14,175
5242,PI 564163,46.8,6.4,15,92
5243,PI 533878,29,3,13,80
5244,BTx623,44.1,4.8,11,82
5245,PI 655978,59.2,5.3,12,88
5246,PI 534108,35.6,5.1,13,99
5247,PI 656070,34,5.4,15,81
5248,PI 534097,33,3.2,12,75
5249,PI 533976,33,4.2,11,80
5250,PI 576366,49.5,5,13,69
5251,PI 655993,51.4,6.7,12,80
5252,PI 656017,24.3,5.2,19,150
5253,PI 533986,56.1,5.5,11,98
5254,PI 656034,x,NA,NA,NA
5255,PI 576393,46.5,3.7,5,53
5256,PI 561072,44.5,7.1,13,103
5257,PI 534127,37.6,3.8,11,112
5258,PI 641849,44.5,3.6,8,190
5259,PI 656069,34.4,6.4,14,70
5260,PI 533943,31,3.6,15,92
5261,PI 534155,43,7,13,92
5262,PI 533841,38.4,5.2,10,157
5263,PI 576337,34,5,12,103
5264,PI 576380,34.3,5.9,16,123
5265,PI 656024,42.3,5.8,13,157
5266,PI 656058,33.2,5,12,91
5267,PI 533760,x,NA,NA,NA
5268,PI 613536,x,NA,NA,NA
5269,PI 597973,50,5.9,14,110
5270,PI 656039,39.7,7.8,14,120
5271,PI 534133,42.7,4.7,12,91
5272,PI 595714,37.2,4.1,8,70
5273,PI 642793,38.8,6.9,13,85
5274,PI 656019,56.4,6.4,10,80
5275,PI 656021,30.5,4.8,11,82
5276,PI 656083,x,NA,NA,NA
5277,PI 533955,37.1,5,11,85
5278,PI 533921,26,4.2,14,130
5279,BTx623,30.5,4,11,109
5280,PI 576425,39.6,4.3,10,60
5281,PI 597949,32.1,4.3,14,93
5282,PI 533856,61.5,6.4,14,82
5283,PI 533752,42.5,5.5,14,88
5284,PI 656120,34.2,6,12,80
5285,PI 576390,x,NA,NA,NA
