Unique_ID,Range,Row,Plot ID,Genotype,Flowering,Stand Count,Notes
25_2447,10,101,2447,PI 576401,8/18/2025,,dirs
25_2448,10,102,2448,PI 656041,8/18/2025,,
25_2449,10,103,2449,SC1021,8/11/2025,,
25_2450,10,104,2450,PI 533957,8/4/2025,,
25_9284,10,105,9284,Border,8/6/2025,,
25_9283,10,106,9283,Border,8/6/2025,,
25_9294,11,106,9294,Border,8/7/2025,,
25_9293,11,105,9293,Border,8/7/2025,,
25_2451,11,104,2451,PI 576351,7/29/2025,,
25_2452,11,103,2452,PI 534089,8/12/2025,,
25_2453,11,102,2453,PI 607931,8/13/2025,,
25_2454,11,101,2454,PI 656105,8/5/2025,,
25_2455,11,100,2455,PI 534142,8/4/2025,,
25_2456,11,99,2456,PI 656019,8/2/2025,,
25_2457,11,98,2457,PI 597946,8/4/2025,,
25_2458,11,97,2458,SC0542,8/11/2025,,
25_2459,11,96,2459,PI 533870,7/29/2025,,
25_2460,11,95,2460,PI 659753,8/15/2025,,
25_2461,11,94,2461,PI 533933,8/16/2025,,
25_2462,11,93,2462,PI 656071,8/16/2025,,
25_2463,11,92,2463,PI 534156,8/15/2025,2,
25_2464,11,91,2464,PI 576343,8/4/2025,,
25_2465,11,90,2465,PI 656021,7/21/2025,,root lodging; 90%
25_2466,11,89,2466,PI 656076,8/18/2025,,
25_2467,11,88,2467,PI 533839,8/10/2025,,
25_2468,11,87,2468,PI 533844,8/18/2025,,
25_2469,11,86,2469,PI 576425,8/13/2025,,
25_2470,11,85,2470,SC1024,8/16/2025,,dirs
25_2471,11,84,2471,PI 534155,8/15/2025,,
25_2472,11,83,2472,PI 534149,8/13/2025,5,
25_2473,11,82,2473,PI 576394,8/6/2025,,
25_2474,11,81,2474,PI 656026,8/10/2025,,
25_2475,11,80,2475,PI 534040,8/4/2025,,
25_2476,11,79,2476,Check,8/11/2025,,
25_2477,11,78,2477,PI 656101,7/28/2025,,
25_2478,11,77,2478,PI 534148,8/18/2025,,
25_2479,11,76,2479,SC0965,7/30/2025,,root lodging; 75%
25_2480,11,75,2480,PI 656023,8/13/2025,,
25_2481,11,74,2481,PI 576334,7/31/2025,,root lodging; 60%
25_2482,11,73,2482,PI 533802,8/4/2025,,
25_2483,11,72,2483,PI 656017,9/3/2025,,
25_2484,11,71,2484,PI 653617,8/7/2025,,
25_2485,11,70,2485,PI 629034,8/13/2025,,
25_2486,11,69,2486,PI 576386,8/22/2025,,
25_2487,11,68,2487,PI 576412,8/20/2025,3,
25_2488,11,67,2488,PI 48770,8/22/2025,,
25_2489,11,66,2489,PI 534073,8/1/2025,4,
