image_path,segmentation_method
data/aamu2025/block1/10825_LeafPhotoA_2025-10-24 09_44_44.024-05_00.jpg,CV2
data/aamu2025/block1/10217_LeafPhotoA_2025-10-21 16_27_19.780-05_00.jpg,Failed
data/aamu2025/block1/10226_LeafPhotoA_2025-10-21 16_41_07.869-05_00.jpg,CV2
data/aamu2025/block1/11313_LeafPhotoA_2025-10-24 13_22_41.598-05_00.jpg,CV2
data/aamu2025/block1/10211_LeafPhotoA_2025-10-21 16_19_56.936-05_00.jpg,CV2
data/aamu2025/block1/10424_LeafPhotoA_2025-10-23 14_50_40.575-05_00.jpg,CV2
data/aamu2025/block1/10201_LeafPhotoA_2025-10-21 16_03_53.256-05_00.jpg,CV2
data/aamu2025/block1/10922_LeafPhotoA_2025-10-24 10_47_33.053-05_00.jpg,CV2
data/aamu2025/block1/10726_LeafPhotoA_2025-10-23 17_08_20.992-05_00.jpg,CV2
data/aamu2025/block1/11209_LeafPhotoA_2025-10-24 12_15_05.171-05_00.jpg,CV2
data/aamu2025/block1/11105_LeafPhotoA_2025-10-24 11_44_40.988-05_00.jpg,CV2
data/aamu2025/block1/11316_LeafPhotoA_2025-10-24 13_27_28.192-05_00.jpg,CV2
data/aamu2025/block1/11325_LeafPhotoA_2025-10-24 13_37_38.156-05_00.jpg,CV2
data/aamu2025/block1/10513_LeafPhotoA_2025-10-23 15_16_58.333-05_00.jpg,CV2
data/aamu2025/block1/11312_LeafPhotoA_2025-10-24 13_21_49.136-05_00.jpg,CV2
data/aamu2025/block1/10425_LeafPhotoA_2025-10-23 14_51_56.867-05_00.jpg,CV2
data/aamu2025/block1/10701_LeafPhotoA_2025-10-23 16_40_50.605-05_00.jpg,CV2
data/aamu2025/block1/11205_LeafPhotoA_2025-10-24 12_11_47.452-05_00.jpg,CV2
data/aamu2025/block1/10423_LeafPhotoA_2025-10-23 14_48_18.643-05_00.jpg,CV2
data/aamu2025/block1/10914_LeafPhotoA_2025-10-24 10_33_50.918-05_00.jpg,CV2
data/aamu2025/block1/11321_LeafPhotoA_2025-10-24 13_32_23.970-05_00.jpg,CV2
data/aamu2025/block1/10726_LeafPhotoA_2025-10-23 17_07_53.382-05_00.jpg,CV2
data/aamu2025/block1/11011_LeafPhotoA_2025-10-24 11_15_54.101-05_00.jpg,CV2
data/aamu2025/block1/10607_LeafPhotoA_2025-10-23 15_55_08.108-05_00.jpg,CV2
data/aamu2025/block1/10107_LeafPhotoA_2025-10-15 15_50_53.408-05_00.jpg,CV2
data/aamu2025/block1/10216_LeafPhotoA_2025-10-21 16_25_30.452-05_00.jpg,CV2
data/aamu2025/block1/10415_LeafPhotoA_2025-10-23 14_35_26.046-05_00.jpg,CV2
data/aamu2025/block1/10124_LeafPhotoA_2025-10-15 16_03_32.023-05_00.jpg,CV2
data/aamu2025/block1/11225_LeafPhotoA_2025-10-24 12_24_40.444-05_00.jpg,CV2
