unit_set,candidate_definition,severity_related_with_candidate,severity_related_without_candidate,not_severity_related_with_candidate,not_severity_related_without_candidate,severity_related_candidate_fraction,not_severity_related_candidate_fraction,odds_ratio,fisher_exact_p_greater,fisher_exact_or
all_cluster_labels_including_singletons,has_validated_locus,16,47,7,142,0.25396825396825395,0.04697986577181208,6.6,3.2900902638446145e-05,6.905775075987842
all_cluster_labels_including_singletons,has_validated_or_proposed_locus,16,47,10,139,0.25396825396825395,0.06711409395973154,4.615037593984963,0.0003225443412383998,4.731914893617021
all_cluster_labels_including_singletons,has_any_reported_candidate_locus,16,47,11,138,0.25396825396825395,0.0738255033557047,4.1835240274599546,0.0006065514214429277,4.270793036750484
multi_trait_clusters_only,has_validated_locus,15,18,7,47,0.45454545454545453,0.12962962962962962,5.306306306306307,0.0009581758037114669,5.595238095238095
multi_trait_clusters_only,has_validated_or_proposed_locus,15,18,9,45,0.45454545454545453,0.16666666666666666,4.012802275960171,0.004065285432245554,4.166666666666667
multi_trait_clusters_only,has_any_reported_candidate_locus,15,18,10,44,0.45454545454545453,0.18518518518518517,3.550836550836551,0.007514128223281469,3.6666666666666665
singletons_only,has_validated_locus,1,29,0,95,0.03333333333333333,0.0,9.711864406779661,0.24000000000000002,inf
singletons_only,has_validated_or_proposed_locus,1,29,1,94,0.03333333333333333,0.010526315789473684,3.2033898305084745,0.42387096774193556,3.2413793103448274
singletons_only,has_any_reported_candidate_locus,1,29,1,94,0.03333333333333333,0.010526315789473684,3.2033898305084745,0.42387096774193556,3.2413793103448274
