cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
179,1,singleton,False,not_severity_correlated,0.107929276126119,0.107929276126119,0.0,embedding_std_312,False,False,
180,1,singleton,False,not_severity_correlated,0.3499098885258394,0.3499098885258394,0.0,embedding_std_317,False,False,
181,1,singleton,False,not_severity_correlated,0.2201176688596338,0.2201176688596338,0.0,embedding_std_322,False,False,
182,1,singleton,False,not_severity_correlated,0.1275443709210014,0.1275443709210014,0.0,embedding_std_378,False,False,
183,1,singleton,False,not_severity_correlated,0.3242160215153686,0.3242160215153686,0.0,embedding_std_406,False,False,
184,1,singleton,False,not_severity_correlated,0.2065625004436615,0.2065625004436615,0.0,embedding_std_415,False,False,
185,1,singleton,False,not_severity_correlated,0.2207864468935541,0.2207864468935541,0.0,embedding_std_417,False,False,
186,1,singleton,True,severity_correlated,0.4245984989057593,0.4245984989057593,1.0,embedding_std_421,False,False,
187,1,singleton,False,not_severity_correlated,0.0613795398074823,0.0613795398074823,0.0,embedding_std_438,False,False,
188,1,singleton,False,not_severity_correlated,0.3042078015619457,0.3042078015619457,0.0,embedding_std_450,False,False,
189,1,singleton,True,severity_correlated,0.565542302533742,0.565542302533742,1.0,embedding_std_466,False,False,
190,1,singleton,True,severity_correlated,0.444423712818538,0.444423712818538,1.0,embedding_std_479,True,True,Sobic.001G194000
191,1,singleton,True,severity_correlated,0.4921122210939778,0.4921122210939778,1.0,embedding_std_506,False,False,
192,1,singleton,True,severity_correlated,0.4116993750337605,0.4116993750337605,1.0,embedding_std_531,False,False,
193,1,singleton,False,not_severity_correlated,0.3026598839793643,0.3026598839793643,0.0,embedding_std_541,False,False,
194,1,singleton,False,not_severity_correlated,0.365693431599188,0.365693431599188,0.0,embedding_std_570,False,False,
195,1,singleton,False,not_severity_correlated,0.2958387009344916,0.2958387009344916,0.0,embedding_std_609,False,False,
196,1,singleton,False,not_severity_correlated,0.115600061358822,0.115600061358822,0.0,embedding_std_662,False,False,
197,1,singleton,False,not_severity_correlated,0.2896985325330545,0.2896985325330545,0.0,embedding_std_673,False,False,
198,1,singleton,False,not_severity_correlated,0.1146239585107275,0.1146239585107275,0.0,embedding_std_680,False,False,
199,1,singleton,False,not_severity_correlated,0.1209015758116438,0.1209015758116438,0.0,embedding_std_698,False,False,
200,1,singleton,False,not_severity_correlated,0.1313253383878868,0.1313253383878868,0.0,embedding_std_713,False,False,
201,1,singleton,False,not_severity_correlated,0.1808028034168386,0.1808028034168386,0.0,embedding_std_724,False,False,
202,1,singleton,True,severity_correlated,0.4424980161930835,0.4424980161930835,1.0,embedding_std_733,False,False,
203,1,singleton,False,not_severity_correlated,0.0635684030992354,0.0635684030992354,0.0,embedding_std_745,False,False,
204,1,singleton,True,severity_correlated,0.520376114841324,0.520376114841324,1.0,embedding_std_781,False,False,
205,1,singleton,False,not_severity_correlated,0.1186042402623799,0.1186042402623799,0.0,embedding_std_784,False,False,
206,1,singleton,False,not_severity_correlated,0.3959209262180446,0.3959209262180446,0.0,embedding_std_835,False,False,
207,1,singleton,True,severity_correlated,0.6041615034976718,0.6041615034976718,1.0,embedding_std_839,True,True,Sobic.001G329100
208,1,singleton,False,not_severity_correlated,0.0762651698834383,0.0762651698834383,0.0,embedding_std_878,False,False,
209,1,singleton,False,not_severity_correlated,0.1798282500586985,0.1798282500586985,0.0,embedding_std_986,False,False,
210,1,singleton,False,not_severity_correlated,0.2231748564897634,0.2231748564897634,0.0,embedding_std_995,False,False,
211,1,singleton,True,severity_correlated,0.4548444559495356,0.4548444559495356,1.0,embedding_std_1006,False,False,
212,1,singleton,True,severity_correlated,0.5762230474309238,0.5762230474309238,1.0,embedding_std_1011,False,False,
