cluster025,n_embeddings,cluster_type,severity_related,severity_class,median_max_abs_severity_r,max_abs_severity_r,fraction_embeddings_r_ge_0_4,example_embeddings,has_validated,has_validated_or_proposed,candidate_genes
34,1,singleton,False,not_severity_correlated,0.1378002032738861,0.1378002032738861,0.0,embedding_std_622,False,True,Sobic.004G273600
35,3,multi_trait,False,not_severity_correlated,0.3055888130475971,0.397960093968927,0.0,embedding_mean_996;embedding_mean_997;embedding_std_1005,False,True,Sobic.008G150100
36,1,singleton,False,not_severity_correlated,0.0876636006153325,0.0876636006153325,0.0,embedding_mean_440,False,False,
37,1,singleton,False,not_severity_correlated,0.0541155976951636,0.0541155976951636,0.0,embedding_std_906,True,True,Sobic.006G217900;Sobic.006G225800;Sobic.008G150100
38,1,singleton,False,not_severity_correlated,0.0996888115270754,0.0996888115270754,0.0,embedding_mean_684,False,False,
39,3,multi_trait,False,not_severity_correlated,0.3594509183169807,0.3783345622900551,0.0,embedding_mean_146;embedding_std_444;embedding_std_586,False,False,
40,2,multi_trait,True,severity_correlated,0.5049037587281335,0.5507207430610142,1.0,embedding_std_98;embedding_std_707,True,True,Sobic.005G126200
41,5,multi_trait,True,severity_correlated,0.5739258301914204,0.6325992809876417,1.0,embedding_mean_174;embedding_mean_792;embedding_mean_986;embedding_std_252;embedding_std_808,True,True,Sobic.003G296300;Sobic.005G126200
42,1,singleton,False,not_severity_correlated,0.0459514988308928,0.0459514988308928,0.0,embedding_std_314,True,True,Sobic.003G296300
43,2,multi_trait,True,severity_correlated,0.3882680762609842,0.4756742659166684,0.5,embedding_mean_795;embedding_std_512,False,False,
44,6,multi_trait,False,not_severity_correlated,0.3295473962083681,0.4808741049613096,0.3333333333333333,embedding_mean_99;embedding_mean_273;embedding_mean_660;embedding_mean_780;embedding_std_849;embedding_std_863,True,True,Sobic.006G217900;Sobic.006G225800
45,2,multi_trait,True,severity_correlated,0.3917577477174835,0.4712706042363412,0.5,embedding_mean_46;embedding_std_532,True,True,Sobic.005G126200
46,10,multi_trait,True,severity_correlated,0.5135367966003048,0.6468531834688949,0.9,embedding_mean_300;embedding_mean_474;embedding_mean_514;embedding_mean_619;embedding_mean_636;embedding_mean_739;embedding_mean_1003;embedding_std_117;embedding_std_243;embedding_std_496,True,True,Sobic.005G075600;Sobic.005G076100;Sobic.005G126200
47,3,multi_trait,True,severity_correlated,0.589186707607703,0.6257931503245845,1.0,embedding_mean_117;embedding_mean_150;embedding_mean_698,True,True,Sobic.005G126200
48,1,singleton,False,not_severity_correlated,0.3163692370555093,0.3163692370555093,0.0,embedding_mean_574,False,False,
49,1,singleton,False,not_severity_correlated,0.3848952069606161,0.3848952069606161,0.0,embedding_std_511,False,False,
50,1,singleton,True,severity_correlated,0.6047899261469911,0.6047899261469911,1.0,embedding_std_567,False,False,
51,2,multi_trait,False,not_severity_correlated,0.3060378760923624,0.3190882184503869,0.0,embedding_mean_261;embedding_mean_896,True,True,Sobic.003G385500
52,5,multi_trait,False,not_severity_correlated,0.2494987176177571,0.3899744985001364,0.0,embedding_mean_359;embedding_std_331;embedding_std_336;embedding_std_578;embedding_std_969,False,False,
53,3,multi_trait,False,not_severity_correlated,0.2649154095353205,0.2739914076015305,0.0,embedding_mean_832;embedding_std_81;embedding_std_454,False,True,Sobic.009G008800
