feature,avg_fi,stat,embedding_num
405,3.3143859071327596e-4,mean,405
780,3.30232930436574e-4,mean,780
1006,3.28682906073184e-4,mean,1006
1475,3.26244582871426e-4,std,451
1998,3.258521137771891e-4,std,974
1435,3.23392099997022e-4,std,411
759,3.22787938058584e-4,mean,759
1377,3.2258415127774e-4,std,353
1566,3.22207636241726e-4,std,542
1013,3.22163195625104e-4,mean,1013
1527,3.1963025130562e-4,std,503
831,3.16762559542156e-4,mean,831
1517,3.15840523217192e-4,std,493
1070,3.14248246275278e-4,std,46
1003,3.14176745209916e-4,mean,1003
1312,3.13371332582596e-4,std,288
1914,3.13336924802368e-4,std,890
1436,3.12533272181206e-4,std,412
1402,3.12298642550744e-4,std,378
1041,3.12281380018632e-4,std,17
1771,3.11800766468432e-4,std,747
616,3.1143858636923e-4,mean,616
879,3.09923571277262e-4,mean,879
1518,3.09161824248724e-4,std,494
1970,3.0882431333295634e-4,std,946
1780,3.08801998914204e-4,std,756
86,3.08478617370532e-4,mean,86
807,3.0699763373938e-4,mean,807
1571,3.0595944678625997e-4,std,547
1311,3.0553803541897e-4,std,287
1666,3.050236624082233e-4,std,642
1178,3.0500125123958003e-4,std,154
295,3.04910980151838e-4,mean,295
369,3.0411819172395e-4,mean,369
2020,3.04050418941528e-4,std,996
593,3.02779453372956e-4,mean,593
1385,3.02085618024158e-4,std,361
426,3.02033113783862e-4,mean,426
2034,3.0044278793372e-4,std,1010
1859,3.0018083698714397e-4,std,835
545,2.98568468806822e-4,mean,545
1733,2.98536201346436e-4,std,709
530,2.98260016189986e-4,mean,530
28,2.9812719686012003e-4,mean,28
1064,2.96846234171506e-4,std,40
775,2.958836816765474e-4,mean,775
1622,2.95698545263418e-4,std,598
361,2.94567832519134e-4,mean,361
845,2.9232928340429203e-4,mean,845
911,2.90963905788084e-4,mean,911
35,2.90610908888718e-4,mean,35
1852,2.89625421073536e-4,std,828
1110,2.89549915242948e-4,std,86
261,2.89399255778754e-4,mean,261
115,2.89118783775596e-4,mean,115
1735,2.8767319381837797e-4,std,711
977,2.87639066820438e-4,mean,977
1116,2.87412967762492e-4,std,92
533,2.87317550758368e-4,mean,533
443,2.87024282614856e-4,mean,443
1431,2.86935741669204e-4,std,407
1613,2.86888390499056e-4,std,589
1788,2.86513167527174e-4,std,764
1751,2.84389312600742e-4,std,727
761,2.84353852909786e-4,mean,761
1917,2.84328966230162e-4,std,893
702,2.82317091481322e-4,mean,702
1639,2.82030859854664e-4,std,615
1315,2.81837718900812e-4,std,291
1943,2.81688480330364e-4,std,919
1051,2.81573565767258e-4,std,27
1836,2.81527888911596e-4,std,812
1065,2.81424752648758e-4,std,41
1637,2.81162441618022e-4,std,613
810,2.80897380180562e-4,mean,810
1074,2.8052803513398323e-4,std,50
322,2.80494895016094e-4,mean,322
395,2.80373960087772e-4,mean,395
1348,2.80270459880508e-4,std,324
1262,2.79972378466686e-4,std,238
1951,2.79362647783156e-4,std,927
877,2.7850464594844e-4,mean,877
1077,2.7778808931611603e-4,std,53
311,2.7764691238622597e-4,mean,311
1365,2.77332841210422e-4,std,341
296,2.7688549360066597e-4,mean,296
1905,2.76287778090488e-4,std,881
678,2.76192387498454e-4,mean,678
1001,2.75875855494656e-4,mean,1001
128,2.75420737576742e-4,mean,128
51,2.74590358779872e-4,mean,51
1459,2.74465813142766e-4,std,435
1625,2.7420302009809e-4,std,601
1067,2.7411909447198e-4,std,43
633,2.73933848083936e-4,mean,633
860,2.738771915111452e-4,mean,860
1444,2.7354454447339803e-4,std,420
355,2.72687246113738e-4,mean,355
756,2.71177681796146e-4,mean,756
981,2.71152633040884e-4,mean,981
809,2.69974398511134e-4,mean,809
1154,2.69606026551666e-4,std,130
156,2.66638666909712e-4,mean,156
282,2.66215733052126e-4,mean,282
675,2.65352488669068e-4,mean,675
1604,2.6488401522552403e-4,std,580
730,2.64803819988636e-4,mean,730
832,2.64587438059378e-4,mean,832
1994,2.64275569228132e-4,std,970
492,2.6421324487261e-4,mean,492
1427,2.64093964488966e-4,std,403
1750,2.63135132496148e-4,std,726
262,2.63102289437674e-4,mean,262
163,2.628828613293304e-4,mean,163
1953,2.62759242106004e-4,std,929
187,2.62666320216004e-4,mean,187
1045,2.62073839311894e-4,std,21
2003,2.58808419343688e-4,std,979
1757,2.58763132085644e-4,std,733
1355,2.58373951949376e-4,std,331
390,2.57812204316344e-4,mean,390
136,0.00025761772518427247,mean,136
716,2.57374695666724e-4,mean,716
409,2.564710513796e-4,mean,409
8,2.5646562265104e-4,mean,8
1330,2.56105775916208e-4,std,306
1619,2.55956870972394e-4,std,595
690,2.5580217206823397e-4,mean,690
811,2.55241600702532e-4,mean,811
1782,2.5489934538632067e-4,std,758
901,2.5385131946141997e-4,mean,901
2019,2.536417995868083e-4,std,995
1443,2.5363274709263e-4,std,419
838,2.52808044731772e-4,mean,838
1938,2.5206003592536e-4,std,914
465,2.51186337187546e-4,mean,465
468,2.50150836953372e-4,mean,468
889,2.49886690808378e-4,mean,889
1325,2.4962587629494997e-4,std,301
1028,2.4943672225061924e-4,std,4
454,2.489329646960815e-4,mean,454
713,2.48883065696484e-4,mean,713
